,time,T_Z1t,T_Z2t,T_Z3t,T_Z4t,T_Z5t,T_Z1m,T_Z2m,T_Z3m,T_Z4m,T_Z5m,T_Z1b,T_Z2b,T_Z3b,T_Z4b,T_Z5b,m_top_vav1,m_top_vav2,m_top_vav3,m_top_vav4,m_top_vav5,m_mid_vav1,m_mid_vav2,m_mid_vav3,m_mid_vav4,m_mid_vav5,m_bot_vav1,m_bot_vav2,m_bot_vav3,m_bot_vav4,m_bot_vav5,T_top_vav1,T_top_vav2,T_top_vav3,T_top_vav4,T_top_vav5,T_mid_vav1,T_mid_vav2,T_mid_vav3,T_mid_vav4,T_mid_vav5,T_bot_vav1,T_bot_vav2,T_bot_vav3,T_bot_vav4,T_bot_vav5,P_chiller,P_rf_top,P_sf_top,P_rf_mid,P_sf_mid,P_rf_bot,P_sf_bot,oa_temp,T_top_int,T_mid_int,T_bot_int,T_top_mix,T_mid_mix,T_bot_mix,T_top_sa,T_mid_sa,T_bot_sa,occ_1,occ_2,occ_3,occ_4,occ_5,h_sp,c_sp,Tsa_top_SP,Tsa_mid_SP,Tsa_bot_SP,mz1_top_SP,mz2_top_SP,mz3_top_SP,mz4_top_SP,mz5_top_SP,mz1_mid_SP,mz2_mid_SP,mz3_mid_SP,mz4_mid_SP,mz5_mid_SP,mz1_bot_SP,mz2_bot_SP,mz3_bot_SP,mz4_bot_SP,mz5_bot_SP,Tsa1_top_SP,Tsa2_top_SP,Tsa3_top_SP,Tsa4_top_SP,Tsa5_top_SP,Tsa1_mid_SP,Tsa2_mid_SP,Tsa3_mid_SP,Tsa4_mid_SP,Tsa5_mid_SP,Tsa1_bot_SP,Tsa2_bot_SP,Tsa3_bot_SP,Tsa4_bot_SP,Tsa5_bot_SP,Ttop_ret,Tmid_ret,Tbot_ret,damper_top,damper_mid,damper_bot,co2_top,co2_mid,co2_bot,oaflow_top,oaflow_mid,oaflow_bot,supplyflow_top,supplyflow_mid,supplyflow_bot,mflow_top,mflow_mid,mflow_bot,chillcap_top,heatcap_top,chillcap_mid,heatcap_mid,chillcap_bot,heatcap_bot,cumsum_chillcap_top,cumsum_heatcap_top,cumsum_chillcap_mid,cumsum_heatcap_mid,cumsum_chillcap_bot,cumsum_heatcap_bot,total_chillcap,total_heatcap,total_csum_chillcap,total_csum_heatcap,total_fanpower,total_cumfanpower,chiller,chiller_plus_fan,cum_chiller_plus_fan
0,1.87E+07,297.1499939,297.1499939,297.1499939,297.1499939,297.1499939,297.1499939,297.1499939,297.1499939,297.1499939,297.1499939,297.1499939,297.1499939,297.1499939,297.1499939,297.1499939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,0.001103533,-2.61E-05,0,-2.57E-05,0,-2.47E-05,0,273.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,293.1499939,0,0,0,0,0,288.75,299.8500061,285.9500122,285.9500122,285.9500122,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,293.1499939,293.1499939,0,0,0,0,0,0,50.5395546,50.5395546,50.5395546,50.62030792,50.62030792,50.62030792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10E-06,1.10E-06,1.10E-06
1,1.87E+07,297.1499329,297.1499329,297.1499634,297.1499329,297.1499634,297.1499329,297.1499329,297.1499634,297.1499329,297.1499634,297.1499329,297.1499329,297.1499634,297.1499329,297.1499634,4.44E-12,6.13E-13,5.12E-13,6.31E-13,7.49E-13,5.77E-12,7.12E-13,4.25E-13,8.26E-13,4.17E-13,2.04E-11,2.05E-12,1.52E-12,2.27E-12,1.72E-12,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,0.00110679,-7.59E-25,-8.83E-25,-8.24E-25,-1.20E-24,-1.79E-24,-1.38E-23,273.1499939,293.1574402,293.1574402,293.1574402,292.3912659,292.3912659,292.3912659,293.1480408,293.1480408,293.1480408,0,0,0,0,0,288.75,299.8500061,285.9500122,285.9500122,285.9500122,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1487732,293.1487732,293.1487732,0,0,0,0,0,0,-2.39E-13,-5.56E-13,-5.61E-13,-1.42E-11,-1.55E-11,-2.27E-11,6.94E-12,8.15E-12,2.79E-11,1.09E-18,1.20E-16,1.28E-18,1.40E-16,4.38E-18,4.81E-16,1.09E-18,1.20E-16,1.28E-18,1.40E-16,4.38E-18,4.81E-16,6.74E-18,7.42E-16,6.74E-18,7.42E-16,-1.59E-26,-1.59E-26,1.11E-06,1.11E-06,2.21E-06
2,1.87E+07,297.0820313,296.984314,296.9809265,296.9824219,296.9823914,297.1328735,297.0278931,297.0270081,297.0266724,297.0276489,297.1356506,297.0329895,297.0337524,297.0325928,297.033783,5.14E-12,2.80E-13,6.04E-14,1.81E-13,9.60E-14,2.85E-13,4.94E-14,-6.36E-15,8.53E-15,4.20E-15,-2.05E-12,-2.00E-13,-4.37E-14,-8.53E-14,-3.35E-14,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,0.0010226,-1.77E-29,-6.07E-25,-6.20E-25,-2.10E-27,-8.62E-30,-1.01E-25,285.480011,293.1574402,293.1574402,293.1574402,292.3912659,292.3912659,292.3912659,293.1480408,293.1480408,293.1480408,0,0,0,0,0,288.75,299.8500061,285.9500122,285.9500122,285.9500122,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1487732,293.1487732,293.1487732,0,0,0,0,0,0,-5.06E-14,-1.23E-13,-1.21E-13,-3.49E-14,-1.27E-11,-1.94E-13,5.75E-12,3.41E-13,0,9.02E-19,9.92E-17,5.34E-20,5.87E-18,0,-1.08E-17,1.99E-18,2.19E-16,1.33E-18,1.46E-16,4.38E-18,4.71E-16,9.56E-19,9.43E-17,7.70E-18,8.36E-16,-7.10E-28,-1.66E-26,1.02E-06,1.02E-06,3.23E-06
3,1.87E+07,297.0853271,296.90979,296.9033508,296.9064941,296.9058838,297.1660767,296.9854126,296.983429,296.9833069,296.9845276,297.1694336,296.9944458,296.9951477,296.993927,296.9953918,-3.38E-12,-1.59E-13,-2.87E-14,-8.52E-14,-5.28E-14,-1.97E-12,-1.69E-13,-2.47E-14,-5.47E-14,-5.52E-14,-2.09E-12,-5.15E-14,-2.39E-14,-7.08E-14,-2.28E-14,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,0.000948465,-4.02E-27,-2.51E-25,-2.18E-25,-9.33E-26,-1.59E-25,-8.85E-26,285.6099854,293.1574402,293.1574402,293.1574402,292.3912659,292.3912659,292.3912659,293.1480408,293.1480408,293.1480408,0,0,0,0,0,288.75,299.8500061,285.9500122,285.9500122,285.9500122,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1487732,293.1487732,293.1487732,0,0,0,0,0,0,-4.89E-14,-1.15E-13,-1.15E-13,9.00E-13,7.16E-12,6.21E-12,0,0,0,0,-1.65E-17,0,-1.01E-17,0,-1.01E-17,1.99E-18,2.02E-16,1.33E-18,1.36E-16,4.38E-18,4.61E-16,0,-3.67E-17,7.70E-18,7.99E-16,-4.33E-28,-1.70E-26,9.48E-07,9.48E-07,4.18E-06
4,1.87E+07,297.0600586,296.8136292,296.8045959,296.80896,296.8081665,297.1796265,296.9188538,296.916687,296.9159546,296.9180908,297.1843567,296.932373,296.9328918,296.9313965,296.9333801,-8.05E-13,-3.87E-14,1.23E-14,-1.29E-14,1.93E-15,-8.37E-13,-1.30E-13,-3.20E-14,-2.11E-15,-6.23E-14,-1.36E-12,-7.87E-14,-1.04E-14,-2.62E-14,2.48E-14,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,0.000875637,-1.38E-27,-1.30E-26,-7.20E-28,-2.04E-26,-6.39E-29,-3.63E-26,285.7399902,293.1574402,293.1574402,293.1574402,292.3912659,292.3912659,292.3912659,293.1480408,293.1480408,293.1480408,0,0,0,0,0,288.75,299.8500061,285.9500122,285.9500122,285.9500122,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1487732,293.1487732,293.1487732,0,0,0,0,0,0,-4.88E-14,-1.10E-13,-1.13E-13,-6.82E-13,2.05E-13,-9.71E-14,0,0,0,0,-3.76E-18,0,-4.74E-18,0,-6.45E-18,1.99E-18,1.99E-16,1.33E-18,1.31E-16,4.38E-18,4.54E-16,0,-1.49E-17,7.70E-18,7.84E-16,-6.97E-29,-1.71E-26,8.76E-07,8.76E-07,5.06E-06
5,1.87E+07,297.0474854,296.730072,296.7184143,296.7241211,296.7229919,297.1999207,296.8634644,296.8609009,296.8597412,296.8624878,297.2056885,296.8816528,296.8815308,296.8802795,296.8822937,7.31E-13,-1.58E-13,1.35E-14,7.20E-14,-1.61E-14,2.26E-13,6.88E-14,-7.48E-15,-5.33E-14,3.99E-14,-3.81E-12,-3.83E-13,-3.81E-14,-6.78E-14,-1.28E-13,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,0.000804046,-1.64E-25,-7.57E-27,-7.86E-29,-1.36E-27,-1.59E-25,-3.40E-25,285.8699951,293.1574402,293.1574402,293.1574402,292.3912659,292.3912659,292.3912659,293.1480408,293.1480408,293.1480408,0,0,0,0,0,288.75,299.8500061,285.9500122,285.9500122,285.9500122,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1487732,293.1487732,293.1487732,0,0,0,0,0,0,-4.77E-14,-1.03E-13,-1.15E-13,6.28E-12,-6.61E-14,6.21E-12,6.43E-13,2.74E-13,0,1.01E-19,1.11E-17,4.30E-20,4.73E-18,0,-1.97E-17,2.09E-18,2.10E-16,1.37E-18,1.36E-16,4.38E-18,4.34E-16,1.44E-19,-3.93E-18,7.84E-18,7.80E-16,-3.49E-28,-1.75E-26,8.04E-07,8.04E-07,5.86E-06
6,1.87E+07,297.030304,296.6480103,296.6339722,296.6408997,296.6394959,297.2170715,296.8074646,296.8042297,296.8025513,296.8061218,297.223938,296.8304138,296.8294373,296.8285522,296.8302612,4.57E-13,9.23E-14,-3.58E-14,-7.61E-14,-4.58E-14,1.42E-12,1.61E-13,-1.15E-14,3.68E-14,7.84E-14,1.06E-12,-1.00E-13,1.26E-14,7.05E-14,-1.61E-14,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,28325.45703,-6.43E-25,-2.81E-27,-1.25E-25,-5.11E-26,-2.60E-29,-1.83E-26,286,293.1574402,293.1574402,293.1574402,292.3912659,292.3912659,292.3912659,293.1480408,293.1480408,293.1480408,0,0,0,0,0,288.75,299.8500061,285.9500122,285.9500122,285.9500122,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1487732,293.1487732,293.1487732,0,0,0,0,0,0,-5.10E-14,-1.04E-13,-1.15E-13,-1.27E-11,-5.80E-12,-1.48E-13,3.92E-13,1.68E-12,1.03E-12,6.14E-20,6.75E-18,2.64E-19,2.90E-17,1.61E-19,1.77E-17,2.15E-18,2.16E-16,1.64E-18,1.65E-16,4.54E-18,4.52E-16,4.86E-19,5.34E-17,8.33E-18,8.34E-16,-7.22E-29,-1.75E-26,28.32545703,28.32545703,28.32546289
7,1.87E+07,297.0157166,296.5705566,296.5542603,296.5623779,296.5606995,297.2348328,296.7548828,296.7502136,296.7487488,296.7528381,297.2427063,296.7826538,296.7806396,296.7803345,296.7815552,2.59E-12,3.70E-13,1.34E-13,3.68E-13,1.71E-13,1.38E-13,-1.47E-13,-4.70E-14,5.67E-14,-1.19E-14,5.83E-12,9.11E-13,2.53E-13,6.03E-13,4.23E-13,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,39611.82031,-8.44E-30,-2.42E-25,-6.28E-25,-2.32E-30,-6.12E-29,-1.11E-24,286.1300049,293.1574402,293.1574402,293.1574402,292.3912659,292.3912659,292.3912659,293.1480408,293.1480408,293.1480408,0,0,0,0,0,288.75,299.8500061,285.9500122,285.9500122,285.9500122,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1487732,293.1487732,293.1487732,0,0,0,0,0,0,-4.44E-14,-1.09E-13,-1.26E-13,-4.31E-14,-1.28E-11,-1.27E-13,3.63E-12,0,8.02E-12,5.69E-19,6.26E-17,0,-5.03E-20,1.26E-18,1.38E-16,2.72E-18,2.79E-16,1.64E-18,1.65E-16,5.80E-18,5.90E-16,1.83E-18,2.01E-16,1.02E-17,1.03E-15,-1.36E-27,-1.89E-26,39.61182031,39.61182031,67.9372832
8,1.87E+07,297.0006714,296.4964294,296.4780273,296.4872437,296.485321,297.2518311,296.7043762,296.697998,296.6969604,296.7010803,297.2606812,296.7369385,296.7337341,296.7341919,296.7347412,-5.61E-12,-9.70E-13,-2.42E-13,-5.64E-13,-5.09E-13,-7.94E-12,-5.35E-13,-2.65E-13,-4.95E-13,-4.20E-13,-6.18E-13,1.91E-13,-3.83E-14,-4.99E-14,-2.79E-14,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,46987.66016,-8.68E-30,-1.14E-24,-1.17E-28,-1.69E-24,-5.81E-29,-5.12E-27,286.2600098,293.1574402,293.1574402,293.1574402,292.3912659,292.3912659,292.3912659,293.1480408,293.1480408,293.1480408,0,0,0,0,0,288.75,299.8500061,285.9500122,285.9500122,285.9500122,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1487732,293.1487732,293.1487732,0,0,0,0,0,0,-4.44E-14,-1.09E-13,-1.26E-13,-4.25E-14,-4.60E-14,-1.30E-13,0,0,0,0,-3.52E-17,0,-4.30E-17,0,-2.42E-18,2.72E-18,2.44E-16,1.64E-18,1.22E-16,5.80E-18,5.88E-16,0,-8.07E-17,1.02E-17,9.54E-16,-2.84E-27,-2.17E-26,46.98766016,46.98766016,114.9249434
9,1.87E+07,296.9864197,296.4256897,296.4053345,296.4155579,296.4134216,297.2685547,296.6564026,296.6480408,296.647644,296.6516418,297.2783813,296.6937256,296.6892395,296.6905518,296.6902771,1.57E-12,3.53E-13,2.39E-13,3.64E-13,3.00E-13,-1.66E-12,8.61E-14,-2.42E-14,1.07E-13,7.17E-14,1.59E-12,-1.32E-15,4.96E-14,-1.45E-13,4.79E-14,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,293.4152527,293.4152222,293.4152832,293.4154358,293.4154358,54418.08203,-1.05E-30,-1.47E-25,-2.58E-29,-3.63E-26,-1.59E-25,-4.08E-26,286.3900146,293.1574402,293.1574402,293.1574402,292.3912659,292.3912659,292.3912659,293.1480408,293.1480408,293.1480408,0,0,0,0,0,288.75,299.8500061,285.9500122,285.9500122,285.9500122,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,3.276000023,0.675000012,0.446999997,0.569999993,0.518999994,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1499939,285.9500122,285.9500122,285.9500122,285.9500122,293.1487732,293.1487732,293.1487732,0,0,0,0,0,0,-4.44E-14,-1.09E-13,-1.25E-13,-7.44E-14,-1.37E-13,6.20E-12,2.83E-12,0,1.54E-12,4.43E-19,4.88E-17,0,-6.30E-18,2.41E-19,2.65E-17,3.17E-18,2.93E-16,1.64E-18,1.16E-16,6.04E-18,6.14E-16,6.85E-19,6.90E-17,1.08E-17,1.02E-15,-2.24E-28,-2.19E-26,54.41808203,54.41808203,169.3430254
