Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day341,peak_heat_day,0.022709524,0.785583799,3.722752734,1219.714306,,0.010215069,0.121336675,5.687475032,0.000258586
constant+Day51,typical_heat_day,0.032274768,0.714951737,2.689183183,1219.718112,,0.01736347,0.10365069,5.553811197,3.23E-05
constant+Day289,peak_cool_day,0.12079852,1.46599901,2.22551765,1222.062529,,0.033208012,0.021727003,7.669999253,3.73E-05
constant+Day153,typical_cool_day,0.059998901,0.727117587,1.098753169,1222.606431,,0.015345394,7.52E-05,4.301947776,3.59E-05
constant+Day21,mix_day,0.04284792,0.888817666,3.179119132,1220.162802,,0.023046989,0.11652075,5.74919007,3.30E-05
dynamic+Day341,peak_heat_day,0.027305369,0.785583799,3.722752734,1219.714306,,0.010215069,0.121336675,5.687475032,3.31E-05
dynamic+Day51,typical_heat_day,0.040955016,0.714951737,2.689183183,1219.718112,,0.01736347,0.10365069,5.553811197,3.27E-05
dynamic+Day289,peak_cool_day,0.150281593,1.46599901,2.22551765,1222.062529,,0.033208012,0.021727003,7.669999253,3.23E-05
dynamic+Day153,typical_cool_day,0.101812433,0.727117587,1.098753169,1222.606431,,0.015345394,7.52E-05,4.301947776,3.34E-05
dynamic+Day21,mix_day,0.056219949,0.888817666,3.179119132,1220.162802,,0.023046989,0.11652075,5.74919007,3.22E-05
highly_dynamic+Day341,peak_heat_day,0.015778784,0.785583799,3.722752734,1219.714306,,0.010215069,0.121336675,5.687475032,3.32E-05
highly_dynamic+Day51,typical_heat_day,0.014108588,0.714951737,2.689183183,1219.718112,,0.01736347,0.10365069,5.553811197,3.34E-05
highly_dynamic+Day289,peak_cool_day,0.067672468,1.46599901,2.22551765,1222.062529,,0.033208012,0.021727003,7.669999253,3.21E-05
highly_dynamic+Day153,typical_cool_day,0.035093402,0.727117587,1.098753169,1222.606431,,0.015345394,7.52E-05,4.301947776,3.22E-05
highly_dynamic+Day21,mix_day,0.014827776,0.888817666,3.179119132,1220.162802,,0.023046989,0.11652075,5.74919007,3.68E-05
constant+Day328,heat_day1,0.044985444,0.647965794,1.48985311,1220.853562,,0.021746814,0.073869969,5.230538966,0.000316334
constant+Day329,heat_day2,0.041537985,0.667831563,1.826140524,1220.68789,,0.021746512,0.089192749,5.368680213,3.41E-05
constant+Day330,heat_day3,0.03796437,0.664400737,2.019076651,1220.505751,,0.021746402,0.089596292,5.230234601,3.27E-05
constant+Day331,heat_day4,0.034843634,0.641364851,2.057716832,1220.305798,,0.021746609,0.089596069,5.141474324,3.52E-05
constant+Day332,heat_day5,0.032206086,0.620850887,2.083604935,1220.118664,,0.021746719,0.089596012,5.061389218,3.36E-05
constant+Day333,heat_day6,0.031263663,0.612909781,2.08889447,1220.194839,,0.021746346,0.089596376,5.002800626,3.19E-05
constant+Day334,heat_day7,0.031628527,0.698681885,2.622674761,1220.129442,,0.021746182,0.089596428,5.455925241,3.60E-05
constant+Day335,heat_day8,0.033362815,0.801977171,3.187541713,1219.746877,,0.021745084,0.121334589,5.801264286,2.30E-05
constant+Day336,heat_day9,0.028984909,0.807530161,3.487113223,1219.54853,,0.01951832,0.121335012,5.582324279,3.18E-05
constant+Day337,heat_day10,0.031373485,0.844612697,3.583569413,1220.034894,,0.01951804,0.121335484,5.671896098,3.34E-05
constant+Day338,heat_day11,0.033198454,0.86244218,3.589212552,1220.034098,,0.019517733,0.121335818,5.739476362,3.10E-05
constant+Day339,heat_day12,0.031810651,0.850294941,3.594065143,1220.024421,,0.019517262,0.121336069,5.680188943,3.11E-05
constant+Day340,heat_day13,0.027150624,0.807123055,3.594916875,1219.958461,,0.019517544,0.121336303,5.682604353,3.37E-05
constant+Day342,heat_day15,0.023530505,0.789967951,3.701728364,1219.48396,,0.010215035,0.1213365,5.565081301,3.30E-05
constant+Day343,heat_day16,0.024278372,0.75572484,3.434826146,1219.4394,,0.01021473,0.121337146,5.404492831,4.07E-05
constant+Day344,heat_day17,0.026861561,0.758404487,3.296655961,1219.441436,,0.013816155,0.121337015,5.566817385,4.30E-05
constant+Day345,heat_day18,0.027023324,0.748302571,3.221462261,1219.570043,,0.013816136,0.121337282,5.528511319,3.27E-05
constant+Day346,heat_day19,0.025282841,0.723972819,3.168614672,1219.748514,,0.013815986,0.121337835,5.445280147,3.57E-05
constant+Day347,heat_day20,0.028816386,0.757968156,3.176129727,1219.68471,,0.014971229,0.121338784,5.632098071,3.33E-05
constant+Day348,heat_day21,0.031531338,0.693452366,2.594642527,1219.969492,,0.017925589,0.12133941,5.277224589,3.29E-05
constant+Day349,heat_day22,0.030719875,0.597607812,2.022488672,1220.04421,,0.017925689,0.104029638,5.005625944,3.43E-05
constant+Day350,heat_day23,0.034016698,0.580916861,1.71584181,1220.278654,,0.018974461,0.088675595,5.20975044,3.22E-05
constant+Day351,heat_day24,0.03621942,0.598258386,1.695578975,1220.411487,,0.018974384,0.088675984,5.225970366,3.33E-05
constant+Day352,heat_day25,0.039994692,0.632273344,1.688666865,1220.567725,,0.021261583,0.088676296,5.354537584,3.47E-05
constant+Day353,heat_day26,0.041468596,0.636209766,1.625429315,1220.71361,,0.02126142,0.088676505,5.270797422,3.26E-05
constant+Day354,heat_day27,0.045454715,0.67383726,1.629229181,1220.787751,,0.02126142,0.088675799,5.343647394,3.27E-05
constant+Day355,heat_day28,0.047782398,0.675736357,1.501385431,1220.925319,,0.021261618,0.078050107,5.42694251,3.45E-05
constant+Day356,heat_day29,0.04973089,0.682493894,1.427852134,1221.154556,,0.021261611,0.077167528,5.438794645,3.34E-05
constant+Day357,heat_day30,0.049758258,0.670479809,1.348360729,1221.214285,,0.021261458,0.069511217,5.422769194,3.23E-05
constant+Day358,heat_day31,0.049591098,0.666385723,1.331898253,1221.21944,,0.021261307,0.066350785,5.394111409,3.47E-05
constant+Day15,heat_day32,0.045668574,0.901627219,3.092286584,1220.912738,,0.022478841,0.116520151,5.980068423,2.93E-05
constant+Day16,heat_day33,0.044894783,0.892643875,3.08066983,1220.799818,,0.022479116,0.116520049,5.94875165,4.46E-05
constant+Day17,heat_day34,0.045412221,0.898844166,3.089689094,1220.809703,,0.022479325,0.116519751,6.043106545,4.56E-05
constant+Day18,heat_day35,0.050161231,0.952839656,3.153609837,1220.789769,,0.023047386,0.116519718,6.184498036,4.56E-05
constant+Day19,heat_day36,0.044742429,0.895048563,3.105423872,1220.95769,,0.023047273,0.116519903,5.831758976,4.38E-05
constant+Day20,heat_day37,0.038513472,0.837352284,3.10663132,1220.536892,,0.023047123,0.116520415,5.563382545,4.38E-05
constant+Day22,heat_day39,0.045260906,0.891152459,3.048962347,1220.387086,,0.023046804,0.116521184,5.732750647,4.25E-05
constant+Day23,heat_day40,0.045666703,0.876532081,2.929798732,1220.475515,,0.023046625,0.116521768,5.739852049,4.31E-05
constant+Day24,heat_day41,0.043291956,0.860111914,2.966388922,1220.3027,,0.023046377,0.11652234,5.688982668,4.45E-05
constant+Day25,heat_day42,0.041561394,0.852956243,3.024221072,1220.121732,,0.023046282,0.116522449,5.736899664,4.38E-05
constant+Day26,heat_day43,0.045977133,0.883735406,2.957780859,1220.09141,,0.023046019,0.116523604,5.728448538,4.37E-05
constant+Day27,heat_day44,0.047846735,0.774162997,2.135253594,1220.296115,,0.023045683,0.116524574,5.30426159,4.45E-05
constant+Day28,heat_day45,0.047192886,0.73884502,1.945783601,1220.387341,,0.023045835,0.076295045,5.722555601,4.47E-05
constant+Day29,heat_day46,0.048149151,0.894227571,2.894987228,1220.335391,,0.023045682,0.112857628,6.209416414,4.47E-05
constant+Day30,heat_day47,0.046659152,0.959422284,3.407119541,1220.194457,,0.023045601,0.112857835,6.063181533,4.31E-05
constant+Day31,heat_day48,0.043842422,0.93416872,3.413086569,1220.011041,,0.023045816,0.112858512,5.949663231,4.28E-05
constant+Day32,heat_day49,0.037418468,0.914486771,3.672343298,1219.956864,,0.017316683,0.112859009,6.164183105,4.40E-05
constant+Day33,heat_day50,0.038863189,0.98689262,4.054501123,1219.571085,,0.017316778,0.112858486,6.297894062,4.69E-05
constant+Day34,heat_day51,0.039447603,0.980936883,3.980724448,1219.743493,,0.017317031,0.112858059,6.337376208,4.49E-05
constant+Day35,heat_day52,0.039523875,0.979702845,3.96813633,1219.913098,,0.017316875,0.11285835,6.291815791,4.49E-05
constant+Day36,heat_day53,0.038557223,0.967981672,3.950392296,1219.9253,,0.01731669,0.112858504,6.314434538,4.31E-05
constant+Day37,heat_day54,0.041620671,0.999046544,3.967224093,1220.049529,,0.018006128,0.112859243,6.381675996,4.55E-05
constant+Day38,heat_day55,0.040866183,0.976497422,3.866547525,1219.69375,,0.018005704,0.1128599,6.388376713,4.37E-05
constant+Day39,heat_day56,0.03864825,1.009236738,4.212218124,1219.689705,,0.018005524,0.112860804,6.580744851,4.40E-05
constant+Day40,heat_day57,0.034947497,1.020172267,4.505893967,1219.542559,,0.018005605,0.112860024,6.330548179,4.55E-05
constant+Day41,heat_day58,0.031332889,1.028210741,4.775611998,1219.387114,,0.018005506,0.112860429,6.457724871,4.48E-05
constant+Day42,heat_day59,0.03228831,1.024308159,4.692800316,1219.261436,,0.018005273,0.112861667,6.124691879,4.38E-05
