Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day318,peak_heat_day,0.465695751,1.628625461,9.000622091,0,,0.000255172,0.117980312,18.21795701,2.03E-05
constant+Day341,typical_heat_day,0.62688466,2.214731641,12.23734718,0,,0.000255172,0.118017908,27.91976572,2.87E-05
dynamic+Day318,peak_heat_day,0.465934298,1.628625461,9.000622091,0,,0.000255172,0.117980312,18.21795701,2.90E-05
dynamic+Day341,typical_heat_day,0.627123208,2.214731641,12.23734718,0,,0.000255172,0.118017908,27.91976572,2.89E-05
highly_dynamic+Day318,peak_heat_day,0.465171521,1.628625461,9.000622091,0,,0.000255172,0.117980312,18.21795701,2.96E-05
highly_dynamic+Day341,typical_heat_day,0.625931716,2.214731641,12.23734718,0,,0.000255172,0.118017908,27.91976572,2.86E-05
constant+Day328,heat_day1,0.505393263,1.773915065,9.802875231,0,,0.000255172,0.117948449,19.2316875,4.00E-05
constant+Day329,heat_day2,0.512522019,1.799836254,9.946022951,0,,0.000255172,0.117992266,19.95715331,6.03E-05
constant+Day330,heat_day3,0.524807087,1.844506537,10.19271106,0,,0.000255172,0.118017909,21.45575443,4.89E-05
constant+Day331,heat_day4,0.531437698,1.868616397,10.32585586,0,,0.000255172,0.11801791,20.8763416,5.08E-05
constant+Day332,heat_day5,0.541712114,1.90597566,10.53216944,0,,0.000255172,0.118017908,23.45416601,4.68E-05
constant+Day333,heat_day6,0.541121567,1.903828347,10.52031107,0,,0.000255172,0.118017909,22.49780995,4.56E-05
constant+Day334,heat_day7,0.558056545,1.964462662,10.85525651,0,,0.000255172,0.11801791,22.14174623,4.58E-05
constant+Day335,heat_day8,0.575537861,2.028027256,11.20628696,0,,0.000255172,0.11801791,22.14178655,4.18E-05
constant+Day336,heat_day9,0.59142621,2.085799587,11.5253301,0,,0.000255172,0.118017909,24.51111048,3.99E-05
constant+Day337,heat_day10,0.616101732,2.175523356,12.02082253,0,,0.000255172,0.118017908,27.13435839,4.04E-05
constant+Day338,heat_day11,0.632789985,2.236204256,12.355928,0,,0.000255172,0.118017909,27.92305528,4.05E-05
constant+Day339,heat_day12,0.636105627,2.248260408,12.42250715,0,,0.000255172,0.118017909,27.9829286,4.05E-05
constant+Day340,heat_day13,0.630905217,2.229350967,12.31808126,0,,0.000255172,0.118017909,27.95245759,4.06E-05
constant+Day342,heat_day15,0.60106306,2.12084057,11.71884116,0,,0.000255172,0.11801791,27.91984932,4.04E-05
constant+Day343,heat_day16,0.577824033,2.036340108,11.25219403,0,,0.000255172,0.118017909,24.46159894,4.00E-05
constant+Day344,heat_day17,0.544093788,1.913692058,10.57487986,0,,0.000255172,0.117979404,19.97055866,4.08E-05
constant+Day345,heat_day18,0.526315233,1.849046664,10.21788078,0,,0.000255172,0.117979408,19.59044014,4.08E-05
constant+Day346,heat_day19,0.513393744,1.802062261,9.95841312,0,,0.000255172,0.117874387,17.69568404,4.24E-05
constant+Day347,heat_day20,0.509689255,1.788592204,9.884025795,0,,0.000255172,0.117874385,18.09885637,4.04E-05
constant+Day348,heat_day21,0.503054019,1.764465525,9.750788113,0,,0.000255172,0.117874385,18.13606304,4.10E-05
constant+Day349,heat_day22,0.493123952,1.728358365,9.551389176,0,,0.000255172,0.117874386,18.13604727,4.15E-05
constant+Day350,heat_day23,0.488114675,1.710143912,9.450801296,0,,0.000255172,0.117873413,17.02491117,4.10E-05
constant+Day351,heat_day24,0.482403949,1.689378885,9.336128076,0,,0.000255172,0.117479107,15.76228494,4.10E-05
constant+Day352,heat_day25,0.477767176,1.672518907,9.24302018,0,,0.000255172,0.11747257,15.50950357,4.05E-05
constant+Day353,heat_day26,0.47666321,1.668504729,9.220852197,0,,0.000255172,0.117472581,15.62083883,4.03E-05
constant+Day354,heat_day27,0.478567038,1.675427323,9.259081674,0,,0.000255172,0.117472586,15.7634937,4.04E-05
constant+Day355,heat_day28,0.485206704,1.69957011,9.392408308,0,,0.000255172,0.117472576,15.76341997,4.01E-05
constant+Day356,heat_day29,0.497691823,1.744967807,9.643113507,0,,0.000255172,0.117472577,15.76350708,4.05E-05
constant+Day357,heat_day30,0.505001018,1.771545095,9.789884484,0,,0.000255172,0.117503301,16.64409597,4.02E-05
constant+Day358,heat_day31,0.516396843,1.812981961,10.0187163,0,,0.000255172,0.117503301,18.21511871,4.05E-05
constant+Day15,heat_day32,0.527230975,1.854149905,10.24588032,0,,0.000255172,0.118005306,27.4154672,2.70E-05
constant+Day16,heat_day33,0.499805109,1.75442549,9.695160109,0,,0.000255172,0.117862521,23.85276704,4.18E-05
constant+Day17,heat_day34,0.485660542,1.702993801,9.41113267,0,,0.000255172,0.117852185,22.65510008,3.84E-05
constant+Day18,heat_day35,0.487907795,1.711165136,9.456258222,0,,0.000255172,0.117852185,22.70542374,4.08E-05
constant+Day19,heat_day36,0.490331582,1.719978377,9.504928649,0,,0.000255172,0.117852183,22.7232181,4.11E-05
constant+Day20,heat_day37,0.508763165,1.786998277,9.875040757,0,,0.000255172,0.117852181,22.72305539,3.86E-05
constant+Day21,heat_day38,0.507725225,1.783224175,9.854198577,0,,0.000255172,0.117852183,21.19676646,3.99E-05
constant+Day22,heat_day39,0.508099621,1.784585533,9.861716569,0,,0.000255172,0.117888382,22.21371764,3.98E-05
constant+Day23,heat_day40,0.517711353,1.819535181,10.05472324,0,,0.000255172,0.117945068,24.20391107,4.06E-05
constant+Day24,heat_day41,0.520429424,1.829418479,10.10930297,0,,0.000255172,0.117945068,23.88188335,4.03E-05
constant+Day25,heat_day42,0.520137916,1.828358517,10.10344941,0,,0.000255172,0.117945066,24.18189494,3.94E-05
constant+Day26,heat_day43,0.528118639,1.857377578,10.26370489,0,,0.000255172,0.117945068,24.18180974,3.89E-05
constant+Day27,heat_day44,0.549485258,1.933296225,10.68314232,0,,0.000255172,0.117945066,21.038357,4.07E-05
constant+Day28,heat_day45,0.548800632,1.930806823,10.6693948,0,,0.000255172,0.117945068,20.48662871,4.20E-05
constant+Day29,heat_day46,0.549881361,1.934736511,10.69109619,0,,0.000255172,0.117945067,21.42085523,4.08E-05
constant+Day30,heat_day47,0.554434875,1.951293746,10.78253221,0,,0.000255172,0.117945065,21.22222607,4.03E-05
constant+Day31,heat_day48,0.557856309,1.963734574,10.8512357,0,,0.000255172,0.117945066,22.70473909,4.08E-05
constant+Day32,heat_day49,0.560218839,1.972325074,10.89867606,0,,0.000255172,0.117945068,22.37062547,4.07E-05
constant+Day33,heat_day50,0.572750556,2.01789221,11.15031697,0,,0.000255172,0.117945069,22.33449428,4.12E-05
constant+Day34,heat_day51,0.563930136,1.985819888,10.9732001,0,,0.000255172,0.117945069,22.35891556,4.12E-05
constant+Day35,heat_day52,0.568723981,2.003251002,11.06946206,0,,0.000255172,0.117945067,22.78817027,4.12E-05
constant+Day36,heat_day53,0.560050886,1.971714375,10.89530352,0,,0.000255172,0.117945068,19.59651673,4.27E-05
constant+Day37,heat_day54,0.540016384,1.898866027,10.49300427,0,,0.000255172,0.117927574,15.8913237,4.08E-05
constant+Day38,heat_day55,0.517618571,1.817424342,10.043249,0,,0.000255172,0.117927773,12.72696987,4.08E-05
constant+Day39,heat_day56,0.512380363,1.798377459,9.938064093,0,,0.000255172,0.117927562,13.62723069,4.30E-05
constant+Day40,heat_day57,0.500445233,1.754979604,9.698402863,0,,0.000255172,0.117927676,13.63802584,4.08E-05
constant+Day41,heat_day58,0.497108492,1.742846728,9.631400017,0,,0.000255172,0.11792783,13.65215467,3.98E-05
constant+Day42,heat_day59,0.504993491,1.771517726,9.789733337,0,,0.000255172,0.117927688,14.44171199,4.14E-05
constant+Day43,heat_day60,0.502426097,1.76218231,9.738179242,0,,0.000255172,0.117927864,13.52141581,4.18E-05
constant+Day44,heat_day61,0.490928002,1.720373574,9.507293799,0,,0.000255172,0.117927787,12.79623936,3.99E-05
constant+Day45,heat_day62,0.47942414,1.678543869,9.276292557,0,,0.000255172,0.117856753,10.53722321,4.11E-05
constant+Day297,heat_day63,0.262058257,0.89080542,4.925797687,0,,0.000255172,0.114381418,4.48674558,4.05E-05
constant+Day298,heat_day64,0.261665035,0.88937561,4.917901673,0,,0.000255172,0.114277419,4.67309417,4.06E-05
constant+Day299,heat_day65,0.264057997,0.898076764,4.965953108,0,,0.000255172,0.114277421,4.660523035,4.13E-05
