Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day26,peak_heat_day,0.168287105,0.610488327,1.790288348,0,,0.033342503,,11.83560315,4.43E-05
constant+Day18,typical_heat_day,0.098876087,0.358688784,1.051873267,0,,0.027626605,,7.70105573,0.000101025
constant+Day199,peak_cool_day,0.205633232,0.745967364,2.187587579,79.94506592,,0.023886072,,8.613857765,9.75E-05
constant+Day144,typical_cool_day,0.079686642,0.289076011,0.847730236,20.29354815,,0.011696546,,2.667132223,8.74E-05
constant+Day84,mix_day,0.029301108,0.106294446,0.311713919,0,,0.01568209,,4.993719423,8.56E-05
dynamic+Day26,peak_heat_day,0.16537634,0.610488327,1.790288348,0,,0.033342503,,11.83560315,9.86E-05
dynamic+Day18,typical_heat_day,0.095265135,0.358688784,1.051873267,0,,0.027626605,,7.70105573,0.000104008
dynamic+Day199,peak_cool_day,0.246459126,0.745967364,2.187587579,79.94506592,,0.023886072,,8.613857765,9.97E-05
dynamic+Day144,typical_cool_day,0.093734802,0.289076011,0.847730236,20.29354815,,0.011696546,,2.667132223,8.75E-05
dynamic+Day84,mix_day,0.029118,0.106294446,0.311713919,0,,0.01568209,,4.993719423,8.59E-05
highly_dynamic+Day26,peak_heat_day,0.133266645,0.610488327,1.790288348,0,,0.033342503,,11.83560315,9.86E-05
highly_dynamic+Day18,typical_heat_day,0.072336711,0.358688784,1.051873267,0,,0.027626605,,7.70105573,0.000104846
highly_dynamic+Day199,peak_cool_day,0.16543345,0.745967364,2.187587579,79.94506592,,0.023886072,,8.613857765,0.000100005
highly_dynamic+Day144,typical_cool_day,0.055702714,0.289076011,0.847730236,20.29354815,,0.011696546,,2.667132223,8.62E-05
highly_dynamic+Day84,mix_day,0.021895619,0.106294446,0.311713919,0,,0.01568209,,4.993719423,8.63E-05
constant+Day15,heat_day1,0.099944624,0.362565073,1.063240682,0,,0.027626643,,7.845455039,5.49E-05
constant+Day16,heat_day2,0.096783173,0.351096406,1.029608229,0,,0.027627121,,7.682671114,0.000104811
constant+Day17,heat_day3,0.096909438,0.351554451,1.03095147,0,,0.027626755,,7.663891525,0.000111676
constant+Day19,heat_day5,0.110106319,0.399428242,1.171343818,0,,0.027626783,,8.169186407,0.000105042
constant+Day20,heat_day6,0.121337719,0.440171939,1.2908268,0,,0.033343342,,10.01813906,9.98E-05
constant+Day21,heat_day7,0.13036442,0.472917736,1.386855531,0,,0.033343466,,10.55407773,0.000100735
constant+Day22,heat_day8,0.135726256,0.492368652,1.443896339,0,,0.033343693,,10.79259321,9.40E-05
constant+Day23,heat_day9,0.146695055,0.532159721,1.560585693,0,,0.033343997,,11.18445805,9.35E-05
constant+Day24,heat_day10,0.153311837,0.556163155,1.630976994,0,,0.033343374,,11.2887161,9.48E-05
constant+Day25,heat_day11,0.162911244,0.590986533,1.733098336,0,,0.033343919,,11.59850671,0.000133992
constant+Day27,heat_day13,0.16948082,0.61481872,1.802987448,0,,0.033343299,,11.85396932,9.85E-05
constant+Day28,heat_day14,0.172748145,0.626671462,1.837746222,0,,0.033342767,,11.89006049,9.60E-05
constant+Day29,heat_day15,0.184373515,0.668844348,1.961420377,0,,0.033342729,,12.23608524,9.52E-05
constant+Day30,heat_day16,0.19551538,0.709263242,2.079950855,0,,0.033343681,,12.69913669,0.000100711
constant+Day31,heat_day17,0.204701389,0.742586952,2.177674346,0,,0.033344462,,13.10117777,9.69E-05
constant+Day32,heat_day18,0.206840978,0.750348655,2.200435938,0,,0.03334449,,13.26384801,9.78E-05
constant+Day33,heat_day19,0.194959713,0.707247469,2.074039499,0,,0.033343189,,12.76232376,9.46E-05
constant+Day34,heat_day20,0.175255686,0.635767968,1.864422193,0,,0.030293194,,10.65483186,0.000104411
constant+Day35,heat_day21,0.158835652,0.576201673,1.689740977,0,,0.030293866,,9.941441385,0.000106868
