Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day15,peak_heat_day,0.262265977,0.383581297,3.216793373,5.423494474,0.089666447,0.004907779,,7.993202114,2.72E-05
constant+Day275,typical_heat_day,0.157073507,0.287941172,2.115417954,12196.2297,0.078413743,0.005564101,,0.936136859,4.45E-05
dynamic+Day15,peak_heat_day,0.263187371,0.383581297,3.216793373,5.423494474,0.089666447,0.004907779,,7.993202114,4.95E-05
dynamic+Day275,typical_heat_day,0.159925542,0.287941172,2.115417954,12196.2297,0.078413743,0.005564101,,0.936136859,4.41E-05
highly_dynamic+Day15,peak_heat_day,0.263331494,0.383581297,3.216793373,5.423494474,0.089666447,0.004907779,,7.993202114,4.83E-05
highly_dynamic+Day275,typical_heat_day,0.160904631,0.287941172,2.115417954,12196.2297,0.078413743,0.005564101,,0.936136859,4.55E-05
constant+Day16,heat_day2,0.258112958,0.375469191,3.159243058,5.201238619,0.089658556,0.004836037,,7.941911545,5.31E-05
constant+Day17,heat_day3,0.255651787,0.37143734,3.127653595,4.938424812,0.089624805,0.004836039,,8.378440717,4.96E-05
constant+Day18,heat_day4,0.257944315,0.37476988,3.155706047,4.938591,0.086788447,0.004836039,,8.458327515,5.00E-05
constant+Day19,heat_day5,0.261594783,0.379804667,3.199493332,5.009028869,0.086788528,0.004836031,,8.518659231,5.24E-05
constant+Day20,heat_day6,0.261825298,0.379706732,3.200909178,5.127987268,0.086788717,0.004836043,,8.754413181,5.33E-05
constant+Day21,heat_day7,0.262670814,0.380894997,3.211122877,5.128061236,0.086789615,0.004836039,,8.751645906,5.04E-05
constant+Day22,heat_day8,0.264418889,0.383351286,3.23223801,5.021751808,0.086790759,0.004836037,,8.705235136,4.87E-05
constant+Day23,heat_day9,0.264197135,0.382033014,3.22629351,4.890760219,0.089661766,0.004836041,,8.556585061,4.48E-05
constant+Day24,heat_day10,0.261750449,0.376020503,3.188387206,4.370172186,0.0896618,0.001722442,,8.357255645,4.72E-05
constant+Day25,heat_day11,0.275993292,0.40122237,3.377261068,458.6851003,0.089661847,0.005560854,,8.188408805,5.08E-05
