Time,fcu.heaCoi.Q_flow,fcu.cooCoi.Q_flow
0,0,0
300,0,0
600,0,0
900,0,0
1200,0,0
1500,0,0
1800,0,0
2100,0,0
2400,0,0
2700,0,0
3000,0,0
3300,0,0
3600,0,0
3900,0,0
4200,0,0
4500,0,0
4800,0,0
5100,0,0
5400,0,0
5700,0,0
6000,0,0
6300,0,0
6600,0,0
6900,0,0
7200,0,0
7500,0,0
7800,0,0
8100,0,0
8400,0,0
8700,0,0
9000,0,0
9300,0,0
9600,0,0
9900,0,0
10200,0,0
10500,0,0
10800,0,0
11100,0,0
11400,0,0
11700,0,0
12000,0,0
12300,0,0
12600,0,0
12900,0,0
13200,0,0
13500,0,0
13800,0,0
14100,0,0
14400,0,0
14700,0,0
15000,0,0
15300,0,0
15600,0,0
15900,0,0
16200,0,0
16500,0,0
16800,0,0
17100,0,0
17400,0,0
17700,0,0
18000,0,0
18300,0,0
18600,0,0
18900,0,0
19200,0,0
19500,0,0
19800,0,0
20100,0,0
20400,0,0
20700,0,0
21000,0,0
21300,0,0
21600,0,0
21900,0,0
22200,0,0
22500,0,0
22800,0,0
23100,0,0
23400,0,0
23700,0,0
24000,0,0
24300,0,0
24600,0,0
24900,0,0
25200,0,0
25500,0,0
25800,0,0
26100,0,0
26400,0,0
26700,0,0
27000,0,0
27300,0,0
27600,0,0
27900,0,0
28200,0,0
28500,0,0
28800,0,0
28800,0,0
29100,1243.3356,8.8726636E-05
29400,1132.6371,8.081489E-05
29700,1045.4402,7.45852E-05
30000,973.22894,6.942789E-05
30300,911.8345,6.5044194E-05
30600,858.9671,6.1270024E-05
30900,813.3091,5.8011196E-05
31200,773.8563,5.5195735E-05
31500,739.8503,5.276905E-05
31800,710.66656,5.06864E-05
32100,685.7881,4.8910857E-05
32400,664.7127,4.7406582E-05
32700,647.05884,4.614636E-05
33000,631.9358,4.5066685E-05
33300,618.5799,4.4113094E-05
33600,606.17474,4.3227385E-05
33900,593.7593,4.234103E-05
34200,580.50793,4.1395175E-05
34500,564.66815,4.026488E-05
34800,538.0096,3.8363425E-05
35100,501.803,3.578144E-05
35400,454.8768,3.2435495E-05
35700,394.5572,2.8135093E-05
36000,328.3704,2.3416664E-05
36300,253.27716,1.806316E-05
36600,175.40237,1.2510731E-05
36900,101.57369,7.245766E-06
37200,41.7775,2.9805224E-06
37500,-4.8259005E-07,-3.443076E-14
37800,-3.627569E-11,-2.5881172E-18
38100,-3.2790257E-11,-2.339446E-18
38400,-3.1088625E-11,-2.2180418E-18
38700,-2.9090058E-11,-2.0754526E-18
39000,-2.7953131E-11,-1.9943376E-18
39300,-2.6682753E-11,-1.9037016E-18
39600,-2.4312578E-11,-1.7345996E-18
39900,-2.0591539E-11,-1.4691192E-18
40200,-1.8887517E-11,-1.3475444E-18
40500,-1.802914E-11,-1.286303E-18
40800,-1.7324508E-11,-1.2360303E-18
41100,-1.6647414E-11,-1.1877226E-18
41400,-1.6210784E-11,-1.1565709E-18
41700,-1.537158E-11,-1.0966973E-18
42000,1.2121607E-09,8.648254E-17
42028.324,1.7852955E-09,1.2737328E-16
42028.324,1.2737328E-16,1.0195342E-09
42300,1.3310943E-05,146.24977
42600,1.8485367E-05,203.77637
42900,2.3893796E-05,263.4818
43200,2.9354938E-05,323.80588
43500,3.4786175E-05,383.86313
43800,4.0147715E-05,443.2091
44100,4.5444736E-05,501.89566
44400,5.0659815E-05,559.7283
44700,5.5781235E-05,616.59875
45000,6.080037E-05,672.30774
45300,6.571243E-05,726.953
45600,7.051894E-05,780.47424
45900,7.5212985E-05,832.8299
46200,7.957319E-05,881.49286
46500,8.390583E-05,929.9077
46800,8.816697E-05,977.57837
47100,9.2342845E-05,1024.3496
47400,9.642829E-05,1070.1619
47700,0.000100415375,1114.9242
48000,0.00010429167,1158.4944
48300,0.00010804008,1200.6763
48600,0.00011163692,1241.2001
48900,0.00011506569,1279.8733
49200,0.00011834596,1316.9158
49500,0.00012141782,1351.6388
49800,0.00012425557,1383.7267
50100,0.00012683841,1413.0874
50400,0.00012915014,1439.2181
50700,0.00013118319,1462.2804
51000,0.00013297467,1482.6182
51300,0.00013458004,1500.8568
51600,0.00013600398,1517.043
51900,0.0001372951,1531.7274
52200,0.00013850274,1545.4688
52500,0.00013961586,1558.1403
52800,0.00014062041,1569.5803
53100,0.00014150262,1579.6315
53400,0.00014224961,1588.1458
53700,0.00014284672,1594.9528
54000,0.00014327868,1599.8805
54300,0.00014353491,1602.8027
54600,0.00014362064,1603.784
54900,0.00014359357,1603.478
55200,0.00014332587,1600.4294
55500,0.00014278687,1594.2885
55800,0.00014201688,1585.5167
56100,0.00014099879,1573.9218
56400,0.00013958343,1557.8091
56700,0.00013766548,1535.9874
57000,0.00013521362,1508.1128
57300,0.00013227822,1474.7732
57600,0.00012899711,1437.5491
57900,0.00012536853,1396.4329
58200,0.000121270285,1350.057
58500,0.00011682605,1299.8389
58800,0.00011215173,1247.0999
59100,0.00010740496,1193.6248
59400,0.00010288986,1142.8329
59700,9.876469E-05,1096.4885
60000,9.498921E-05,1054.1224
60300,9.145764E-05,1014.53516
60600,8.8082765E-05,976.74115
60900,8.4873434E-05,940.8335
61200,8.1847604E-05,907.00714
61500,7.902975E-05,875.5298
61800,7.640548E-05,846.2353
62100,7.395689E-05,818.9194
62400,7.167381E-05,793.4645
62700,6.953881E-05,769.6734
63000,6.7523906E-05,747.2317
63300,6.5623964E-05,726.07965
63600,6.382181E-05,706.02515
63900,6.21013E-05,686.88684
64200,6.043247E-05,668.3301
64500,5.8807433E-05,650.2698
64800,5.7217243E-05,632.6036
64800,5.7217243E-05,0.7516103
65100,-5.6011385E-12,-1.489796E-17
65400,-5.5550394E-11,-1.0410505E-16
65700,-5.469344E-11,-9.545651E-17
66000,-4.8086854E-11,-8.639666E-17
66300,-4.1010466E-11,-7.977534E-17
66600,-3.4302058E-11,-7.46469E-17
