time,LowerSetp,UpperSetp
0.0,288.15,303.15
900.0,288.15,303.15
1800.0,288.15,303.15
2700.0,288.15,303.15
3600.0,288.15,303.15
4500.0,288.15,303.15
5400.0,288.15,303.15
6300.0,288.15,303.15
7200.0,288.15,303.15
8100.0,288.15,303.15
9000.0,288.15,303.15
9900.0,288.15,303.15
10800.0,288.15,303.15
11700.0,288.15,303.15
12600.0,288.15,303.15
13500.0,288.15,303.15
14400.0,288.15,303.15
15300.0,288.15,303.15
16200.0,288.15,303.15
17100.0,288.15,303.15
18000.0,288.15,303.15
18900.0,288.15,303.15
19800.0,288.15,303.15
20700.0,288.15,303.15
21600.0,288.15,303.15
22500.0,288.15,303.15
23400.0,288.15,303.15
24300.0,288.15,303.15
25200.0,288.15,303.15
26100.0,288.15,303.15
27000.0,288.15,303.15
27900.0,288.15,303.15
28800.0,294.15,297.15
29700.0,294.15,297.15
30600.0,294.15,297.15
31500.0,294.15,297.15
32400.0,294.15,297.15
33300.0,294.15,297.15
34200.0,294.15,297.15
35100.0,294.15,297.15
36000.0,294.15,297.15
36900.0,294.15,297.15
37800.0,294.15,297.15
38700.0,294.15,297.15
39600.0,294.15,297.15
40500.0,294.15,297.15
41400.0,294.15,297.15
42300.0,294.15,297.15
43200.0,294.15,297.15
44100.0,294.15,297.15
45000.0,294.15,297.15
45900.0,294.15,297.15
46800.0,294.15,297.15
47700.0,294.15,297.15
48600.0,294.15,297.15
49500.0,294.15,297.15
50400.0,294.15,297.15
51300.0,294.15,297.15
52200.0,294.15,297.15
53100.0,294.15,297.15
54000.0,294.15,297.15
54900.0,294.15,297.15
55800.0,294.15,297.15
56700.0,294.15,297.15
57600.0,294.15,297.15
58500.0,294.15,297.15
59400.0,294.15,297.15
60300.0,294.15,297.15
61200.0,294.15,297.15
62100.0,294.15,297.15
63000.0,294.15,297.15
63900.0,294.15,297.15
64800.0,294.15,297.15
65700.0,288.15,303.15
66600.0,288.15,303.15
67500.0,288.15,303.15
68400.0,288.15,303.15
69300.0,288.15,303.15
70200.0,288.15,303.15
71100.0,288.15,303.15
72000.0,288.15,303.15
72900.0,288.15,303.15
73800.0,288.15,303.15
74700.0,288.15,303.15
75600.0,288.15,303.15
76500.0,288.15,303.15
77400.0,288.15,303.15
78300.0,288.15,303.15
79200.0,288.15,303.15
80100.0,288.15,303.15
81000.0,288.15,303.15
81900.0,288.15,303.15
82800.0,288.15,303.15
83700.0,288.15,303.15
84600.0,288.15,303.15
85500.0,288.15,303.15
86400.0,288.15,303.15
87300.0,288.15,303.15
88200.0,288.15,303.15
89100.0,288.15,303.15
90000.0,288.15,303.15
90900.0,288.15,303.15
91800.0,288.15,303.15
92700.0,288.15,303.15
93600.0,288.15,303.15
94500.0,288.15,303.15
95400.0,288.15,303.15
96300.0,288.15,303.15
97200.0,288.15,303.15
98100.0,288.15,303.15
99000.0,288.15,303.15
99900.0,288.15,303.15
100800.0,288.15,303.15
101700.0,288.15,303.15
102600.0,288.15,303.15
103500.0,288.15,303.15
104400.0,288.15,303.15
105300.0,288.15,303.15
106200.0,288.15,303.15
107100.0,288.15,303.15
108000.0,288.15,303.15
108900.0,288.15,303.15
109800.0,288.15,303.15
110700.0,288.15,303.15
111600.0,288.15,303.15
112500.0,288.15,303.15
113400.0,288.15,303.15
114300.0,288.15,303.15
115200.0,294.15,297.15
116100.0,294.15,297.15
117000.0,294.15,297.15
117900.0,294.15,297.15
118800.0,294.15,297.15
119700.0,294.15,297.15
120600.0,294.15,297.15
121500.0,294.15,297.15
122400.0,294.15,297.15
123300.0,294.15,297.15
124200.0,294.15,297.15
125100.0,294.15,297.15
126000.0,294.15,297.15
126900.0,294.15,297.15
127800.0,294.15,297.15
128700.0,294.15,297.15
129600.0,294.15,297.15
130500.0,294.15,297.15
131400.0,294.15,297.15
132300.0,294.15,297.15
133200.0,294.15,297.15
134100.0,294.15,297.15
135000.0,294.15,297.15
135900.0,294.15,297.15
136800.0,294.15,297.15
137700.0,294.15,297.15
138600.0,294.15,297.15
139500.0,294.15,297.15
140400.0,294.15,297.15
141300.0,294.15,297.15
142200.0,294.15,297.15
143100.0,294.15,297.15
144000.0,294.15,297.15
144900.0,294.15,297.15
145800.0,294.15,297.15
146700.0,294.15,297.15
147600.0,294.15,297.15
148500.0,294.15,297.15
149400.0,294.15,297.15
150300.0,294.15,297.15
151200.0,294.15,297.15
152100.0,288.15,303.15
153000.0,288.15,303.15
153900.0,288.15,303.15
154800.0,288.15,303.15
155700.0,288.15,303.15
156600.0,288.15,303.15
157500.0,288.15,303.15
158400.0,288.15,303.15
159300.0,288.15,303.15
160200.0,288.15,303.15
161100.0,288.15,303.15
162000.0,288.15,303.15
162900.0,288.15,303.15
163800.0,288.15,303.15
164700.0,288.15,303.15
165600.0,288.15,303.15
166500.0,288.15,303.15
167400.0,288.15,303.15
168300.0,288.15,303.15
169200.0,288.15,303.15
170100.0,288.15,303.15
171000.0,288.15,303.15
171900.0,288.15,303.15
172800.0,288.15,303.15
173700.0,288.15,303.15
174600.0,288.15,303.15
175500.0,288.15,303.15
176400.0,288.15,303.15
177300.0,288.15,303.15
178200.0,288.15,303.15
179100.0,288.15,303.15
180000.0,288.15,303.15
180900.0,288.15,303.15
181800.0,288.15,303.15
182700.0,288.15,303.15
183600.0,288.15,303.15
184500.0,288.15,303.15
185400.0,288.15,303.15
186300.0,288.15,303.15
187200.0,288.15,303.15
188100.0,288.15,303.15
189000.0,288.15,303.15
189900.0,288.15,303.15
190800.0,288.15,303.15
191700.0,288.15,303.15
192600.0,288.15,303.15
193500.0,288.15,303.15
194400.0,288.15,303.15
195300.0,288.15,303.15
196200.0,288.15,303.15
197100.0,288.15,303.15
198000.0,288.15,303.15
198900.0,288.15,303.15
199800.0,288.15,303.15
200700.0,288.15,303.15
201600.0,294.15,297.15
202500.0,294.15,297.15
203400.0,294.15,297.15
204300.0,294.15,297.15
205200.0,294.15,297.15
206100.0,294.15,297.15
207000.0,294.15,297.15
207900.0,294.15,297.15
208800.0,294.15,297.15
209700.0,294.15,297.15
210600.0,294.15,297.15
211500.0,294.15,297.15
212400.0,294.15,297.15
213300.0,294.15,297.15
214200.0,294.15,297.15
215100.0,294.15,297.15
216000.0,294.15,297.15
216900.0,294.15,297.15
217800.0,294.15,297.15
218700.0,294.15,297.15
219600.0,294.15,297.15
220500.0,294.15,297.15
221400.0,294.15,297.15
222300.0,294.15,297.15
223200.0,294.15,297.15
224100.0,294.15,297.15
225000.0,294.15,297.15
225900.0,294.15,297.15
226800.0,294.15,297.15
227700.0,294.15,297.15
228600.0,294.15,297.15
229500.0,294.15,297.15
230400.0,294.15,297.15
231300.0,294.15,297.15
232200.0,294.15,297.15
233100.0,294.15,297.15
234000.0,294.15,297.15
234900.0,294.15,297.15
235800.0,294.15,297.15
236700.0,294.15,297.15
237600.0,294.15,297.15
238500.0,288.15,303.15
239400.0,288.15,303.15
240300.0,288.15,303.15
241200.0,288.15,303.15
242100.0,288.15,303.15
243000.0,288.15,303.15
243900.0,288.15,303.15
244800.0,288.15,303.15
245700.0,288.15,303.15
246600.0,288.15,303.15
247500.0,288.15,303.15
248400.0,288.15,303.15
249300.0,288.15,303.15
250200.0,288.15,303.15
251100.0,288.15,303.15
252000.0,288.15,303.15
252900.0,288.15,303.15
253800.0,288.15,303.15
254700.0,288.15,303.15
255600.0,288.15,303.15
256500.0,288.15,303.15
257400.0,288.15,303.15
258300.0,288.15,303.15
259200.0,288.15,303.15
260100.0,288.15,303.15
261000.0,288.15,303.15
261900.0,288.15,303.15
262800.0,288.15,303.15
263700.0,288.15,303.15
264600.0,288.15,303.15
265500.0,288.15,303.15
266400.0,288.15,303.15
267300.0,288.15,303.15
268200.0,288.15,303.15
269100.0,288.15,303.15
270000.0,288.15,303.15
270900.0,288.15,303.15
271800.0,288.15,303.15
272700.0,288.15,303.15
273600.0,288.15,303.15
274500.0,288.15,303.15
275400.0,288.15,303.15
276300.0,288.15,303.15
277200.0,288.15,303.15
278100.0,288.15,303.15
279000.0,288.15,303.15
279900.0,288.15,303.15
280800.0,288.15,303.15
281700.0,288.15,303.15
282600.0,288.15,303.15
283500.0,288.15,303.15
284400.0,288.15,303.15
285300.0,288.15,303.15
286200.0,288.15,303.15
287100.0,288.15,303.15
288000.0,294.15,297.15
288900.0,294.15,297.15
289800.0,294.15,297.15
290700.0,294.15,297.15
291600.0,294.15,297.15
292500.0,294.15,297.15
293400.0,294.15,297.15
294300.0,294.15,297.15
295200.0,294.15,297.15
296100.0,294.15,297.15
297000.0,294.15,297.15
297900.0,294.15,297.15
298800.0,294.15,297.15
299700.0,294.15,297.15
300600.0,294.15,297.15
301500.0,294.15,297.15
302400.0,294.15,297.15
303300.0,294.15,297.15
304200.0,294.15,297.15
305100.0,294.15,297.15
306000.0,294.15,297.15
306900.0,294.15,297.15
307800.0,294.15,297.15
308700.0,294.15,297.15
309600.0,294.15,297.15
310500.0,294.15,297.15
311400.0,294.15,297.15
312300.0,294.15,297.15
313200.0,294.15,297.15
314100.0,294.15,297.15
315000.0,294.15,297.15
315900.0,294.15,297.15
316800.0,294.15,297.15
317700.0,294.15,297.15
318600.0,294.15,297.15
319500.0,294.15,297.15
320400.0,294.15,297.15
321300.0,294.15,297.15
322200.0,294.15,297.15
323100.0,294.15,297.15
324000.0,294.15,297.15
324900.0,288.15,303.15
325800.0,288.15,303.15
326700.0,288.15,303.15
327600.0,288.15,303.15
328500.0,288.15,303.15
329400.0,288.15,303.15
330300.0,288.15,303.15
331200.0,288.15,303.15
332100.0,288.15,303.15
333000.0,288.15,303.15
333900.0,288.15,303.15
334800.0,288.15,303.15
335700.0,288.15,303.15
336600.0,288.15,303.15
337500.0,288.15,303.15
338400.0,288.15,303.15
339300.0,288.15,303.15
340200.0,288.15,303.15
341100.0,288.15,303.15
342000.0,288.15,303.15
342900.0,288.15,303.15
343800.0,288.15,303.15
344700.0,288.15,303.15
345600.0,288.15,303.15
346500.0,288.15,303.15
347400.0,288.15,303.15
348300.0,288.15,303.15
349200.0,288.15,303.15
350100.0,288.15,303.15
351000.0,288.15,303.15
351900.0,288.15,303.15
352800.0,288.15,303.15
353700.0,288.15,303.15
354600.0,288.15,303.15
355500.0,288.15,303.15
356400.0,288.15,303.15
357300.0,288.15,303.15
358200.0,288.15,303.15
359100.0,288.15,303.15
360000.0,288.15,303.15
360900.0,288.15,303.15
361800.0,288.15,303.15
362700.0,288.15,303.15
363600.0,288.15,303.15
364500.0,288.15,303.15
365400.0,288.15,303.15
366300.0,288.15,303.15
367200.0,288.15,303.15
368100.0,288.15,303.15
369000.0,288.15,303.15
369900.0,288.15,303.15
370800.0,288.15,303.15
371700.0,288.15,303.15
372600.0,288.15,303.15
373500.0,288.15,303.15
374400.0,294.15,297.15
375300.0,294.15,297.15
376200.0,294.15,297.15
377100.0,294.15,297.15
378000.0,294.15,297.15
