# time: time [s],,,,,,,
# UpperSetp: Cooling zone temperature setpoint [K],,,,,,,
# LowerSetp: Heating zone temperature setpoint [K],,,,,,,
# InternalGainsRad: Radiative internal gains [W],,,,,,,
# InternalGainsCon: Convective internal gains [W],,,,,,,
# InternalGainsLat: Latent internal gains [W],,,,,,,
# Occupancy: Number of occupants [ppl],,,,,,,
# UpperCO2: Zone CO2 concentration upper limit [ppm],,,,,,,
Time,UpperSetp[1],LowerSetp[1],InternalGainsRad[1],InternalGainsCon[1],InternalGainsLat[1],Occupancy[1],UpperCO2[1]
0,303.15,288.15,46.464,36.096,0,0,1500
600,303.15,288.15,46.464,36.096,0,0,1500
1200,303.15,288.15,46.464,36.096,0,0,1500
1800,303.15,288.15,46.464,36.096,0,0,1500
2400,303.15,288.15,46.464,36.096,0,0,1500
3000,303.15,288.15,46.464,36.096,0,0,1500
3600,303.15,288.15,46.464,36.096,0,0,1500
4200,303.15,288.15,46.464,36.096,0,0,1500
4800,303.15,288.15,46.464,36.096,0,0,1500
5400,303.15,288.15,46.464,36.096,0,0,1500
6000,303.15,288.15,46.464,36.096,0,0,1500
6600,303.15,288.15,46.464,36.096,0,0,1500
7200,303.15,288.15,46.464,36.096,0,0,1500
7800,303.15,288.15,46.464,36.096,0,0,1500
8400,303.15,288.15,46.464,36.096,0,0,1500
9000,303.15,288.15,46.464,36.096,0,0,1500
9600,303.15,288.15,46.464,36.096,0,0,1500
10200,303.15,288.15,46.464,36.096,0,0,1500
10800,303.15,288.15,46.464,36.096,0,0,1500
11400,303.15,288.15,46.464,36.096,0,0,1500
12000,303.15,288.15,46.464,36.096,0,0,1500
12600,303.15,288.15,46.464,36.096,0,0,1500
13200,303.15,288.15,46.464,36.096,0,0,1500
13800,303.15,288.15,46.464,36.096,0,0,1500
14400,303.15,288.15,46.464,36.096,0,0,1500
15000,303.15,288.15,46.464,36.096,0,0,1500
15600,303.15,288.15,46.464,36.096,0,0,1500
16200,303.15,288.15,46.464,36.096,0,0,1500
16800,303.15,288.15,46.464,36.096,0,0,1500
17400,303.15,288.15,46.464,36.096,0,0,1500
18000,303.15,288.15,46.464,36.096,0,0,1500
18600,303.15,288.15,46.464,36.096,0,0,1500
19200,303.15,288.15,46.464,36.096,0,0,1500
19800,303.15,288.15,46.464,36.096,0,0,1500
20400,303.15,288.15,46.464,36.096,0,0,1500
21000,303.15,288.15,46.464,36.096,0,0,1500
21600,303.15,288.15,46.464,36.096,0,0,1500
22200,303.15,288.15,46.464,36.096,0,0,1500
22800,303.15,288.15,46.464,36.096,0,0,1500
23400,303.15,288.15,46.464,36.096,0,0,1500
24000,303.15,288.15,46.464,36.096,0,0,1500
24600,303.15,288.15,46.464,36.096,0,0,1500
25200,303.15,288.15,46.464,36.096,0,0,1500
25800,303.15,288.15,46.464,36.096,0,0,1500
26400,303.15,288.15,46.464,36.096,0,0,1500
27000,303.15,288.15,46.464,36.096,0,0,1500
27600,303.15,288.15,46.464,36.096,0,0,1500
28200,303.15,288.15,46.464,36.096,0,0,1500
28800,297.15,294.15,552.24,419.360016,90,2,894
29400,297.15,294.15,552.24,419.360016,90,2,894
30000,297.15,294.15,552.24,419.360016,90,2,894
30600,297.15,294.15,552.24,419.360016,90,2,894
31200,297.15,294.15,552.24,419.360016,90,2,894
31800,297.15,294.15,552.24,419.360016,90,2,894
32400,297.15,294.15,552.24,419.360016,90,2,894
33000,297.15,294.15,552.24,419.360016,90,2,894
33600,297.15,294.15,552.24,419.360016,90,2,894
34200,297.15,294.15,552.24,419.360016,90,2,894
34800,297.15,294.15,552.24,419.360016,90,2,894
35400,297.15,294.15,552.24,419.360016,90,2,894
36000,297.15,294.15,552.24,419.360016,90,2,894
36600,297.15,294.15,552.24,419.360016,90,2,894
37200,297.15,294.15,552.24,419.360016,90,2,894
37800,297.15,294.15,552.24,419.360016,90,2,894
38400,297.15,294.15,552.24,419.360016,90,2,894
39000,297.15,294.15,552.24,419.360016,90,2,894
39600,297.15,294.15,552.24,419.360016,90,2,894
40200,297.15,294.15,552.24,419.360016,90,2,894
40800,297.15,294.15,552.24,419.360016,90,2,894
41400,297.15,294.15,552.24,419.360016,90,2,894
42000,297.15,294.15,552.24,419.360016,90,2,894
42600,297.15,294.15,552.24,419.360016,90,2,894
43200,297.15,294.15,552.24,419.360016,90,2,894
43701.188,297.15,294.15,552.24,419.360016,90,2,894
43800,297.15,294.15,552.24,419.360016,90,2,894
44400,297.15,294.15,552.24,419.360016,90,2,894
45000,297.15,294.15,552.24,419.360016,90,2,894
45600,297.15,294.15,552.24,419.360016,90,2,894
46200,297.15,294.15,552.24,419.360016,90,2,894
46800,297.15,294.15,552.24,419.360016,90,2,894
47400,297.15,294.15,552.24,419.360016,90,2,894
48000,297.15,294.15,552.24,419.360016,90,2,894
48600,297.15,294.15,552.24,419.360016,90,2,894
49200,297.15,294.15,552.24,419.360016,90,2,894
49800,297.15,294.15,552.24,419.360016,90,2,894
50400,297.15,294.15,552.24,419.360016,90,2,894
51000,297.15,294.15,552.24,419.360016,90,2,894
51600,297.15,294.15,552.24,419.360016,90,2,894
52200,297.15,294.15,552.24,419.360016,90,2,894
52800,297.15,294.15,552.24,419.360016,90,2,894
53400,297.15,294.15,552.24,419.360016,90,2,894
54000,297.15,294.15,552.24,419.360016,90,2,894
54600,297.15,294.15,552.24,419.360016,90,2,894
55200,297.15,294.15,552.24,419.360016,90,2,894
55800,297.15,294.15,552.24,419.360016,90,2,894
56400,297.15,294.15,552.24,419.360016,90,2,894
57000,297.15,294.15,552.24,419.360016,90,2,894
57600,297.15,294.15,552.24,419.360016,90,2,894
58200,297.15,294.15,552.24,419.360016,90,2,894
58800,297.15,294.15,552.24,419.360016,90,2,894
59400,297.15,294.15,552.24,419.360016,90,2,894
60000,297.15,294.15,552.24,419.360016,90,2,894
60600,297.15,294.15,552.24,419.360016,90,2,894
61200,297.15,294.15,552.24,419.360016,90,2,894
61800,297.15,294.15,552.24,419.360016,90,2,894
62400,297.15,294.15,552.24,419.360016,90,2,894
63000,297.15,294.15,552.24,419.360016,90,2,894
63600,297.15,294.15,552.24,419.360016,90,2,894
64200,297.15,294.15,552.24,419.360016,90,2,894
64800,297.15,294.15,552.24,419.360016,90,2,894
65400,303.15,288.15,46.464,36.096,0,0,1500
66000,303.15,288.15,46.464,36.096,0,0,1500
66600,303.15,288.15,46.464,36.096,0,0,1500
67200,303.15,288.15,46.464,36.096,0,0,1500
67800,303.15,288.15,46.464,36.096,0,0,1500
68400,303.15,288.15,46.464,36.096,0,0,1500
69000,303.15,288.15,46.464,36.096,0,0,1500
69600,303.15,288.15,46.464,36.096,0,0,1500
70200,303.15,288.15,46.464,36.096,0,0,1500
70800,303.15,288.15,46.464,36.096,0,0,1500
71400,303.15,288.15,46.464,36.096,0,0,1500
72000,303.15,288.15,46.464,36.096,0,0,1500
72600,303.15,288.15,46.464,36.096,0,0,1500
73200,303.15,288.15,46.464,36.096,0,0,1500
73800,303.15,288.15,46.464,36.096,0,0,1500
74400,303.15,288.15,46.464,36.096,0,0,1500
75000,303.15,288.15,46.464,36.096,0,0,1500
75600,303.15,288.15,46.464,36.096,0,0,1500
76200,303.15,288.15,46.464,36.096,0,0,1500
76800,303.15,288.15,46.464,36.096,0,0,1500
77400,303.15,288.15,46.464,36.096,0,0,1500
78000,303.15,288.15,46.464,36.096,0,0,1500
78600,303.15,288.15,46.464,36.096,0,0,1500
79200,303.15,288.15,46.464,36.096,0,0,1500
79800,303.15,288.15,46.464,36.096,0,0,1500
80400,303.15,288.15,46.464,36.096,0,0,1500
81000,303.15,288.15,46.464,36.096,0,0,1500
81600,303.15,288.15,46.464,36.096,0,0,1500
82200,303.15,288.15,46.464,36.096,0,0,1500
82800,303.15,288.15,46.464,36.096,0,0,1500
83400,303.15,288.15,46.464,36.096,0,0,1500
84000,303.15,288.15,46.464,36.096,0,0,1500
84600,303.15,288.15,46.464,36.096,0,0,1500
85200,303.15,288.15,46.464,36.096,0,0,1500
85800,303.15,288.15,46.464,36.096,0,0,1500
86400,303.15,288.15,46.464,36.096,0,0,1500
87000,303.15,288.15,46.464,36.096,0,0,1500
87600,303.15,288.15,46.464,36.096,0,0,1500
88200,303.15,288.15,46.464,36.096,0,0,1500
88800,303.15,288.15,46.464,36.096,0,0,1500
89400,303.15,288.15,46.464,36.096,0,0,1500
90000,303.15,288.15,46.464,36.096,0,0,1500
90600,303.15,288.15,46.464,36.096,0,0,1500
91200,303.15,288.15,46.464,36.096,0,0,1500
91800,303.15,288.15,46.464,36.096,0,0,1500
92400,303.15,288.15,46.464,36.096,0,0,1500
93000,303.15,288.15,46.464,36.096,0,0,1500
93600,303.15,288.15,46.464,36.096,0,0,1500
94200,303.15,288.15,46.464,36.096,0,0,1500
94800,303.15,288.15,46.464,36.096,0,0,1500
95400,303.15,288.15,46.464,36.096,0,0,1500
96000,303.15,288.15,46.464,36.096,0,0,1500
96600,303.15,288.15,46.464,36.096,0,0,1500
97200,303.15,288.15,46.464,36.096,0,0,1500
97800,303.15,288.15,46.464,36.096,0,0,1500
98400,303.15,288.15,46.464,36.096,0,0,1500
99000,303.15,288.15,46.464,36.096,0,0,1500
99600,303.15,288.15,46.464,36.096,0,0,1500
100200,303.15,288.15,46.464,36.096,0,0,1500
100800,303.15,288.15,46.464,36.096,0,0,1500
101400,303.15,288.15,46.464,36.096,0,0,1500
102000,303.15,288.15,46.464,36.096,0,0,1500
102600,303.15,288.15,46.464,36.096,0,0,1500
103200,303.15,288.15,46.464,36.096,0,0,1500
103800,303.15,288.15,46.464,36.096,0,0,1500
104400,303.15,288.15,46.464,36.096,0,0,1500
105000,303.15,288.15,46.464,36.096,0,0,1500
105600,303.15,288.15,46.464,36.096,0,0,1500
106200,303.15,288.15,46.464,36.096,0,0,1500
106800,303.15,288.15,46.464,36.096,0,0,1500
107400,303.15,288.15,46.464,36.096,0,0,1500
108000,303.15,288.15,46.464,36.096,0,0,1500
108600,303.15,288.15,46.464,36.096,0,0,1500
109200,303.15,288.15,46.464,36.096,0,0,1500
109800,303.15,288.15,46.464,36.096,0,0,1500
110400,303.15,288.15,46.464,36.096,0,0,1500
111000,303.15,288.15,46.464,36.096,0,0,1500
111600,303.15,288.15,46.464,36.096,0,0,1500
112200,303.15,288.15,46.464,36.096,0,0,1500
112800,303.15,288.15,46.464,36.096,0,0,1500
113400,303.15,288.15,46.464,36.096,0,0,1500
114000,303.15,288.15,46.464,36.096,0,0,1500
114600,303.15,288.15,46.464,36.096,0,0,1500
115200,297.15,294.15,552.24,419.360016,90,2,894
115800,297.15,294.15,552.24,419.360016,90,2,894
116400,297.15,294.15,552.24,419.360016,90,2,894
117000,297.15,294.15,552.24,419.360016,90,2,894
117600,297.15,294.15,552.24,419.360016,90,2,894
118200,297.15,294.15,552.24,419.360016,90,2,894
118800,297.15,294.15,552.24,419.360016,90,2,894
119400,297.15,294.15,552.24,419.360016,90,2,894
120000,297.15,294.15,552.24,419.360016,90,2,894
120600,297.15,294.15,552.24,419.360016,90,2,894
121200,297.15,294.15,552.24,419.360016,90,2,894
121800,297.15,294.15,552.24,419.360016,90,2,894
122400,297.15,294.15,552.24,419.360016,90,2,894
123000,297.15,294.15,552.24,419.360016,90,2,894
123600,297.15,294.15,552.24,419.360016,90,2,894
124200,297.15,294.15,552.24,419.360016,90,2,894
124800,297.15,294.15,552.24,419.360016,90,2,894
125400,297.15,294.15,552.24,419.360016,90,2,894
126000,297.15,294.15,552.24,419.360016,90,2,894
126600,297.15,294.15,552.24,419.360016,90,2,894
127200,297.15,294.15,552.24,419.360016,90,2,894
127800,297.15,294.15,552.24,419.360016,90,2,894
128400,297.15,294.15,552.24,419.360016,90,2,894
129000,297.15,294.15,552.24,419.360016,90,2,894
129600,297.15,294.15,552.24,419.360016,90,2,894
130200,297.15,294.15,552.24,419.360016,90,2,894
130800,297.15,294.15,552.24,419.360016,90,2,894
131400,297.15,294.15,552.24,419.360016,90,2,894
132000,297.15,294.15,552.24,419.360016,90,2,894
132600,297.15,294.15,552.24,419.360016,90,2,894
133200,297.15,294.15,552.24,419.360016,90,2,894
133800,297.15,294.15,552.24,419.360016,90,2,894
134400,297.15,294.15,552.24,419.360016,90,2,894
135000,297.15,294.15,552.24,419.360016,90,2,894
135600,297.15,294.15,552.24,419.360016,90,2,894
136200,297.15,294.15,552.24,419.360016,90,2,894
136800,297.15,294.15,552.24,419.360016,90,2,894
137400,297.15,294.15,552.24,419.360016,90,2,894
138000,297.15,294.15,552.24,419.360016,90,2,894
138600,297.15,294.15,552.24,419.360016,90,2,894
139200,297.15,294.15,552.24,419.360016,90,2,894
139800,297.15,294.15,552.24,419.360016,90,2,894
140400,297.15,294.15,552.24,419.360016,90,2,894
141000,297.15,294.15,552.24,419.360016,90,2,894
141600,297.15,294.15,552.24,419.360016,90,2,894
142200,297.15,294.15,552.24,419.360016,90,2,894
142800,297.15,294.15,552.24,419.360016,90,2,894
143400,297.15,294.15,552.24,419.360016,90,2,894
144000,297.15,294.15,552.24,419.360016,90,2,894
144600,297.15,294.15,552.24,419.360016,90,2,894
145200,297.15,294.15,552.24,419.360016,90,2,894
145800,297.15,294.15,552.24,419.360016,90,2,894
146400,297.15,294.15,552.24,419.360016,90,2,894
147000,297.15,294.15,552.24,419.360016,90,2,894
147600,297.15,294.15,552.24,419.360016,90,2,894
148200,297.15,294.15,552.24,419.360016,90,2,894
148800,297.15,294.15,552.24,419.360016,90,2,894
149400,297.15,294.15,552.24,419.360016,90,2,894
150000,297.15,294.15,552.24,419.360016,90,2,894
150600,297.15,294.15,552.24,419.360016,90,2,894
151200,297.15,294.15,552.24,419.360016,90,2,894
151800,303.15,288.15,46.464,36.096,0,0,1500
152400,303.15,288.15,46.464,36.096,0,0,1500
153000,303.15,288.15,46.464,36.096,0,0,1500
153600,303.15,288.15,46.464,36.096,0,0,1500
154200,303.15,288.15,46.464,36.096,0,0,1500
154800,303.15,288.15,46.464,36.096,0,0,1500
155400,303.15,288.15,46.464,36.096,0,0,1500
156000,303.15,288.15,46.464,36.096,0,0,1500
156600,303.15,288.15,46.464,36.096,0,0,1500
157200,303.15,288.15,46.464,36.096,0,0,1500
157800,303.15,288.15,46.464,36.096,0,0,1500
158400,303.15,288.15,46.464,36.096,0,0,1500
159000,303.15,288.15,46.464,36.096,0,0,1500
159600,303.15,288.15,46.464,36.096,0,0,1500
160200,303.15,288.15,46.464,36.096,0,0,1500
160800,303.15,288.15,46.464,36.096,0,0,1500
161400,303.15,288.15,46.464,36.096,0,0,1500
162000,303.15,288.15,46.464,36.096,0,0,1500
162600,303.15,288.15,46.464,36.096,0,0,1500
163200,303.15,288.15,46.464,36.096,0,0,1500
163800,303.15,288.15,46.464,36.096,0,0,1500
164400,303.15,288.15,46.464,36.096,0,0,1500
165000,303.15,288.15,46.464,36.096,0,0,1500
165600,303.15,288.15,46.464,36.096,0,0,1500
166200,303.15,288.15,46.464,36.096,0,0,1500
166800,303.15,288.15,46.464,36.096,0,0,1500
167400,303.15,288.15,46.464,36.096,0,0,1500
168000,303.15,288.15,46.464,36.096,0,0,1500
168600,303.15,288.15,46.464,36.096,0,0,1500
169200,303.15,288.15,46.464,36.096,0,0,1500
169800,303.15,288.15,46.464,36.096,0,0,1500
170400,303.15,288.15,46.464,36.096,0,0,1500
171000,303.15,288.15,46.464,36.096,0,0,1500
171600,303.15,288.15,46.464,36.096,0,0,1500
172200,303.15,288.15,46.464,36.096,0,0,1500
172800,303.15,288.15,46.464,36.096,0,0,1500
173400,303.15,288.15,46.464,36.096,0,0,1500
174000,303.15,288.15,46.464,36.096,0,0,1500
174600,303.15,288.15,46.464,36.096,0,0,1500
175200,303.15,288.15,46.464,36.096,0,0,1500
175800,303.15,288.15,46.464,36.096,0,0,1500
176400,303.15,288.15,46.464,36.096,0,0,1500
177000,303.15,288.15,46.464,36.096,0,0,1500
177600,303.15,288.15,46.464,36.096,0,0,1500
178200,303.15,288.15,46.464,36.096,0,0,1500
178800,303.15,288.15,46.464,36.096,0,0,1500
179400,303.15,288.15,46.464,36.096,0,0,1500
180000,303.15,288.15,46.464,36.096,0,0,1500
180600,303.15,288.15,46.464,36.096,0,0,1500
181200,303.15,288.15,46.464,36.096,0,0,1500
181800,303.15,288.15,46.464,36.096,0,0,1500
182400,303.15,288.15,46.464,36.096,0,0,1500
183000,303.15,288.15,46.464,36.096,0,0,1500
183600,303.15,288.15,46.464,36.096,0,0,1500
184200,303.15,288.15,46.464,36.096,0,0,1500
184800,303.15,288.15,46.464,36.096,0,0,1500
185400,303.15,288.15,46.464,36.096,0,0,1500
186000,303.15,288.15,46.464,36.096,0,0,1500
186600,303.15,288.15,46.464,36.096,0,0,1500
187200,303.15,288.15,46.464,36.096,0,0,1500
187800,303.15,288.15,46.464,36.096,0,0,1500
188400,303.15,288.15,46.464,36.096,0,0,1500
189000,303.15,288.15,46.464,36.096,0,0,1500
189600,303.15,288.15,46.464,36.096,0,0,1500
190200,303.15,288.15,46.464,36.096,0,0,1500
190800,303.15,288.15,46.464,36.096,0,0,1500
191400,303.15,288.15,46.464,36.096,0,0,1500
192000,303.15,288.15,46.464,36.096,0,0,1500
192600,303.15,288.15,46.464,36.096,0,0,1500
193200,303.15,288.15,46.464,36.096,0,0,1500
193800,303.15,288.15,46.464,36.096,0,0,1500
194400,303.15,288.15,46.464,36.096,0,0,1500
195000,303.15,288.15,46.464,36.096,0,0,1500
195600,303.15,288.15,46.464,36.096,0,0,1500
196200,303.15,288.15,46.464,36.096,0,0,1500
196800,303.15,288.15,46.464,36.096,0,0,1500
197400,303.15,288.15,46.464,36.096,0,0,1500
198000,303.15,288.15,46.464,36.096,0,0,1500
198600,303.15,288.15,46.464,36.096,0,0,1500
199200,303.15,288.15,46.464,36.096,0,0,1500
199800,303.15,288.15,46.464,36.096,0,0,1500
200400,303.15,288.15,46.464,36.096,0,0,1500
201000,303.15,288.15,46.464,36.096,0,0,1500
201600,297.15,294.15,552.24,419.360016,90,2,894
202200,297.15,294.15,552.24,419.360016,90,2,894
202800,297.15,294.15,552.24,419.360016,90,2,894
203400,297.15,294.15,552.24,419.360016,90,2,894
204000,297.15,294.15,552.24,419.360016,90,2,894
204600,297.15,294.15,552.24,419.360016,90,2,894
205200,297.15,294.15,552.24,419.360016,90,2,894
205800,297.15,294.15,552.24,419.360016,90,2,894
206400,297.15,294.15,552.24,419.360016,90,2,894
207000,297.15,294.15,552.24,419.360016,90,2,894
207600,297.15,294.15,552.24,419.360016,90,2,894
208200,297.15,294.15,552.24,419.360016,90,2,894
208800,297.15,294.15,552.24,419.360016,90,2,894
209400,297.15,294.15,552.24,419.360016,90,2,894
210000,297.15,294.15,552.24,419.360016,90,2,894
210600,297.15,294.15,552.24,419.360016,90,2,894
211200,297.15,294.15,552.24,419.360016,90,2,894
211800,297.15,294.15,552.24,419.360016,90,2,894
212400,297.15,294.15,552.24,419.360016,90,2,894
213000,297.15,294.15,552.24,419.360016,90,2,894
213600,297.15,294.15,552.24,419.360016,90,2,894
214200,297.15,294.15,552.24,419.360016,90,2,894
214800,297.15,294.15,552.24,419.360016,90,2,894
215400,297.15,294.15,552.24,419.360016,90,2,894
216000,297.15,294.15,552.24,419.360016,90,2,894
216600,297.15,294.15,552.24,419.360016,90,2,894
217200,297.15,294.15,552.24,419.360016,90,2,894
217800,297.15,294.15,552.24,419.360016,90,2,894
218400,297.15,294.15,552.24,419.360016,90,2,894
219000,297.15,294.15,552.24,419.360016,90,2,894
