time,InternalGainsRad[1],InternalGainsCon[1],InternalGainsLat[1]
0,43.8,29.2,45
900,43.8,29.2,45
1800,43.8,29.2,45
2700,43.8,29.2,45
3600,43.8,29.2,45
4500,43.8,29.2,45
5400,43.8,29.2,45
6300,43.8,29.2,45
7200,43.8,29.2,45
8100,43.8,29.2,45
9000,43.8,29.2,45
9900,43.8,29.2,45
10800,43.8,29.2,45
11700,43.8,29.2,45
12600,43.8,29.2,45
13500,43.8,29.2,45
14400,43.8,29.2,45
15300,43.8,29.2,45
16200,43.8,29.2,45
17100,43.8,29.2,45
18000,43.8,29.2,45
18900,43.8,29.2,45
19800,43.8,29.2,45
20700,43.8,29.2,45
21600,43.8,29.2,45
22500,43.8,29.2,45
23400,43.8,29.2,45
24300,43.8,29.2,45
25200,43.8,29.2,45
26100,0,0,0
27000,0,0,0
27900,0,0,0
28800,0,0,0
29700,0,0,0
30600,0,0,0
31500,0,0,0
32400,0,0,0
33300,0,0,0
34200,0,0,0
35100,0,0,0
36000,0,0,0
36900,0,0,0
37800,0,0,0
38700,0,0,0
39600,0,0,0
40500,0,0,0
41400,0,0,0
42300,0,0,0
43200,0,0,0
44100,0,0,0
45000,0,0,0
45900,0,0,0
46800,0,0,0
47700,0,0,0
48600,0,0,0
49500,0,0,0
50400,0,0,0
51300,0,0,0
52200,0,0,0
53100,0,0,0
54000,0,0,0
54900,0,0,0
55800,0,0,0
56700,0,0,0
57600,0,0,0
58500,0,0,0
59400,0,0,0
60300,0,0,0
61200,0,0,0
62100,0,0,0
63000,0,0,0
63900,0,0,0
64800,0,0,0
65700,0,0,0
66600,0,0,0
67500,0,0,0
68400,0,0,0
69300,0,0,0
70200,0,0,0
71100,0,0,0
72000,43.8,29.2,45
72900,43.8,29.2,45
73800,43.8,29.2,45
74700,43.8,29.2,45
75600,43.8,29.2,45
76500,43.8,29.2,45
77400,43.8,29.2,45
78300,43.8,29.2,45
79200,43.8,29.2,45
80100,43.8,29.2,45
81000,43.8,29.2,45
81900,43.8,29.2,45
82800,43.8,29.2,45
83700,43.8,29.2,45
84600,43.8,29.2,45
85500,43.8,29.2,45
86400,43.8,29.2,45
87300,43.8,29.2,45
88200,43.8,29.2,45
89100,43.8,29.2,45
90000,43.8,29.2,45
90900,43.8,29.2,45
91800,43.8,29.2,45
92700,43.8,29.2,45
93600,43.8,29.2,45
94500,43.8,29.2,45
95400,43.8,29.2,45
96300,43.8,29.2,45
97200,43.8,29.2,45
98100,43.8,29.2,45
99000,43.8,29.2,45
99900,43.8,29.2,45
100800,43.8,29.2,45
101700,43.8,29.2,45
102600,43.8,29.2,45
