time,Occupancy[1]
0,1
900,1
1800,1
2700,1
3600,1
4500,1
5400,1
6300,1
7200,1
8100,1
9000,1
9900,1
10800,1
11700,1
12600,1
13500,1
14400,1
15300,1
16200,1
17100,1
18000,1
18900,1
19800,1
20700,1
21600,1
22500,1
23400,1
24300,1
25200,1
26100,0
27000,0
27900,0
28800,0
29700,0
30600,0
31500,0
32400,0
33300,0
34200,0
35100,0
36000,0
36900,0
37800,0
38700,0
39600,0
40500,0
41400,0
42300,0
43200,0
44100,0
45000,0
45900,0
46800,0
47700,0
48600,0
49500,0
50400,0
51300,0
52200,0
53100,0
54000,0
54900,0
55800,0
56700,0
57600,0
58500,0
59400,0
60300,0
61200,0
62100,0
63000,0
63900,0
64800,0
65700,0
66600,0
67500,0
68400,0
69300,0
70200,0
71100,0
72000,1
72900,1
73800,1
74700,1
75600,1
76500,1
77400,1
78300,1
79200,1
80100,1
81000,1
81900,1
82800,1
83700,1
84600,1
85500,1
86400,1
87300,1
88200,1
89100,1
90000,1
90900,1
91800,1
92700,1
93600,1
94500,1
95400,1
96300,1
97200,1
98100,1
99000,1
99900,1
100800,1
101700,1
102600,1
103500,1
104400,1
105300,1
106200,1
107100,1
108000,1
108900,1
109800,1
110700,1
111600,1
112500,0
113400,0
114300,0
115200,0
116100,0
117000,0
117900,0
118800,0
119700,0
120600,0
121500,0
122400,0
123300,0
124200,0
125100,0
126000,0
126900,0
127800,0
128700,0
129600,0
130500,0
131400,0
132300,0
133200,0
134100,0
135000,0
135900,0
136800,0
137700,0
138600,0
139500,0
140400,0
141300,0
142200,0
143100,0
144000,0
144900,0
145800,0
146700,0
147600,0
148500,0
149400,0
150300,0
151200,0
152100,0
153000,0
153900,0
154800,0
155700,0
156600,0
157500,0
158400,1
159300,1
160200,1
161100,1
162000,1
162900,1
163800,1
164700,1
165600,1
166500,1
167400,1
168300,1
169200,1
170100,1
171000,1
171900,1
172800,1
173700,1
174600,1
175500,1
176400,1
177300,1
178200,1
179100,1
180000,1
180900,1
181800,1
182700,1
183600,1
184500,1
185400,1
186300,1
187200,1
188100,1
189000,1
189900,1
190800,1
191700,1
192600,1
193500,1
194400,1
195300,1
196200,1
197100,1
198000,1
198900,0
199800,0
200700,0
201600,0
202500,0
203400,0
204300,0
205200,0
206100,0
207000,0
207900,0
208800,0
209700,0
210600,0
211500,0
212400,0
213300,0
214200,0
215100,0
216000,0
216900,0
217800,0
218700,0
219600,0
220500,0
221400,0
222300,0
223200,0
224100,0
225000,0
225900,0
226800,0
227700,0
228600,0
229500,0
230400,0
231300,0
232200,0
233100,0
234000,0
234900,0
235800,0
236700,0
237600,0
238500,0
239400,0
240300,0
241200,0
242100,0
243000,0
243900,0
244800,1
245700,1
246600,1
247500,1
248400,1
249300,1
250200,1
251100,1
252000,1
252900,1
253800,1
254700,1
255600,1
256500,1
257400,1
258300,1
259200,1
260100,1
261000,1
261900,1
262800,1
263700,1
264600,1
265500,1
266400,1
267300,1
268200,1
269100,1
270000,1
270900,1
271800,1
272700,1
273600,1
274500,1
275400,1
276300,1
277200,1
278100,1
279000,1
279900,1
280800,1
281700,1
282600,1
283500,1
284400,1
285300,0
286200,0
287100,0
288000,0
288900,0
289800,0
290700,0
291600,0
292500,0
293400,0
294300,0
295200,0
296100,0
297000,0
297900,0
298800,0
299700,0
300600,0
301500,0
302400,0
303300,0
304200,0
305100,0
306000,0
306900,0
307800,0
308700,0
309600,0
310500,0
311400,0
312300,0
313200,0
314100,0
315000,0
315900,0
316800,0
317700,0
318600,0
319500,0
320400,0
321300,0
322200,0
323100,0
324000,0
324900,0
325800,0
326700,0
327600,0
328500,0
329400,0
330300,0
331200,1
332100,1
333000,1
333900,1
334800,1
335700,1
336600,1
