time,LowerSetp[1],UpperSetp[1],UpperCO2[1]
0,294.15,296.15,894
900,294.15,296.15,894
1800,294.15,296.15,894
2700,294.15,296.15,894
3600,294.15,296.15,894
4500,294.15,296.15,894
5400,294.15,296.15,894
6300,294.15,296.15,894
7200,294.15,296.15,894
8100,294.15,296.15,894
9000,294.15,296.15,894
9900,294.15,296.15,894
10800,294.15,296.15,894
11700,294.15,296.15,894
12600,294.15,296.15,894
13500,294.15,296.15,894
14400,294.15,296.15,894
15300,294.15,296.15,894
16200,294.15,296.15,894
17100,294.15,296.15,894
18000,294.15,296.15,894
18900,294.15,296.15,894
19800,294.15,296.15,894
20700,294.15,296.15,894
21600,294.15,296.15,894
22500,294.15,296.15,894
23400,294.15,296.15,894
24300,294.15,296.15,894
25200,294.15,296.15,894
26100,294.15,296.15,894
27000,294.15,296.15,894
27900,294.15,296.15,894
28800,294.15,296.15,894
29700,294.15,296.15,894
30600,294.15,296.15,894
31500,294.15,296.15,894
32400,294.15,296.15,894
33300,294.15,296.15,894
34200,294.15,296.15,894
35100,294.15,296.15,894
36000,294.15,296.15,894
36900,294.15,296.15,894
37800,294.15,296.15,894
38700,294.15,296.15,894
39600,294.15,296.15,894
40500,294.15,296.15,894
41400,294.15,296.15,894
42300,294.15,296.15,894
43200,294.15,296.15,894
44100,294.15,296.15,894
45000,294.15,296.15,894
45900,294.15,296.15,894
46800,294.15,296.15,894
47700,294.15,296.15,894
48600,294.15,296.15,894
49500,294.15,296.15,894
50400,294.15,296.15,894
51300,294.15,296.15,894
52200,294.15,296.15,894
53100,294.15,296.15,894
54000,294.15,296.15,894
54900,294.15,296.15,894
55800,294.15,296.15,894
56700,294.15,296.15,894
57600,294.15,296.15,894
58500,294.15,296.15,894
59400,294.15,296.15,894
60300,294.15,296.15,894
61200,294.15,296.15,894
62100,294.15,296.15,894
63000,294.15,296.15,894
63900,294.15,296.15,894
64800,294.15,296.15,894
65700,294.15,296.15,894
66600,294.15,296.15,894
67500,294.15,296.15,894
68400,294.15,296.15,894
