time,InternalGainsCon[nZ],InternalGainsRad[nZ],InternalGainsLat[nZ],InternalGainsCon[sZ],InternalGainsRad[sZ],InternalGainsLat[sZ]
0,0,0,0,0,0,0
900,0,0,0,0,0,0
1800,0,0,0,0,0,0
2700,0,0,0,0,0,0
3600,0,0,0,0,0,0
4500,0,0,0,0,0,0
5400,0,0,0,0,0,0
6300,0,0,0,0,0,0
7200,0,0,0,0,0,0
8100,0,0,0,0,0,0
9000,0,0,0,0,0,0
9900,0,0,0,0,0,0
10800,0,0,0,0,0,0
11700,0,0,0,0,0,0
12600,0,0,0,0,0,0
13500,0,0,0,0,0,0
14400,0,0,0,0,0,0
15300,0,0,0,0,0,0
16200,0,0,0,0,0,0
17100,0,0,0,0,0,0
18000,0,0,0,0,0,0
18900,0,0,0,0,0,0
19800,0,0,0,0,0,0
20700,0,0,0,0,0,0
21600,0,0,0,0,0,0
22500,0,0,0,0,0,0
23400,0,0,0,0,0,0
24300,0,0,0,0,0,0
25200,0,0,0,0,0,0
26100,0,0,0,0,0,0
27000,0,0,0,0,0,0
27900,0,0,0,0,0,0
28800,0,0,0,0,0,0
29700,0,0,0,0,0,0
30600,0,0,0,0,0,0
31500,0,0,0,0,0,0
32400,0,0,0,0,0,0
33300,0,0,0,0,0,0
34200,0,0,0,0,0,0
35100,0,0,0,0,0,0
36000,0,0,0,0,0,0
36900,0,0,0,0,0,0
37800,0,0,0,0,0,0
38700,0,0,0,0,0,0
39600,0,0,0,0,0,0
40500,0,0,0,0,0,0
41400,0,0,0,0,0,0
42300,0,0,0,0,0,0
43200,0,0,0,0,0,0
44100,0,0,0,0,0,0
45000,0,0,0,0,0,0
45900,0,0,0,0,0,0
46800,0,0,0,0,0,0
47700,0,0,0,0,0,0
48600,0,0,0,0,0,0
49500,0,0,0,0,0,0
50400,0,0,0,0,0,0
51300,0,0,0,0,0,0
52200,0,0,0,0,0,0
53100,0,0,0,0,0,0
54000,0,0,0,0,0,0
54900,0,0,0,0,0,0
55800,0,0,0,0,0,0
56700,0,0,0,0,0,0
57600,0,0,0,0,0,0
58500,0,0,0,0,0,0
59400,0,0,0,0,0,0
60300,0,0,0,0,0,0
61200,0,0,0,0,0,0
62100,0,0,0,0,0,0
63000,0,0,0,0,0,0
63900,0,0,0,0,0,0
64800,0,0,0,0,0,0
65700,0,0,0,0,0,0
66600,0,0,0,0,0,0
67500,0,0,0,0,0,0
68400,0,0,0,0,0,0
69300,0,0,0,0,0,0
70200,0,0,0,0,0,0
71100,0,0,0,0,0,0
72000,0,0,0,0,0,0
72900,0,0,0,0,0,0
73800,0,0,0,0,0,0
74700,0,0,0,0,0,0
75600,0,0,0,0,0,0
76500,0,0,0,0,0,0
77400,0,0,0,0,0,0
78300,0,0,0,0,0,0
79200,0,0,0,0,0,0
80100,0,0,0,0,0,0
81000,0,0,0,0,0,0
81900,0,0,0,0,0,0
82800,0,0,0,0,0,0
83700,0,0,0,0,0,0
84600,0,0,0,0,0,0
85500,0,0,0,0,0,0
86400,0,0,0,0,0,0
87300,0,0,0,0,0,0
88200,0,0,0,0,0,0
89100,0,0,0,0,0,0
90000,0,0,0,0,0,0
90900,0,0,0,0,0,0
91800,0,0,0,0,0,0
92700,0,0,0,0,0,0
93600,0,0,0,0,0,0
94500,0,0,0,0,0,0
95400,0,0,0,0,0,0
96300,0,0,0,0,0,0
97200,0,0,0,0,0,0
98100,0,0,0,0,0,0
99000,0,0,0,0,0,0
99900,0,0,0,0,0,0
100800,0,0,0,0,0,0
101700,0,0,0,0,0,0
102600,0,0,0,0,0,0
103500,0,0,0,0,0,0
104400,0,0,0,0,0,0
105300,0,0,0,0,0,0
106200,0,0,0,0,0,0
107100,0,0,0,0,0,0
108000,0,0,0,0,0,0
108900,2920,4380,4500,2920,4380,4500
109800,2920,4380,4500,2920,4380,4500
110700,2920,4380,4500,2920,4380,4500
111600,2920,4380,4500,2920,4380,4500
112500,4380,6570,6750,4380,6570,6750
