time,UpperSetp[nZ],LowerSetp[nZ],UpperCO2[nZ],UpperSetp[sZ],LowerSetp[sZ],UpperCO2[sZ]
0,303.15,289.15,900,303.15,289.15,900
900,303.15,289.15,900,303.15,289.15,900
1800,303.15,289.15,900,303.15,289.15,900
2700,303.15,289.15,900,303.15,289.15,900
3600,303.15,289.15,900,303.15,289.15,900
4500,303.15,289.15,900,303.15,289.15,900
5400,303.15,289.15,900,303.15,289.15,900
6300,303.15,289.15,900,303.15,289.15,900
7200,303.15,289.15,900,303.15,289.15,900
8100,303.15,289.15,900,303.15,289.15,900
9000,303.15,289.15,900,303.15,289.15,900
9900,303.15,289.15,900,303.15,289.15,900
10800,303.15,289.15,900,303.15,289.15,900
11700,303.15,289.15,900,303.15,289.15,900
12600,303.15,289.15,900,303.15,289.15,900
13500,303.15,289.15,900,303.15,289.15,900
14400,303.15,289.15,900,303.15,289.15,900
15300,303.15,289.15,900,303.15,289.15,900
16200,303.15,289.15,900,303.15,289.15,900
17100,303.15,289.15,900,303.15,289.15,900
18000,303.15,289.15,900,303.15,289.15,900
18900,303.15,289.15,900,303.15,289.15,900
19800,303.15,289.15,900,303.15,289.15,900
20700,303.15,289.15,900,303.15,289.15,900
21600,303.15,289.15,900,303.15,289.15,900
22500,303.15,289.15,900,303.15,289.15,900
23400,303.15,289.15,900,303.15,289.15,900
24300,303.15,289.15,900,303.15,289.15,900
25200,303.15,289.15,900,303.15,289.15,900
26100,303.15,289.15,900,303.15,289.15,900
27000,303.15,289.15,900,303.15,289.15,900
27900,303.15,289.15,900,303.15,289.15,900
28800,303.15,289.15,900,303.15,289.15,900
29700,303.15,289.15,900,303.15,289.15,900
30600,303.15,289.15,900,303.15,289.15,900
31500,303.15,289.15,900,303.15,289.15,900
32400,303.15,289.15,900,303.15,289.15,900
33300,303.15,289.15,900,303.15,289.15,900
34200,303.15,289.15,900,303.15,289.15,900
35100,303.15,289.15,900,303.15,289.15,900
36000,303.15,289.15,900,303.15,289.15,900
36900,303.15,289.15,900,303.15,289.15,900
37800,303.15,289.15,900,303.15,289.15,900
38700,303.15,289.15,900,303.15,289.15,900
39600,303.15,289.15,900,303.15,289.15,900
40500,303.15,289.15,900,303.15,289.15,900
41400,303.15,289.15,900,303.15,289.15,900
42300,303.15,289.15,900,303.15,289.15,900
43200,303.15,289.15,900,303.15,289.15,900
