Time,heat,cold
0,0,0
900,0,0
1800,0,0
2233.0244,0,0
2233.0244,0,0
2233.0251,0,0
2233.0251,0,0
2700,0,0
3600,0,0
3600,0,0
4500,0,0
5400,0,0
6300,0,0
7200,0,0
7200,0,0
8100,0,0
9000,0,0
9900,0,0
10800,0,0
10800,0,0
11700,0,0
12600,0,0
13500,0,0
14400,0,0
14400,0,0
15300,0,0
16200,0,0
17100,0,0
18000,0,0
18000,0,0
18900,0,0
19800,0,0
20700,0,0
21600,0,0
21600,0,0
22500,0,0
23400,0,0
24300,0,0
25200,0,0
25200,0,0
26100,0,0
27000,0,0
27900,0,0
28800,0,0
28800,0,0
29700,0,0
30600,0,0
31500,0,0
32400,0,0
32400,0,0
33300,0,0
34200,0,0
35100,0,0
36000,0,0
36000,0,0
36900,0,0
37800,0,0
38700,0,0
39600,0,0
39600,0,0
40500,0,0
41400,0,0
42300,0,0
43200,0,0
43200,0,0
44100,0,0
44556.008,0,0
44556.008,0,0
44557.555,0,0
44557.555,0,0
45000,0,0
45900,0,0
46800,0,0
46800,0,0
47700,0,0
48600,0,0
49500,0,0
50400,0,0
50400,0,0
51300,0,0
51804.727,0,0
51804.727,0,0
51805.74,0,0
51805.74,0,0
52200,0,0
53100,0,0
54000,0,0
54000,0,0
54900,0,0
55800,0,0
56700,0,0
57600,0,0
57600,0,0
58500,0,0
59400,0,0
60300,0,0
61200,0,0
61200,0,0
62100,0,0
63000,0,0
63900,0,0
64800,0,0
64800,0,0
65700,0,0
66600,0,0
67500,0,0
68400,0,0
68400,0,0
69300,0,0
70200,0,0
71100,0,0
72000,0,0
72000,0,0
72900,0,0
73800,0,0
74700,0,0
75600,0,0
75600,0,0
76500,0,0
77400,0,0
78300,0,0
79200,0,0
79200,0,0
80100,0,0
81000,0,0
81900,0,0
82800,0,0
82800,0,0
83700,0,0
84600,0,0
85500,0,0
86400,0,0
86400,0,0
87300,0,0
88200,0,0
89100,0,0
90000,0,0
90000,0,0
90900,0,0
91800,0,0
92700,0,0
93600,0,0
93600,0,0
94500,0,0
95400,0,0
96300,0,0
97200,0,0
97200,0,0
98100,0,0
99000,0,0
99900,0,0
100800,0,0
100800,0,0
101700,0,0
102600,0,0
103500,0,0
104400,0,0
104400,0,0
105300,0,0
106200,0,0
107100,0,0
108000,0,0
108000,0,0
108900,20494.365,0.056027547
109800,22450.623,0.06584031
110700,23031.557,0.066829875
111600,23192.209,0.0671974
111600,23192.209,0.0671974
112500,23261.332,0.06733549
113400,23316.445,0.06739329
114300,23372.97,0.06742877
115200,23417.75,0.06746311
115200,23417.75,0.06746311
116100,23442.62,0.06749729
117000,23468.72,0.06752667
117900,23481.016,0.0675601
118800,23455.895,0.06760199
118800,23455.895,0.06760199
119700,23361.502,0.06765526
120600,23208.139,0.06770594
121500,23025.281,0.06774653
122105.2,22902.09,0.06776699
122105.2,22902.09,0.06776699
122105.64,22902.004,0.067767
122105.64,22902.004,0.067767
122400,22845.361,0.06777494
122400,22845.361,0.06777494
123300,22693.7,0.06779356
124200,22566.953,0.06781203
125100,22447.953,0.06783589
126000,22315.73,0.06786757
126000,22315.73,0.06786757
126900,22103.807,0.06792719
127800,21748.398,0.06800177
128700,21352.492,0.06804645
129600,21045.797,0.068044364
129600,21045.797,0.068044364
130500,20875.47,0.06802899
131400,20749.484,0.06803382
132300,20650.791,0.068047866
133200,20570.31,0.06806681
133200,20570.31,0.06806681
134100,20480.453,0.06809599
135000,20391.586,0.068122275
135900,20323.682,0.06814192
136800,20300.55,0.068152666
136800,20300.55,0.068152666
137700,20363.92,0.068148814
138600,20494.209,0.06815037
139500,20654.033,0.06816427
140400,20802.963,0.06819336
140400,20802.963,0.06819336
141300,20956.615,0.06821831
142200,21089.08,0.06825134
142286.8,21101.121,0.06825444
142286.8,21101.121,0.06825444
142293.28,21102.018,0.06825467
142293.28,21102.018,0.06825467
143100,21213.717,0.06828112
144000,21347.477,0.06830522
144000,21347.477,0.06830522
144900,21551.236,0.06830719
145800,21812.924,0.068312794
146700,22085.01,0.06833373
147600,22311.443,0.06837551
147600,22311.443,0.06837551
148500,22430.486,0.06844222
149400,22418.176,0.06851512
150300,22362.293,0.068561405
151200,22369.264,0.06856849
151200,0,0
152100,0,0
153000,0,0
153900,0,0
154800,0,0
154800,0,0
155700,0,0
156600,0,0
157500,0,0
158400,0,0
158400,0,0
159300,0,0
160200,0,0
161100,0,0
162000,0,0
162000,0,0
162900,0,0
163800,0,0
164700,0,0
165600,0,0
165600,0,0
166500,0,0
167400,0,0
168300,0,0
169200,0,0
169200,0,0
170100,0,0
171000,0,0
171900,0,0
172800,0,0
172800,0,0
173700,0,0
174600,0,0
175500,0,0
176400,0,0
176400,0,0
177300,0,0
178200,0,0
179100,0,0
180000,0,0
180000,0,0
180900,0,0
181800,0,0
182700,0,0
183600,0,0
183600,0,0
184500,0,0
185400,0,0
186300,0,0
187200,0,0
187200,0,0
188100,0,0
189000,0,0
189900,0,0
190800,0,0
190800,0,0.04348835
191700,22439.455,0.065368995
192600,24367.762,0.067304164
193500,25248.361,0.068076774
194400,25649.229,0.06842617
194400,25649.229,0.06842617
195300,25744.906,0.06861915
196200,25743.545,0.06871375
197100,25700.209,0.06876939
198000,25638.082,0.06880837
198000,25638.082,0.06880837
198900,25551.795,0.068846576
199800,25445.742,0.06888095
200700,25344.426,0.068906546
201600,25275.934,0.068921104
201600,25275.934,0.068921104
202500,25257.883,0.06892858
203400,25289.738,0.06893563
204300,25347.324,0.06895054
205200,25400.096,0.068977065
205200,25400.096,0.068977065
206100,25430.479,0.069009796
207000,25444.348,0.069043115
207900,25433.545,0.06907923
208665.25,25399.377,0.069112144
208665.25,25399.377,0.069112144
208670.8,25399.027,0.06911239
208670.8,25399.027,0.06911239
208800,25390.604,0.069118135
208800,25390.604,0.069118135
209700,25276.607,0.06917483
210600,25039.244,0.06924405
211500,24753.361,0.0692913
212400,24514.193,0.0693031
212400,24514.193,0.0693031
213300,24365.188,0.069300815
214200,24246.264,0.06931183
215100,24135.336,0.06933241
216000,24014.682,0.06936082
216000,24014.682,0.06936082
216900,23856.498,0.069399245
217800,23683.875,0.06943132
218700,23518.822,0.069455296
219600,23382.916,0.069470614
219600,23382.916,0.069470614
220500,23306.773,0.06947526
221400,23265.193,0.06948657
222300,23236.45,0.06950584
223200,23199.506,0.06953352
223200,23199.506,0.06953352
224100,23172.756,0.06955681
225000,23113.05,0.069592014
225900,23038.604,0.06962315
226800,22978.926,0.069644175
226800,22978.926,0.069644175
227700,22989.303,0.06964597
228568.55,23043.98,0.06965224
228568.55,23043.98,0.06965224
228577.11,23044.701,0.06965232
228577.11,23044.701,0.06965232
228600,23046.637,0.06965255
229500,23136.572,0.06966412
230400,23245.047,0.06968122
230400,23245.047,0.06968122
231300,23397.488,0.069688514
232200,23596.217,0.0696973
233100,23798.234,0.06971984
234000,23953.652,0.069761224
234000,0,0
234900,0,0
235800,0,0
236700,0,0
237600,0,0
237600,0,0
238500,0,0
239400,0,0
240300,0,0
241200,0,0
241200,0,0
242100,0,0
243000,0,0
243900,0,0
244800,0,0
244800,0,0
245700,0,0
246600,0,0
247500,0,0
248400,0,0
248400,0,0
249300,0,0
250200,0,0
251100,0,0
252000,0,0
252000,0,0
252900,0,0
253800,0,0
254700,0,0
255600,0,0
255600,0,0
256500,0,0
257400,0,0
258300,0,0
259200,0,0
259200,0,0
260100,0,0
261000,0,0
261900,0,0
262800,0,0
262800,0,0
263700,0,0
264600,0,0
265500,0,0
266400,0,0
266400,0,0
267300,0,0
268200,0,0
269100,0,0
270000,0,0
270000,0,0
270900,0,0
271800,0,0
272700,0,0
273600,0,0
273600,0,0
274500,0,0
275400,0,0
276300,0,0
277200,0,0
277200,0,0
278100,0,0
279000,0,0
279900,0,0
280800,0,0
280800,0,0
281700,0,0
282600,0,0
283500,0,0
284400,0,0
284400,0,0
285300,0,0
286200,0,0
287100,0,0
288000,0,0
288000,0,0
288900,0,0
289800,0,0
290700,0,0
291600,0,0
291600,0,0
292500,0,0
293400,0,0
293900.72,0,0
293900.72,0,0
293911.47,0,0
293911.47,0,0
294300,0,0
295200,0,0
295200,0,0
296100,0,0
297000,0,0
297900,0,0
298800,0,0
298800,0,0
299700,0,0
300600,0,0
301500,0,0
302400,0,0
302400,0,0
303300,0,0
304200,0,0
305100,0,0
306000,0,0
306000,0,0
306900,0,0
307800,0,0
308700,0,0
309600,0,0
309600,0,0
310500,0,0
311400,0,0
312300,0,0
313050.97,0,0
313050.97,0,0
313063.12,0,0
313063.12,0,0
313200,0,0
313200,0,0
314100,0,0
315000,0,0
315900,0,0
316800,0,0
316800,0,0
317700,0,0
318600,0,0
319500,0,0
320400,0,0
320400,0,0
321300,0,0
322200,0,0
323100,0,0
324000,0,0
324000,0,0
324900,0,0
325800,0,0
326700,0,0
327600,0,0
327600,0,0
328500,0,0
329400,0,0
330300,0,0
331200,0,0
331200,0,0
332100,0,0
333000,0,0
333900,0,0
334800,0,0
334800,0,0
335700,0,0
336600,0,0
337500,0,0
338400,0,0
338400,0,0
339300,0,0
340200,0,0
341100,0,0
342000,0,0
342000,0,0
342900,0,0
343800,0,0
344700,0,0
345600,0,0
345600,0,0
346500,0,0
347400,0,0
348300,0,0
349200,0,0
349200,0,0
350100,0,0
351000,0,0
351900,0,0
352800,0,0
352800,0,0
353700,0,0
354600,0,0
355500,0,0
356400,0,0
356400,0,0
