time,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic,PriceGasPower
0,0.094,0.05871,0.05807,0.055
3600,0.094,0.05871,0.05795,0.055
7200,0.094,0.05871,0.05766,0.055
10800,0.094,0.05871,0.05757,0.055
14400,0.094,0.05871,0.05767,0.055
18000,0.094,0.05871,0.05779,0.055
21600,0.094,0.06906,0.05852,0.055
25200,0.094,0.06906,0.05987,0.055
28800,0.094,0.06906,0.06081,0.055
32400,0.094,0.06906,0.06107,0.055
36000,0.094,0.06906,0.06212,0.055
39600,0.094,0.06906,0.06173,0.055
43200,0.094,0.06906,0.06173,0.055
46800,0.094,0.06906,0.0614,0.055
50400,0.094,0.1599,0.06118,0.055
54000,0.094,0.1599,0.06174,0.055
57600,0.094,0.1599,0.06335,0.055
61200,0.094,0.1599,0.06763,0.055
64800,0.094,0.1599,0.06757,0.055
68400,0.094,0.06906,0.06734,0.055
72000,0.094,0.06906,0.06681,0.055
75600,0.094,0.06906,0.06527,0.055
79200,0.094,0.05871,0.06327,0.055
82800,0.094,0.05871,0.06186,0.055
86400,0.094,0.05871,0.06218,0.055
90000,0.094,0.05871,0.06195,0.055
93600,0.094,0.05871,0.06197,0.055
97200,0.094,0.05871,0.06174,0.055
100800,0.094,0.05871,0.06203,0.055
104400,0.094,0.05871,0.06374,0.055
108000,0.094,0.06906,0.06939,0.055
111600,0.094,0.06906,0.07055,0.055
115200,0.094,0.06906,0.07199,0.055
118800,0.094,0.06906,0.07357,0.055
122400,0.094,0.06906,0.07217,0.055
126000,0.094,0.06906,0.07098,0.055
129600,0.094,0.06906,0.06973,0.055
133200,0.094,0.06906,0.06859,0.055
136800,0.094,0.1599,0.06763,0.055
140400,0.094,0.1599,0.06719,0.055
144000,0.094,0.1599,0.06972,0.055
147600,0.094,0.1599,0.07884,0.055
151200,0.094,0.1599,0.07433,0.055
154800,0.094,0.06906,0.07349,0.055
158400,0.094,0.06906,0.07028,0.055
162000,0.094,0.06906,0.06874,0.055
165600,0.094,0.05871,0.066,0.055
169200,0.094,0.05871,0.06361,0.055
172800,0.094,0.05871,0.06115,0.055
176400,0.094,0.05871,0.05961,0.055
180000,0.094,0.05871,0.05984,0.055
183600,0.094,0.05871,0.05933,0.055
187200,0.094,0.05871,0.05984,0.055
190800,0.094,0.05871,0.06138,0.055
194400,0.094,0.06906,0.06462,0.055
198000,0.094,0.06906,0.06695,0.055
201600,0.094,0.06906,0.06793,0.055
205200,0.094,0.06906,0.06795,0.055
208800,0.094,0.06906,0.06757,0.055
212400,0.094,0.06906,0.06685,0.055
216000,0.094,0.06906,0.06612,0.055
219600,0.094,0.06906,0.06571,0.055
223200,0.094,0.1599,0.06499,0.055
226800,0.094,0.1599,0.0644,0.055
230400,0.094,0.1599,0.06556,0.055
234000,0.094,0.1599,0.06886,0.055
237600,0.094,0.1599,0.06759,0.055
241200,0.094,0.06906,0.06738,0.055
244800,0.094,0.06906,0.06647,0.055
248400,0.094,0.06906,0.06463,0.055
252000,0.094,0.05871,0.06314,0.055
255600,0.094,0.05871,0.0609,0.055
259200,0.094,0.05871,0.05842,0.055
262800,0.094,0.05871,0.05733,0.055
266400,0.094,0.05871,0.05736,0.055
270000,0.094,0.05871,0.05737,0.055
273600,0.094,0.05871,0.05844,0.055
277200,0.094,0.05871,0.05946,0.055
280800,0.094,0.06906,0.06365,0.055
284400,0.094,0.06906,0.06552,0.055
288000,0.094,0.06906,0.06672,0.055
291600,0.094,0.06906,0.0672,0.055
295200,0.094,0.06906,0.06589,0.055
298800,0.094,0.06906,0.06511,0.055
302400,0.094,0.06906,0.06478,0.055
306000,0.094,0.06906,0.06425,0.055
309600,0.094,0.1599,0.06348,0.055
313200,0.094,0.1599,0.06284,0.055
316800,0.094,0.1599,0.06435,0.055
320400,0.094,0.1599,0.06634,0.055
324000,0.094,0.1599,0.06595,0.055
327600,0.094,0.06906,0.0647,0.055
331200,0.094,0.06906,0.06323,0.055
334800,0.094,0.06906,0.06198,0.055
338400,0.094,0.05871,0.06059,0.055
342000,0.094,0.05871,0.05855,0.055
345600,0.094,0.05871,0.05911,0.055
349200,0.094,0.05871,0.05796,0.055
352800,0.094,0.05871,0.05764,0.055
356400,0.094,0.05871,0.0576,0.055
360000,0.094,0.05871,0.05742,0.055
363600,0.094,0.05871,0.05799,0.055
367200,0.094,0.06906,0.05936,0.055
370800,0.094,0.06906,0.06072,0.055
374400,0.094,0.06906,0.06367,0.055
378000,0.094,0.06906,0.06449,0.055
381600,0.094,0.06906,0.06438,0.055
385200,0.094,0.06906,0.0633,0.055
388800,0.094,0.06906,0.06205,0.055
392400,0.094,0.06906,0.06118,0.055
396000,0.094,0.1599,0.06045,0.055
399600,0.094,0.1599,0.0601,0.055
403200,0.094,0.1599,0.06131,0.055
406800,0.094,0.1599,0.06527,0.055
410400,0.094,0.1599,0.06467,0.055
414000,0.094,0.06906,0.06369,0.055
417600,0.094,0.06906,0.06284,0.055
421200,0.094,0.06906,0.06218,0.055
424800,0.094,0.05871,0.06115,0.055
428400,0.094,0.05871,0.05895,0.055
432000,0.094,0.05871,0.05837,0.055
435600,0.094,0.05871,0.05823,0.055
439200,0.094,0.05871,0.05767,0.055
442800,0.094,0.05871,0.05766,0.055
446400,0.094,0.05871,0.05754,0.055
450000,0.094,0.05871,0.05749,0.055
453600,0.094,0.06906,0.05738,0.055
457200,0.094,0.06906,0.0586,0.055
460800,0.094,0.06906,0.06123,0.055
464400,0.094,0.06906,0.06149,0.055
468000,0.094,0.06906,0.06126,0.055
471600,0.094,0.06906,0.06047,0.055
475200,0.094,0.06906,0.05999,0.055
478800,0.094,0.06906,0.05899,0.055
482400,0.094,0.1599,0.05842,0.055
486000,0.094,0.1599,0.05837,0.055
489600,0.094,0.1599,0.0605,0.055
493200,0.094,0.1599,0.06444,0.055
496800,0.094,0.1599,0.06492,0.055
500400,0.094,0.06906,0.06364,0.055
504000,0.094,0.06906,0.06304,0.055
507600,0.094,0.06906,0.06196,0.055
511200,0.094,0.05871,0.06002,0.055
514800,0.094,0.05871,0.05901,0.055
518400,0.094,0.05871,0.05442,0.055
522000,0.094,0.05871,0.05212,0.055
525600,0.094,0.05871,0.05169,0.055
529200,0.094,0.05871,0.05157,0.055
532800,0.094,0.05871,0.05171,0.055
536400,0.094,0.05871,0.05365,0.055
540000,0.094,0.06906,0.0583,0.055
543600,0.094,0.06906,0.06175,0.055
547200,0.094,0.06906,0.06349,0.055
550800,0.094,0.06906,0.06373,0.055
554400,0.094,0.06906,0.06315,0.055
558000,0.094,0.06906,0.06241,0.055
561600,0.094,0.06906,0.06128,0.055
565200,0.094,0.06906,0.0607,0.055
568800,0.094,0.1599,0.06041,0.055
572400,0.094,0.1599,0.06004,0.055
576000,0.094,0.1599,0.06112,0.055
579600,0.094,0.1599,0.06392,0.055
583200,0.094,0.1599,0.06354,0.055
586800,0.094,0.06906,0.06315,0.055
590400,0.094,0.06906,0.0626,0.055
594000,0.094,0.06906,0.06181,0.055
597600,0.094,0.05871,0.05999,0.055
601200,0.094,0.05871,0.05832,0.055
604800,0.094,0.05871,0.05496,0.055
608400,0.094,0.05871,0.05387,0.055
612000,0.094,0.05871,0.05332,0.055
615600,0.094,0.05871,0.05295,0.055
619200,0.094,0.05871,0.05231,0.055
622800,0.094,0.05871,0.05327,0.055
626400,0.094,0.06906,0.05737,0.055
630000,0.094,0.06906,0.06181,0.055
633600,0.094,0.06906,0.06279,0.055
637200,0.094,0.06906,0.0623,0.055
640800,0.094,0.06906,0.06202,0.055
644400,0.094,0.06906,0.06113,0.055
648000,0.094,0.06906,0.06049,0.055
651600,0.094,0.06906,0.06013,0.055
655200,0.094,0.1599,0.05998,0.055
658800,0.094,0.1599,0.05973,0.055
662400,0.094,0.1599,0.06112,0.055
666000,0.094,0.1599,0.06564,0.055
669600,0.094,0.1599,0.06519,0.055
673200,0.094,0.06906,0.06306,0.055
676800,0.094,0.06906,0.06123,0.055
680400,0.094,0.06906,0.06006,0.055
684000,0.094,0.05871,0.05847,0.055
687600,0.094,0.05871,0.05694,0.055
691200,0.094,0.05871,0.05663,0.055
694800,0.094,0.05871,0.05648,0.055
698400,0.094,0.05871,0.05621,0.055
702000,0.094,0.05871,0.05611,0.055
705600,0.094,0.05871,0.05599,0.055
709200,0.094,0.05871,0.05597,0.055
712800,0.094,0.06906,0.06079,0.055
716400,0.094,0.06906,0.06299,0.055
720000,0.094,0.06906,0.06249,0.055
723600,0.094,0.06906,0.06258,0.055
727200,0.094,0.06906,0.06329,0.055
730800,0.094,0.06906,0.063,0.055
734400,0.094,0.06906,0.06279,0.055
738000,0.094,0.06906,0.06222,0.055
741600,0.094,0.1599,0.06203,0.055
745200,0.094,0.1599,0.06204,0.055
748800,0.094,0.1599,0.06377,0.055
752400,0.094,0.1599,0.07404,0.055
756000,0.094,0.1599,0.07344,0.055
759600,0.094,0.06906,0.07138,0.055
763200,0.094,0.06906,0.06969,0.055
766800,0.094,0.06906,0.06844,0.055
770400,0.094,0.05871,0.06618,0.055
774000,0.094,0.05871,0.0639,0.055
777600,0.094,0.05871,0.06218,0.055
781200,0.094,0.05871,0.06142,0.055
784800,0.094,0.05871,0.06138,0.055
788400,0.094,0.05871,0.06146,0.055
792000,0.094,0.05871,0.06203,0.055
795600,0.094,0.05871,0.0648,0.055
799200,0.094,0.06906,0.07471,0.055
802800,0.094,0.06906,0.07986,0.055
806400,0.094,0.06906,0.07584,0.055
810000,0.094,0.06906,0.0708,0.055
813600,0.094,0.06906,0.07439,0.055
817200,0.094,0.06906,0.07061,0.055
820800,0.094,0.06906,0.06904,0.055
824400,0.094,0.06906,0.06836,0.055
828000,0.094,0.1599,0.06658,0.055
831600,0.094,0.1599,0.06595,0.055
835200,0.094,0.1599,0.06986,0.055
838800,0.094,0.1599,0.08165,0.055
842400,0.094,0.1599,0.08446,0.055
846000,0.094,0.06906,0.07988,0.055
849600,0.094,0.06906,0.07868,0.055
853200,0.094,0.06906,0.07672,0.055
856800,0.094,0.05871,0.07439,0.055
860400,0.094,0.05871,0.06833,0.055
864000,0.094,0.05871,0.06616,0.055
867600,0.094,0.05871,0.06456,0.055
871200,0.094,0.05871,0.06424,0.055
874800,0.094,0.05871,0.06417,0.055
878400,0.094,0.05871,0.06418,0.055
