Time,chiWatPla.QTot.y,boiWatPla.QTot.y
0,0.0,0.0
300,0.0,512691.1
600,0.0,456573.28
900,0.0,407062.97
1200,0.0,363385.53
1500,0.0,324855.94
1800,0.0,290867.28
2100,0.0,260882.38
2400,0.0,234431.58
2700,0.0,211096.39
3000,0.0,190507.56
3300,0.0,172345.69
3600,0.0,156322.14
3900,0.0,142185.3
4200,0.0,129715.88
4500,0.0,118712.26
4800,0.0,109004.82
5100,0.0,100440.19
5400,0.0,92884.07
5700,0.0,86216.4
6000,0.0,80335.01
6300,0.0,75146.27
6600,0.0,70567.93
6900,0.0,66529.29
7200,0.0,62966.09
7500,0.0,59821.75
7800,0.0,57048.15
8100,0.0,54601.426
8400,0.0,52442.207
8700,0.0,50537.13
9000,0.0,48856.234
9300,0.0,47374.035
9600,0.0,46066.438
9900,0.0,44911.625
10200,0.0,43892.363
10500,0.0,42992.95
10800,0.0,42199.57
11100,0.0,41499.098
11400,0.0,40880.742
11700,0.0,40334.727
12000,0.0,39852.78
12300,0.0,39427.063
12600,0.0,39050.984
12900,0.0,38718.688
13200,0.0,38425.004
13500,0.0,38165.32
13800,0.0,37935.668
14100,0.0,37732.273
14400,0.0,37552.277
14700,0.0,37392.36
15000,0.0,37250.836
15300,0.0,37125.266
15600,0.0,37013.67
15900,0.0,36914.383
16200,0.0,36825.85
16500,0.0,36746.816
16800,0.0,36676.133
17100,0.0,36612.754
17400,0.0,36555.746
17700,0.0,36504.383
18000,0.0,36457.902
18300,0.0,36415.723
18600,0.0,36377.273
18900,0.0,36342.09
19200,0.0,36309.746
19500,0.0,36279.85
19800,0.0,36252.07
20100,0.0,36226.117
20400,0.0,36201.746
20700,0.0,36178.715
21000,0.0,36156.824
21300,0.0,36135.9
21600,0.0,36115.79
21900,0.0,36096.35
22200,0.0,36077.46
22500,0.0,36615.85
22800,0.0,38289.94
23100,0.0,40314.355
23400,0.0,41513.336
23700,0.0,42856.203
24000,0.0,42059.594
24300,0.0,35942.355
24600,0.0,35918.62
24900,0.0,35901.723
25200,0.0,35884.68
25500,0.0,35867.465
25800,0.0,35850.074
26100,0.0,35832.49
26400,0.0,35814.707
26700,0.0,35796.715
27000,0.0,35778.51
27300,0.0,35760.086
27600,0.0,35741.44
27900,0.0,35722.566
28200,0.0,35703.465
28500,0.0,35684.133
28800,0.0,35664.57
29100,0.0,35644.77
29400,0.0,35624.73
29700,0.0,35604.457
30000,0.0,35583.945
30300,0.0,35586.215
30600,0.0,37089.18
30900,0.0,41418.58
31200,0.0,45687.152
31500,0.0,46794.88
31800,0.0,46731.426
32100,0.0,39578.566
32400,0.0,35373.97
32700,0.0,35352.355
33000,0.0,35330.387
33300,0.0,35308.082
33600,0.0,35285.46
33900,0.0,35262.54
34200,0.0,35239.324
34500,0.0,35215.836
34800,0.0,35192.09
35100,0.0,35168.09
35400,0.0,35143.85
35700,0.0,35119.383
36000,0.0,35094.69
36300,0.0,35069.79
36600,0.0,35044.68
36900,0.0,35019.37
37200,0.0,34993.867
37500,0.0,34968.17
37800,0.0,35371.125
38100,0.0,37220.32
38400,0.0,39483.633
38700,0.0,40679.215
39000,0.0,42064.473
39300,0.0,44152.617
39600,0.0,40797.34
39900,0.0,39054.543
40200,0.0,34690.38
40500,0.0,34664.043
40800,0.0,34637.46
41100,0.0,34610.645
41400,0.0,34583.613
41700,0.0,34556.375
42000,0.0,34528.945
42300,0.0,34501.33
42600,0.0,34473.543
42900,0.0,34445.59
43200,0.0,34417.484
43500,0.0,34389.24
43800,0.0,34360.848
44100,0.0,34332.33
44400,0.0,34303.684
44700,0.0,34274.914
45000,0.0,34246.027
45300,0.0,34217.023
45600,0.0,34187.91
45900,0.0,34158.688
46200,0.0,34129.363
46500,0.0,34099.93
46800,0.0,34070.4
47100,0.0,34040.766
47400,0.0,34011.04
47700,0.0,33981.215
48000,0.0,33951.3
48300,0.0,33921.293
48600,0.0,33891.195
48900,0.0,33861.016
49200,0.0,34047.79
49500,0.0,35033.195
49800,0.0,36507.17
50100,0.0,38068.19
50400,0.0,39091.06
50700,0.0,39250.28
51000,0.0,39356.766
51300,0.0,39489.813
51600,0.0,39651.145
51900,0.0,39843.273
52200,0.0,39824.367
52500,0.0,39108.047
52800,0.0,33401.12
53100,0.0,33370.977
53400,0.0,33340.918
53700,0.0,33310.69
54000,0.0,33280.305
54300,0.0,33249.777
54600,0.0,33219.13
54900,0.0,33188.367
55200,0.0,33157.504
55500,0.0,33126.555
55800,0.0,33095.53
56100,0.0,33064.438
56400,0.0,33033.29
56700,0.0,33002.086
57000,0.0,32970.84
57300,0.0,32939.555
57600,0.0,32908.234
57900,0.0,32876.88
58200,0.0,32845.5
58500,0.0,32814.094
58800,0.0,32782.664
59100,0.0,32751.21
59400,0.0,32719.74
59700,0.0,32688.252
60000,0.0,32656.746
60300,0.0,32625.227
60600,0.0,32593.69
60900,0.0,32562.14
61200,0.0,33302.668
61500,0.0,35325.37
61800,0.0,37340.313
62100,0.0,37816.516
62400,0.0,37924.652
62700,0.0,35319.133
63000,0.0,32314.438
63300,0.0,32283.525
63600,0.0,32252.555
63900,0.0,32221.53
64200,0.0,32190.46
64500,0.0,32159.355
64800,0.0,32128.219
65100,0.0,32097.06
65400,0.0,32065.883
65700,0.0,32034.693
66000,0.0,32003.5
66300,0.0,31972.303
66600,0.0,31941.111
66900,0.0,31909.924
67200,0.0,31878.746
67500,0.0,31847.578
67800,0.0,31816.42
68100,0.0,31785.275
68400,0.0,31754.145
68700,0.0,31723.025
69000,0.0,31691.918
69300,0.0,31660.822
69600,0.0,31629.74
69900,0.0,31598.7
70200,0.0,32787.297
70500,0.0,35360.656
70800,0.0,36872.797
71100,0.0,36617.465
71400,0.0,31443.197
71700,0.0,31393.008
72000,0.0,31362.555
72300,0.0,31332.076
72600,0.0,31301.578
72900,0.0,31271.066
73200,0.0,31240.547
73500,0.0,31210.02
73800,0.0,31179.494
74100,0.0,31148.975
74400,0.0,31118.463
74700,0.0,31087.963
75000,0.0,31057.482
75300,0.0,31027.018
75600,0.0,30996.576
75900,0.0,30966.154
76200,0.0,30935.756
76500,0.0,30905.379
76800,0.0,30875.025
77100,0.0,30844.693
77400,0.0,30869.205
77700,0.0,32615.805
78000,0.0,35200.87
78300,0.0,35805.184
78600,0.0,34439.598
78900,0.0,30644.986
79200,0.0,30615.328
79500,0.0,30585.662
79800,0.0,30555.984
80100,0.0,30526.3
80400,0.0,30496.615
80700,0.0,30466.93
81000,0.0,30437.25
81300,0.0,30407.58
81600,0.0,30377.92
81900,0.0,30348.277
82200,0.0,30318.65
