# time: time of price [s],
# PriceElectricPowerConstant: Price of electricity in constant scenario [$/kWh],
time,PriceElectricPowerConstant
0,0.094
900,0.094
1800,0.094
2700,0.094
3600,0.094
4500,0.094
5400,0.094
6300,0.094
7200,0.094
8100,0.094
9000,0.094
9900,0.094
10800,0.094
11700,0.094
12600,0.094
13500,0.094
14400,0.094
15300,0.094
16200,0.094
17100,0.094
18000,0.094
18900,0.094
19800,0.094
20700,0.094
21600,0.094
22500,0.094
23400,0.094
24300,0.094
25200,0.094
26100,0.094
27000,0.094
27900,0.094
28800,0.094
29700,0.094
30600,0.094
31500,0.094
32400,0.094
33300,0.094
34200,0.094
35100,0.094
36000,0.094
36900,0.094
37800,0.094
38700,0.094
39600,0.094
40500,0.094
41400,0.094
42300,0.094
43200,0.094
44100,0.094
45000,0.094
45900,0.094
46800,0.094
47700,0.094
48600,0.094
49500,0.094
50400,0.094
51300,0.094
52200,0.094
53100,0.094
54000,0.094
54900,0.094
55800,0.094
56700,0.094
57600,0.094
58500,0.094
59400,0.094
60300,0.094
61200,0.094
62100,0.094
63000,0.094
63900,0.094
64800,0.094
65700,0.094
66600,0.094
67500,0.094
68400,0.094
69300,0.094
70200,0.094
71100,0.094
72000,0.094
72900,0.094
73800,0.094
74700,0.094
75600,0.094
76500,0.094
77400,0.094
78300,0.094
79200,0.094
80100,0.094
81000,0.094
81900,0.094
82800,0.094
83700,0.094
84600,0.094
85500,0.094
86400,0.094
87300,0.094
88200,0.094
89100,0.094
90000,0.094
90900,0.094
91800,0.094
92700,0.094
93600,0.094
94500,0.094
95400,0.094
96300,0.094
97200,0.094
98100,0.094
99000,0.094
99900,0.094
100800,0.094
101700,0.094
102600,0.094
103500,0.094
104400,0.094
105300,0.094
106200,0.094
107100,0.094
108000,0.094
108900,0.094
109800,0.094
110700,0.094
111600,0.094
112500,0.094
113400,0.094
114300,0.094
115200,0.094
116100,0.094
117000,0.094
117900,0.094
118800,0.094
119700,0.094
120600,0.094
121500,0.094
122400,0.094
123300,0.094
124200,0.094
125100,0.094
126000,0.094
126900,0.094
127800,0.094
128700,0.094
129600,0.094
130500,0.094
131400,0.094
132300,0.094
133200,0.094
134100,0.094
135000,0.094
135900,0.094
136800,0.094
137700,0.094
138600,0.094
139500,0.094
140400,0.094
141300,0.094
142200,0.094
143100,0.094
144000,0.094
144900,0.094
145800,0.094
146700,0.094
147600,0.094
148500,0.094
149400,0.094
150300,0.094
151200,0.094
152100,0.094
153000,0.094
153900,0.094
154800,0.094
155700,0.094
156600,0.094
157500,0.094
158400,0.094
159300,0.094
160200,0.094
161100,0.094
162000,0.094
162900,0.094
163800,0.094
164700,0.094
165600,0.094
166500,0.094
167400,0.094
168300,0.094
169200,0.094
170100,0.094
171000,0.094
171900,0.094
172800,0.094
173700,0.094
174600,0.094
175500,0.094
176400,0.094
177300,0.094
178200,0.094
179100,0.094
180000,0.094
180900,0.094
181800,0.094
182700,0.094
183600,0.094
184500,0.094
185400,0.094
186300,0.094
187200,0.094
188100,0.094
189000,0.094
189900,0.094
190800,0.094
191700,0.094
192600,0.094
193500,0.094
194400,0.094
195300,0.094
