# time: time of price [s],,
# PriceElectricPowerHighlyDynamic: Price of electricity in highly dynamic scenario [$/kWh],,
"# DayAheadPrice: Hourly price of electricity, not including other utility fees.",,
time,DayAheadPrice,PriceElectricPowerHighlyDynamic
0,0.0194,0.05807
3600,0.01928,0.05795
7200,0.01899,0.05766
10800,0.0189,0.05757
14400,0.019,0.05767
18000,0.01912,0.05779
21600,0.01985,0.05852
25200,0.0212,0.05987
28800,0.02214,0.06081
32400,0.0224,0.06107
36000,0.02345,0.06212
39600,0.02306,0.06173
43200,0.02306,0.06173
46800,0.02273,0.0614
50400,0.02251,0.06118
54000,0.02307,0.06174
57600,0.02468,0.06335
61200,0.02896,0.06763
64800,0.0289,0.06757
68400,0.02867,0.06734
72000,0.02814,0.06681
75600,0.0266,0.06527
79200,0.0246,0.06327
82800,0.02319,0.06186
86400,0.02351,0.06218
90000,0.02328,0.06195
93600,0.0233,0.06197
97200,0.02307,0.06174
100800,0.02336,0.06203
104400,0.02507,0.06374
108000,0.03072,0.06939
111600,0.03188,0.07055
115200,0.03332,0.07199
118800,0.0349,0.07357
122400,0.0335,0.07217
126000,0.03231,0.07098
129600,0.03106,0.06973
133200,0.02992,0.06859
136800,0.02896,0.06763
140400,0.02852,0.06719
144000,0.03105,0.06972
147600,0.04017,0.07884
151200,0.03566,0.07433
154800,0.03482,0.07349
158400,0.03161,0.07028
162000,0.03007,0.06874
165600,0.02733,0.066
169200,0.02494,0.06361
172800,0.02248,0.06115
176400,0.02094,0.05961
180000,0.02117,0.05984
183600,0.02066,0.05933
187200,0.02117,0.05984
190800,0.02271,0.06138
194400,0.02595,0.06462
198000,0.02828,0.06695
201600,0.02926,0.06793
205200,0.02928,0.06795
208800,0.0289,0.06757
212400,0.02818,0.06685
216000,0.02745,0.06612
219600,0.02704,0.06571
223200,0.02632,0.06499
226800,0.02573,0.0644
230400,0.02689,0.06556
234000,0.03019,0.06886
237600,0.02892,0.06759
241200,0.02871,0.06738
244800,0.0278,0.06647
248400,0.02596,0.06463
252000,0.02447,0.06314
255600,0.02223,0.0609
259200,0.01975,0.05842
262800,0.01866,0.05733
266400,0.01869,0.05736
270000,0.0187,0.05737
273600,0.01977,0.05844
277200,0.02079,0.05946
280800,0.02498,0.06365
284400,0.02685,0.06552
288000,0.02805,0.06672
291600,0.02853,0.0672
295200,0.02722,0.06589
298800,0.02644,0.06511
302400,0.02611,0.06478
306000,0.02558,0.06425
309600,0.02481,0.06348
313200,0.02417,0.06284
316800,0.02568,0.06435
320400,0.02767,0.06634
324000,0.02728,0.06595
327600,0.02603,0.0647
331200,0.02456,0.06323
334800,0.02331,0.06198
338400,0.02192,0.06059
342000,0.01988,0.05855
345600,0.02044,0.05911
349200,0.01929,0.05796
352800,0.01897,0.05764
356400,0.01893,0.0576
360000,0.01875,0.05742
363600,0.01932,0.05799
367200,0.02069,0.05936
370800,0.02205,0.06072
374400,0.025,0.06367
378000,0.02582,0.06449
381600,0.02571,0.06438
385200,0.02463,0.0633
388800,0.02338,0.06205
392400,0.02251,0.06118
396000,0.02178,0.06045
399600,0.02143,0.0601
403200,0.02264,0.06131
406800,0.0266,0.06527
410400,0.026,0.06467
414000,0.02502,0.06369
417600,0.02417,0.06284
421200,0.02351,0.06218
424800,0.02248,0.06115
428400,0.02028,0.05895
432000,0.0197,0.05837
435600,0.01956,0.05823
439200,0.019,0.05767
442800,0.01899,0.05766
446400,0.01887,0.05754
450000,0.01882,0.05749
453600,0.01871,0.05738
457200,0.01993,0.0586
460800,0.02256,0.06123
464400,0.02282,0.06149
468000,0.02259,0.06126
471600,0.0218,0.06047
475200,0.02132,0.05999
478800,0.02032,0.05899
482400,0.01975,0.05842
486000,0.0197,0.05837
489600,0.02183,0.0605
493200,0.02577,0.06444
496800,0.02625,0.06492
500400,0.02497,0.06364
504000,0.02437,0.06304
507600,0.02329,0.06196
511200,0.02135,0.06002
514800,0.02034,0.05901
518400,0.01575,0.05442
522000,0.01345,0.05212
525600,0.01302,0.05169
529200,0.0129,0.05157
532800,0.01304,0.05171
536400,0.01498,0.05365
540000,0.01963,0.0583
543600,0.02308,0.06175
547200,0.02482,0.06349
550800,0.02506,0.06373
554400,0.02448,0.06315
558000,0.02374,0.06241
561600,0.02261,0.06128
565200,0.02203,0.0607
568800,0.02174,0.06041
572400,0.02137,0.06004
576000,0.02245,0.06112
579600,0.02525,0.06392
583200,0.02487,0.06354
586800,0.02448,0.06315
590400,0.02393,0.0626
594000,0.02314,0.06181
597600,0.02132,0.05999
601200,0.01965,0.05832
604800,0.01629,0.05496
608400,0.0152,0.05387
612000,0.01465,0.05332
615600,0.01428,0.05295
619200,0.01364,0.05231
622800,0.0146,0.05327
626400,0.0187,0.05737
630000,0.02314,0.06181
633600,0.02412,0.06279
637200,0.02363,0.0623
640800,0.02335,0.06202
644400,0.02246,0.06113
648000,0.02182,0.06049
651600,0.02146,0.06013
655200,0.02131,0.05998
658800,0.02106,0.05973
662400,0.02245,0.06112
666000,0.02697,0.06564
669600,0.02652,0.06519
673200,0.02439,0.06306
676800,0.02256,0.06123
680400,0.02139,0.06006
684000,0.0198,0.05847
687600,0.01827,0.05694
691200,0.01796,0.05663
694800,0.01781,0.05648
698400,0.01754,0.05621
702000,0.01744,0.05611
705600,0.01732,0.05599
709200,0.0173,0.05597
712800,0.02212,0.06079
716400,0.02432,0.06299
720000,0.02382,0.06249
723600,0.02391,0.06258
727200,0.02462,0.06329
730800,0.02433,0.063
734400,0.02412,0.06279
738000,0.02355,0.06222
741600,0.02336,0.06203
745200,0.02337,0.06204
748800,0.0251,0.06377
752400,0.03537,0.07404
756000,0.03477,0.07344
759600,0.03271,0.07138
763200,0.03102,0.06969
766800,0.02977,0.06844
770400,0.02751,0.06618
774000,0.02523,0.0639
777600,0.02351,0.06218
781200,0.02275,0.06142
784800,0.02271,0.06138
788400,0.02279,0.06146
792000,0.02336,0.06203
795600,0.02613,0.0648
799200,0.03604,0.07471
802800,0.04119,0.07986
806400,0.03717,0.07584
810000,0.03213,0.0708
813600,0.03572,0.07439
817200,0.03194,0.07061
820800,0.03037,0.06904
824400,0.02969,0.06836
828000,0.02791,0.06658
831600,0.02728,0.06595
835200,0.03119,0.06986
838800,0.04298,0.08165
842400,0.04579,0.08446
846000,0.04121,0.07988
849600,0.04001,0.07868
853200,0.03805,0.07672
856800,0.03572,0.07439
860400,0.02966,0.06833
864000,0.02749,0.06616
867600,0.02589,0.06456
871200,0.02557,0.06424
874800,0.0255,0.06417
878400,0.02551,0.06418
882000,0.02522,0.06389
885600,0.0325,0.07117
889200,0.0418,0.08047
892800,0.04103,0.0797
896400,0.03549,0.07416
900000,0.03567,0.07434
903600,0.03184,0.07051
907200,0.02949,0.06816
910800,0.02884,0.06751
914400,0.02792,0.06659
918000,0.02751,0.06618
921600,0.02946,0.06813
925200,0.03583,0.0745
928800,0.03579,0.07446
932400,0.03373,0.0724
936000,0.03125,0.06992
939600,0.02992,0.06859
943200,0.03043,0.0691
946800,0.02598,0.06465
950400,0.02689,0.06556
954000,0.02552,0.06419
957600,0.02475,0.06342
961200,0.0243,0.06297
964800,0.02351,0.06218
968400,0.024,0.06267
972000,0.02431,0.06298
975600,0.02631,0.06498
979200,0.03024,0.06891
982800,0.0311,0.06977
986400,0.02942,0.06809
990000,0.02823,0.0669
993600,0.02715,0.06582
997200,0.02583,0.0645
1000800,0.02562,0.06429
1004400,0.02524,0.06391
1008000,0.02587,0.06454
1011600,0.0276,0.06627
1015200,0.0272,0.06587
1018800,0.0271,0.06577
1022400,0.02496,0.06363
1026000,0.02421,0.06288
1029600,0.02418,0.06285
1033200,0.02346,0.06213
1036800,0.02171,0.06038
1040400,0.02101,0.05968
1044000,0.02041,0.05908
1047600,0.02,0.05867
1051200,0.01949,0.05816
1054800,0.01934,0.05801
1058400,0.02002,0.05869
1062000,0.02051,0.05918
1065600,0.02419,0.06286
1069200,0.02539,0.06406
1072800,0.02618,0.06485
1076400,0.02581,0.06448
1080000,0.02541,0.06408
1083600,0.02509,0.06376
1087200,0.02475,0.06342
1090800,0.02457,0.06324
1094400,0.02654,0.06521
1098000,0.03336,0.07203
1101600,0.03246,0.07113
1105200,0.03145,0.07012
1108800,0.02878,0.06745
1112400,0.02695,0.06562
1116000,0.0251,0.06377
1119600,0.02451,0.06318
1123200,0.02276,0.06143
1126800,0.02217,0.06084
1130400,0.02216,0.06083
1134000,0.0222,0.06087
1137600,0.02271,0.06138
1141200,0.02432,0.06299
1144800,0.03192,0.07059
1148400,0.03488,0.07355
1152000,0.03605,0.07472
1155600,0.03233,0.071
1159200,0.03164,0.07031
1162800,0.02964,0.06831
1166400,0.02793,0.0666
1170000,0.02755,0.06622
1173600,0.02668,0.06535
1177200,0.02643,0.0651
1180800,0.02837,0.06704
1184400,0.0361,0.07477
1188000,0.03613,0.0748
1191600,0.03601,0.07468
1195200,0.03382,0.07249
1198800,0.03029,0.06896
1202400,0.02764,0.06631
1206000,0.02506,0.06373
1209600,0.02171,0.06038
1213200,0.01704,0.05571
1216800,0.01534,0.05401
1220400,0.01762,0.05629
1224000,0.01652,0.05519
1227600,0.01895,0.05762
1231200,0.02627,0.06494
1234800,0.03997,0.07864
1238400,0.03283,0.0715
1242000,0.02798,0.06665
1245600,0.0313,0.06997
1249200,0.02892,0.06759
1252800,0.02742,0.06609
1256400,0.02635,0.06502
1260000,0.02573,0.0644
1263600,0.02515,0.06382
1267200,0.02656,0.06523
1270800,0.0313,0.06997
1274400,0.02841,0.06708
1278000,0.02678,0.06545
1281600,0.02424,0.06291
1285200,0.02305,0.06172
1288800,0.02248,0.06115
1292400,0.01807,0.05674
1296000,0.01957,0.05824
1299600,0.02164,0.06031
1303200,0.02179,0.06046
1306800,0.02288,0.06155
1310400,0.02277,0.06144
1314000,0.02482,0.06349
1317600,0.03406,0.07273
1321200,0.04572,0.08439
1324800,0.0399,0.07857
1328400,0.03548,0.07415
1332000,0.03385,0.07252
1335600,0.03179,0.07046
1339200,0.02925,0.06792
1342800,0.02896,0.06763
1346400,0.0287,0.06737
1350000,0.0286,0.06727
1353600,0.0291,0.06777
1357200,0.03968,0.07835
1360800,0.03975,0.07842
1364400,0.03748,0.07615
1368000,0.03425,0.07292
1371600,0.03098,0.06965
1375200,0.02844,0.06711
1378800,0.02741,0.06608
1382400,0.02612,0.06479
1386000,0.02443,0.0631
1389600,0.02387,0.06254
1393200,0.02374,0.06241
1396800,0.02439,0.06306
1400400,0.02562,0.06429
1404000,0.04168,0.08035
1407600,0.04849,0.08716
1411200,0.04226,0.08093
1414800,0.03995,0.07862
1418400,0.04005,0.07872
1422000,0.03734,0.07601
1425600,0.03444,0.07311
1429200,0.03288,0.07155
1432800,0.03189,0.07056
1436400,0.03168,0.07035
1440000,0.03345,0.07212
1443600,0.0421,0.08077
1447200,0.04159,0.08026
1450800,0.03747,0.07614
1454400,0.03484,0.07351
1458000,0.03115,0.06982
1461600,0.02949,0.06816
1465200,0.02752,0.06619
1468800,0.02492,0.06359
1472400,0.02305,0.06172
1476000,0.02303,0.0617
1479600,0.02316,0.06183
1483200,0.02323,0.0619
1486800,0.02335,0.06202
1490400,0.02884,0.06751
1494000,0.03367,0.07234
1497600,0.03299,0.07166
1501200,0.03297,0.07164
1504800,0.03104,0.06971
1508400,0.03048,0.06915
1512000,0.02883,0.0675
1515600,0.027,0.06567
1519200,0.02649,0.06516
1522800,0.02657,0.06524
1526400,0.02689,0.06556
1530000,0.03238,0.07105
1533600,0.03097,0.06964
1537200,0.02889,0.06756
1540800,0.02772,0.06639
1544400,0.02654,0.06521
1548000,0.02514,0.06381
1551600,0.02423,0.0629
1555200,0.02213,0.0608
1558800,0.02112,0.05979
1562400,0.02027,0.05894
1566000,0.01955,0.05822
1569600,0.01834,0.05701
1573200,0.016,0.05467
1576800,0.01309,0.05176
1580400,0.02021,0.05888
1584000,0.02376,0.06243
1587600,0.02662,0.06529
1591200,0.03082,0.06949
1594800,0.02887,0.06754
1598400,0.02826,0.06693
1602000,0.02695,0.06562
1605600,0.02632,0.06499
1609200,0.02624,0.06491
1612800,0.02699,0.06566
1616400,0.03024,0.06891
1620000,0.03189,0.07056
1623600,0.02907,0.06774
1627200,0.02797,0.06664
1630800,0.02648,0.06515
1634400,0.02492,0.06359
1638000,0.02372,0.06239
1641600,0.01949,0.05816
1645200,0.0191,0.05777
1648800,0.01919,0.05786
1652400,0.01913,0.0578
1656000,0.01924,0.05791
1659600,0.01984,0.05851
1663200,0.02076,0.05943
1666800,0.02212,0.06079
1670400,0.024,0.06267
1674000,0.02484,0.06351
1677600,0.02553,0.0642
1681200,0.02613,0.0648
1684800,0.0258,0.06447
1688400,0.02547,0.06414
1692000,0.02481,0.06348
1695600,0.0243,0.06297
1699200,0.02572,0.06439
1702800,0.02823,0.0669
1706400,0.03212,0.07079
1710000,0.03484,0.07351
1713600,0.03253,0.0712
1717200,0.03477,0.07344
1720800,0.03341,0.07208
1724400,0.0268,0.06547
1728000,0.0188,0.05747
1731600,0.01526,0.05393
1735200,0.01584,0.05451
1738800,0.01598,0.05465
1742400,0.01987,0.05854
1746000,0.01955,0.05822
1749600,0.02069,0.05936
1753200,0.0298,0.06847
1756800,0.06004,0.09871
1760400,0.0583,0.09697
1764000,0.05876,0.09743
1767600,0.05533,0.094
1771200,0.04234,0.08101
1774800,0.04297,0.08164
1778400,0.03635,0.07502
1782000,0.03521,0.07388
1785600,0.03683,0.0755
1789200,0.04795,0.08662
1792800,0.05698,0.09565
1796400,0.05644,0.09511
1800000,0.05333,0.092
1803600,0.04106,0.07973
1807200,0.0361,0.07477
1810800,0.02728,0.06595
1814400,0.0093,0.04797
1818000,0.01027,0.04894
1821600,0.00743,0.0461
1825200,0.01051,0.04918
1828800,0.00913,0.0478
1832400,0.01593,0.0546
1836000,0.02549,0.06416
1839600,0.03249,0.07116
1843200,0.02701,0.06568
1846800,0.02672,0.06539
1850400,0.02558,0.06425
1854000,0.02507,0.06374
1857600,0.02545,0.06412
1861200,0.02424,0.06291
1864800,0.02429,0.06296
1868400,0.02441,0.06308
1872000,0.02367,0.06234
1875600,0.02604,0.06471
1879200,0.02966,0.06833
1882800,0.0262,0.06487
1886400,0.02504,0.06371
1890000,0.02346,0.06213
1893600,0.02228,0.06095
1897200,0.0188,0.05747
1900800,0.02456,0.06323
1904400,0.02445,0.06312
1908000,0.02353,0.0622
1911600,0.02416,0.06283
1915200,0.02432,0.06299
1918800,0.02486,0.06353
1922400,0.028,0.06667
1926000,0.03288,0.07155
1929600,0.03194,0.07061
1933200,0.03147,0.07014
1936800,0.02676,0.06543
1940400,0.02642,0.06509
1944000,0.02561,0.06428
1947600,0.02511,0.06378
1951200,0.02475,0.06342
1954800,0.02444,0.06311
1958400,0.02517,0.06384
1962000,0.02631,0.06498
1965600,0.02637,0.06504
1969200,0.02588,0.06455
1972800,0.02498,0.06365
1976400,0.02514,0.06381
1980000,0.02338,0.06205
1983600,0.02244,0.06111
1987200,0.02161,0.06028
1990800,0.0214,0.06007
1994400,0.02096,0.05963
1998000,0.02086,0.05953
2001600,0.0218,0.06047
2005200,0.02291,0.06158
2008800,0.02607,0.06474
2012400,0.02899,0.06766
2016000,0.02934,0.06801
2019600,0.02839,0.06706
2023200,0.02723,0.0659
2026800,0.02565,0.06432
2030400,0.0245,0.06317
2034000,0.02406,0.06273
2037600,0.02318,0.06185
2041200,0.02289,0.06156
2044800,0.0225,0.06117
2048400,0.02606,0.06473
2052000,0.03168,0.07035
2055600,0.0298,0.06847
