# time: time of emissions factor [s],
# EmissionsElectricPower: Emissions factor of electric power [kgCO2-e/kWh],
time,EmissionsElectricPower
0,0.341
900,0.341
1800,0.341
2700,0.341
3600,0.341
4500,0.341
5400,0.341
6300,0.341
7200,0.341
8100,0.341
9000,0.341
9900,0.341
10800,0.341
11700,0.341
12600,0.341
13500,0.341
14400,0.341
15300,0.341
16200,0.341
17100,0.341
18000,0.341
18900,0.341
19800,0.341
20700,0.341
21600,0.341
22500,0.341
23400,0.341
24300,0.341
25200,0.341
26100,0.341
27000,0.341
27900,0.341
28800,0.341
29700,0.341
30600,0.341
31500,0.341
32400,0.341
33300,0.341
34200,0.341
35100,0.341
36000,0.341
36900,0.341
37800,0.341
38700,0.341
39600,0.341
40500,0.341
41400,0.341
42300,0.341
43200,0.341
44100,0.341
45000,0.341
45900,0.341
46800,0.341
47700,0.341
48600,0.341
49500,0.341
50400,0.341
51300,0.341
52200,0.341
53100,0.341
54000,0.341
54900,0.341
55800,0.341
56700,0.341
57600,0.341
58500,0.341
59400,0.341
60300,0.341
61200,0.341
62100,0.341
63000,0.341
63900,0.341
64800,0.341
65700,0.341
66600,0.341
67500,0.341
68400,0.341
69300,0.341
70200,0.341
71100,0.341
72000,0.341
72900,0.341
73800,0.341
74700,0.341
75600,0.341
76500,0.341
77400,0.341
78300,0.341
79200,0.341
80100,0.341
81000,0.341
81900,0.341
82800,0.341
83700,0.341
84600,0.341
85500,0.341
86400,0.341
87300,0.341
88200,0.341
89100,0.341
90000,0.341
90900,0.341
91800,0.341
92700,0.341
93600,0.341
94500,0.341
95400,0.341
96300,0.341
97200,0.341
98100,0.341
99000,0.341
99900,0.341
100800,0.341
101700,0.341
102600,0.341
103500,0.341
104400,0.341
105300,0.341
106200,0.341
107100,0.341
108000,0.341
108900,0.341
109800,0.341
110700,0.341
111600,0.341
112500,0.341
113400,0.341
114300,0.341
115200,0.341
116100,0.341
117000,0.341
117900,0.341
118800,0.341
119700,0.341
120600,0.341
121500,0.341
122400,0.341
123300,0.341
124200,0.341
125100,0.341
126000,0.341
126900,0.341
127800,0.341
128700,0.341
129600,0.341
130500,0.341
131400,0.341
132300,0.341
133200,0.341
134100,0.341
135000,0.341
135900,0.341
136800,0.341
137700,0.341
138600,0.341
139500,0.341
140400,0.341
141300,0.341
142200,0.341
143100,0.341
144000,0.341
144900,0.341
145800,0.341
146700,0.341
147600,0.341
148500,0.341
149400,0.341
150300,0.341
151200,0.341
152100,0.341
153000,0.341
153900,0.341
154800,0.341
155700,0.341
156600,0.341
157500,0.341
158400,0.341
159300,0.341
160200,0.341
161100,0.341
162000,0.341
162900,0.341
163800,0.341
164700,0.341
165600,0.341
166500,0.341
167400,0.341
168300,0.341
169200,0.341
