# time: time of price [s],
# PriceGasPower: Price of gas power [$/kWh],
time,PriceGasPower
0,0.017
900,0.017
1800,0.017
2700,0.017
3600,0.017
4500,0.017
5400,0.017
6300,0.017
7200,0.017
8100,0.017
9000,0.017
9900,0.017
10800,0.017
11700,0.017
12600,0.017
13500,0.017
14400,0.017
15300,0.017
16200,0.017
17100,0.017
18000,0.017
18900,0.017
19800,0.017
20700,0.017
21600,0.017
22500,0.017
23400,0.017
24300,0.017
25200,0.017
26100,0.017
27000,0.017
27900,0.017
28800,0.017
29700,0.017
30600,0.017
31500,0.017
32400,0.017
33300,0.017
34200,0.017
35100,0.017
36000,0.017
36900,0.017
37800,0.017
38700,0.017
39600,0.017
40500,0.017
41400,0.017
42300,0.017
43200,0.017
44100,0.017
45000,0.017
45900,0.017
46800,0.017
47700,0.017
48600,0.017
49500,0.017
50400,0.017
51300,0.017
52200,0.017
53100,0.017
54000,0.017
54900,0.017
55800,0.017
56700,0.017
57600,0.017
58500,0.017
59400,0.017
60300,0.017
61200,0.017
62100,0.017
63000,0.017
63900,0.017
64800,0.017
65700,0.017
66600,0.017
67500,0.017
68400,0.017
69300,0.017
70200,0.017
71100,0.017
72000,0.017
72900,0.017
73800,0.017
74700,0.017
75600,0.017
76500,0.017
77400,0.017
78300,0.017
79200,0.017
80100,0.017
81000,0.017
81900,0.017
82800,0.017
83700,0.017
84600,0.017
85500,0.017
86400,0.017
87300,0.017
88200,0.017
89100,0.017
90000,0.017
90900,0.017
91800,0.017
92700,0.017
93600,0.017
94500,0.017
95400,0.017
96300,0.017
97200,0.017
98100,0.017
99000,0.017
99900,0.017
100800,0.017
101700,0.017
102600,0.017
103500,0.017
104400,0.017
105300,0.017
106200,0.017
107100,0.017
108000,0.017
108900,0.017
109800,0.017
110700,0.017
111600,0.017
112500,0.017
113400,0.017
114300,0.017
115200,0.017
116100,0.017
117000,0.017
117900,0.017
118800,0.017
119700,0.017
120600,0.017
121500,0.017
122400,0.017
123300,0.017
124200,0.017
125100,0.017
126000,0.017
126900,0.017
127800,0.017
128700,0.017
129600,0.017
130500,0.017
131400,0.017
132300,0.017
133200,0.017
134100,0.017
135000,0.017
135900,0.017
136800,0.017
137700,0.017
138600,0.017
139500,0.017
140400,0.017
141300,0.017
142200,0.017
143100,0.017
144000,0.017
144900,0.017
145800,0.017
146700,0.017
147600,0.017
148500,0.017
149400,0.017
150300,0.017
151200,0.017
152100,0.017
153000,0.017
153900,0.017
154800,0.017
155700,0.017
156600,0.017
157500,0.017
158400,0.017
159300,0.017
160200,0.017
161100,0.017
162000,0.017
162900,0.017
163800,0.017
164700,0.017
165600,0.017
166500,0.017
167400,0.017
168300,0.017
169200,0.017
170100,0.017
171000,0.017
171900,0.017
172800,0.017
173700,0.017
174600,0.017
175500,0.017
176400,0.017
177300,0.017
178200,0.017
179100,0.017
180000,0.017
180900,0.017
