Time,chi.chi.QEva_flow,heaPum.heaPum.QCon_flow
0,0.000100582,0
300,0.092824124,0.28495127
600,0.09281693,0.2849367
900,0.09281643,0.28493547
1200,0.09281593,0.28493428
1500,0.09281542,0.28493303
1800,0.092814915,0.2849318
2100,0.0928144,0.28493056
2400,0.092813894,0.2849293
2700,0.09281338,0.28492808
3000,0.09281287,0.28492683
3300,0.09281236,0.2849256
3600,0.09281185,0.28492436
3900,0.09281134,0.28492314
4200,0.09281083,0.28492188
4500,0.09281032,0.28492066
4800,0.09280981,0.2849194
5100,0.0928093,0.2849182
5400,0.09280879,0.28491694
5700,0.09280828,0.2849157
6000,0.09280777,0.28491446
6300,0.092807256,0.2849132
6600,0.09280675,0.284912
6900,0.092806235,0.28491074
7200,0.09280573,0.28490952
7500,0.092805214,0.28490826
7800,0.09280471,0.284907
8100,0.09280419,0.2849058
8400,0.09280369,0.28490454
8700,0.09280317,0.28490332
9000,0.092802666,0.28490207
9300,0.09280215,0.28490084
9600,0.09280164,0.2848996
9900,0.09280113,0.28489834
10200,0.09280062,0.28489712
10500,0.09280011,0.28489587
10800,0.0927996,0.28489465
11100,0.09279909,0.2848934
11400,0.092798576,0.28489217
11700,0.09279807,0.28489092
12000,0.092797555,0.28488967
12300,0.09279705,0.28488845
12600,0.092796534,0.2848872
12900,0.09279602,0.28488597
13200,0.09279551,0.28488472
13500,0.092795,0.28488347
13800,0.09279449,0.28488225
14100,0.09279398,0.284881
14400,0.09279347,0.28487977
14700,0.09279296,0.28487852
15000,0.09279245,0.28487727
15300,0.09279194,0.28487605
15600,0.09279142,0.2848748
15900,0.09279092,0.28487357
16200,0.0927904,0.28487232
16500,0.092789896,0.28487107
16800,0.09278938,0.28486985
17100,0.09278887,0.2848686
17400,0.09278836,0.28486738
17700,0.09278785,0.28486612
18000,0.09278734,0.28486487
18300,0.092786826,0.28486365
18600,0.09278631,0.2848624
18900,0.092785805,0.28486118
19200,0.09278529,0.28485993
19500,0.092784785,0.28485867
19800,0.09278427,0.28485745
20100,0.100582,63204.715
20400,0.100582,46410.11
20700,0.100582,54965.543
21000,0.100582,49011.316
21300,0.100582,45258.535
21600,0.100582,52138.52
21900,0.08060885,0.05633212
22200,0.03128982,99.53251
22500,0.005325014,5361.367
