Time,heaPum.heaPum.QCon_flow,chi.chi.QEva_flow
0,0,0.000100582
300,2.5093162,0.100582
600,2.5090923,0.100582
900,2.5090861,0.100582
1200,2.5090802,0.100582
1500,2.5090742,0.100582
1800,2.5090683,0.100582
2100,2.5090623,0.100582
2400,2.5090563,0.100582
2700,2.5090504,0.100582
3000,2.5090444,0.100582
3300,2.5090384,0.100582
3600,2.5090325,0.100582
3900,2.5090265,0.100582
4200,2.5090206,0.100582
4500,2.5090146,0.100582
4800,2.5090084,0.100582
5100,2.5090024,0.100582
5400,2.5089965,0.100582
5700,2.5089905,0.100582
6000,2.5089846,0.100582
6300,2.5089786,0.100582
6600,2.5089726,0.100582
6900,2.5089667,0.100582
7200,2.5089605,0.100582
7500,2.5089545,0.100582
7800,2.5089486,0.100582
8100,2.5089426,0.100582
8400,2.5089366,0.100582
8700,2.5089307,0.100582
9000,2.5089245,0.100582
9300,2.5089185,0.100582
9600,2.5089126,0.100582
9900,2.5089066,0.100582
10200,2.5089006,0.100582
10500,2.5088944,0.100582
10800,2.5088885,0.100582
11100,2.5088825,0.100582
11400,2.5088766,0.100582
11700,2.5088704,0.100582
12000,2.5088644,0.100582
12300,2.5088584,0.100582
12600,2.5088525,0.100582
12900,2.5088463,0.100582
13200,2.5088403,0.100582
13500,2.5088344,0.100582
13800,2.5088284,0.100582
14100,2.5088222,0.100582
14400,2.5088162,0.100582
14700,2.5088103,0.100582
15000,2.508804,0.100582
15300,2.5087981,0.100582
15600,2.5087922,0.100582
15900,2.508786,0.100582
16200,2.50878,0.100582
16500,2.508774,0.100582
16800,2.5087678,0.100582
17100,2.508762,0.100582
17400,2.508756,0.100582
17700,2.5087497,0.100582
18000,2.5087438,0.100582
18300,2.5087378,0.100582
18600,2.5087316,0.100582
18900,2.5087256,0.100582
19200,2.5087194,0.100582
19500,2.5087135,0.100582
19800,2.5087075,0.100582
20100,122123.164,0.100582
20400,122123.15,0.100582
20700,19369.193,0.100582
21000,3.4554498,0.100582
21300,0.52625406,0.100582
21600,0.526312,0.100582
21900,355.9021,0.100582
22200,8838.538,0.100582
22500,34442.652,0.100582
22800,78949.51,0.100582
23100,45943.88,0.100582
23400,36772.184,0.100582
23700,36262.75,0.100582
24000,63729.855,0.100582
24300,40243,0.100582
24600,36470.582,0.100582
24900,45767.11,0.100582
25200,44469.04,0.100582
25500,38108.812,0.100582
25800,37560.07,0.100582
26100,65425.87,0.100582
26400,40064.97,0.100582
26700,37030.11,0.100582
27000,59299.145,0.100582
27300,42796.965,0.100582
27600,37209.23,0.100582
27900,37222.953,0.100582
28200,64478.55,0.100582
