Time,heating_cooling.heapro.Q_flow,heating_cooling.coopro.Q_flow
0,0,-0
599.99963,0,-0
1199.9993,0,-0
1799.9989,0,-0
2399.9985,0,-0
2999.998,0,-0
3599.9978,0,-0
3600,0,-0
3600,0,-0
4199.997,0,-0
4799.997,0,-0
5399.9966,0,-0
5999.996,0,-0
6599.9956,0,-0
7199.9956,0,-0
7200,0,-0
7200,0,-0
7799.995,0,-0
8363.6045,0,-0
8363.6045,0,-0
8363.6875,0,-0
8363.6875,0,-0
8399.994,0,-0
8999.994,0,-0
9599.994,0,-0
10199.993,0,-0
10799.993,0,-0
10800,0,-0
10800,0,-0
11399.993,0,-0
11999.992,0,-0
12599.992,0,-0
13199.991,0,-0
13799.991,0,-0
14399.991,0,-0
14400,0,-0
14400,0,-0
14999.99,0,-0
15599.99,0,-0
16199.989,0,-0
16799.988,0,-0
17399.988,0,-0
17999.988,0,-0
18000,0,-0
18000,0,-0
18599.988,0,-0
19199.988,0,-0
19799.988,0,-0
20399.986,0,-0
20999.986,0,-0
21599.986,0,-0
21600,0,-0
21600,0,-0
22199.986,0,-0
22799.986,0,-0
23399.984,0,-0
23999.984,0,-0
24599.984,0,-0
25199.984,0,-0
25200,0,-0
25200,0,-0
25799.984,0,-0
26399.982,0,-0
26999.982,0,-0
27599.982,0,-0
28199.982,0,-0
28799.982,0,-0
28800,0,-0
28800,0,-0
29399.98,0,-0
29999.98,0,-0
30599.98,0,-0
31199.98,0,-0
31799.98,0,-0
32399.979,0,-0
32400,0,-0
32400,0,-0
32999.98,0,-0
33599.977,0,-0
34199.977,0,-0
34799.977,0,-0
35399.977,0,-0
35999.977,0,-0
36000,0,-0
36000,0,-0
36599.977,0,-0
37199.977,0,-0
37799.977,0,-0
38399.977,0,-0
38999.977,0,-0
39599.977,0,-0
39600,0,-0
39600,0,-0
40199.973,0,-0
40799.973,0,-0
41399.973,0,-0
41999.973,0,-0
42599.973,0,-0
43199.973,0,-0
43200,0,-0
43200,0,-0
43799.973,0,-0
44399.973,0,-0
44999.973,0,-0
45599.973,0,-0
46199.97,0,-0
46799.97,0,-0
46800,0,-0
46800,0,-0
47399.97,0,-0
47999.97,0,-0
48599.97,0,-0
49199.97,0,-0
49799.97,0,-0
50399.97,0,-0
50400,0,-0
50400,0,-0
50999.97,0,-0
51599.97,0,-0
52199.965,0,-0
52799.965,0,-0
53399.965,0,-0
53999.965,0,-0
54000,0,-0
54000,0,-0
54599.965,0,-0
55199.965,0,-0
55799.965,0,-0
56399.965,0,-0
56999.965,0,-0
57599.965,0,-0
57600,0,-0
57600,0,-0
58199.96,0,-0
58799.96,0,-0
59399.96,0,-0
59999.96,0,-0
60599.96,0,-0
61199.96,0,-0
61200,0,-0
61200,0,-0
61799.96,0,-0
62399.96,0,-0
62999.96,0,-0
63599.96,0,-0
64199.957,0,-0
64799.957,0,-0
64800,0,-0
64800,0,-0
65399.957,0,-0
65999.96,0,-0
66599.96,0,-0
67199.95,0,-0
67799.95,0,-0
68399.95,0,-0
68400,0,-0
68400,0,-0
68999.95,0,-0
69599.95,0,-0
70199.95,0,-0
70799.95,0,-0
71399.95,0,-0
71999.95,0,-0
72000,0,-0
72000,0,-0
72599.95,0,-0
73199.95,0,-0
73799.95,0,-0
74399.95,0,-0
74999.95,0,-0
75599.95,0,-0
75600,0,-0
75600,0,-0
76199.95,0,-0
76799.95,0,-0
77399.95,0,-0
77999.95,0,-0
78599.95,0,-0
79199.95,0,-0
79200,0,-0
79200,0,-0
79799.945,0,-0
80399.945,0,-0
80999.945,0,-0
81599.945,0,-0
82199.945,0,-0
82799.945,0,-0
82800,0,-0
82800,0,-0
83399.945,0,-0
83999.945,0,-0
84599.945,0,-0
85199.945,0,-0
85799.945,0,-0
86399.945,0,-0
86400,0,-0
86400,0,-0
86999.945,0,-0
87599.945,0,-0
88199.945,0,-0
88799.945,0,-0
89399.945,0,-0
89999.945,0,-0
90000,0,-0
90000,0,-0
90599.945,0,-0
91199.945,0,-0
91799.94,0,-0
92399.94,0,-0
92999.94,0,-0
93599.94,0,-0
93600,0,-0
93600,0,-0
94199.94,0,-0
94799.94,0,-0
95399.94,0,-0
95999.94,0,-0
96599.94,0,-0
97199.94,0,-0
97200,0,-0
97200,0,-0
97799.94,0,-0
98399.94,0,-0
98999.94,0,-0
99599.94,0,-0
100199.94,0,-0
100799.94,0,-0
100800,0,-0
100800,0,-0
101399.94,0,-0
101999.94,0,-0
102599.94,0,-0
103199.94,0,-0
103799.93,0,-0
104399.93,0,-0
104400,0,-0
104400,0,-0
104999.93,0,-0
105599.93,0,-0
106199.93,0,-0
106799.93,0,-0
107399.93,0,-0
107999.93,0,-0
108000,0,-0
108000,0,-0
108599.93,0,-0
109199.93,0,-0
109799.93,0,-0
110399.93,0,-0
110999.93,0,-0
111599.93,0,-0
111600,0,-0
111600,0,-0
112199.93,0,-0
112799.93,0,-0
113399.93,0,-0
113999.93,0,-0
114599.93,0,-0
115199.93,0,-0
115200,0,-0
115200,0,-0
115799.93,0,-0
116399.92,0,-0
116999.92,0,-0
117599.92,0,-0
118199.92,0,-0
118799.92,0,-0
118800,0,-0
118800,0,-0
119399.92,0,-0
119999.92,0,-0
120599.92,0,-0
121199.92,0,-0
121799.92,0,-0
122399.92,0,-0
122400,0,-0
122400,0,-0
122999.92,0,-0
123599.92,0,-0
124199.92,0,-0
124662.89,0,-0
124662.89,0,-0
124667.05,0,-0
124667.05,0,-0
124799.92,0,-0
125399.92,0,-0
125999.92,0,-0
126000,0,-0
126000,0,-0
126599.92,0,-0
127199.92,0,-0
127799.92,0,-0
128399.914,0,-0
128999.914,0,-0
129599.914,0,-0
129600,0,-0
129600,0,-0
130199.914,0,-0
130799.914,0,-0
131399.92,0,-0
131999.92,0,-0
132599.92,0,-0
133199.92,0,-0
133200,0,-0
133200,0,-0
133799.92,0,-0
134399.9,0,-0
134999.9,0,-0
135599.9,0,-0
136199.9,0,-0
136799.9,0,-0
136800,0,-0
136800,0,-0
137399.9,0,-0
137999.9,0,-0
138599.9,0,-0
139199.9,0,-0
139799.9,0,-0
140399.9,0,-0
140400,0,-0
140400,0,-0
140999.9,0,-0
141599.9,0,-0
142199.9,0,-0
142799.9,0,-0
143399.9,0,-0
143843.28,0,-0
143843.28,0,-0
143878,0,-0
143878,0,-0
143999.9,0,-0
144000,0,-0
144000,0,-0
144599.9,0,-0
145199.9,0,-0
145799.9,0,-0
146399.9,0,-0
146999.9,0,-0
147599.9,0,-0
147600,0,-0
147600,0,-0
148199.9,0,-0
148799.9,0,-0
149399.9,0,-0
149999.9,0,-0
150599.9,0,-0
151199.9,0,-0
151200,0,-0
151200,0,-0
151799.9,0,-0
152399.9,0,-0
152999.9,0,-0
153599.9,0,-0
154199.9,0,-0
154799.9,0,-0
154800,0,-0
154800,0,-0
155399.9,0,-0
155999.9,0,-0
156599.9,0,-0
157199.9,0,-0
157799.9,0,-0
158399.9,0,-0
158400,0,-0
158400,0,-0
158999.89,0,-0
159599.89,0,-0
160199.89,0,-0
160799.89,0,-0
161399.89,0,-0
161999.89,0,-0
162000,0,-0
162000,0,-0
162599.89,0,-0
163199.89,0,-0
163799.89,0,-0
164399.89,0,-0
164999.89,0,-0
165599.89,0,-0
165600,0,-0
165600,0,-0
166199.89,0,-0
166799.89,0,-0
167399.89,0,-0
167999.89,0,-0
168599.89,0,-0
169199.89,0,-0
169200,0,-0
169200,0,-0
169799.89,0,-0
170399.89,0,-0
170999.89,0,-0
171599.89,0,-0
172199.89,0,-0
172799.89,0,-0
172800,0,-0
172800,0,-0
173399.89,0,-0
173999.89,0,-0
174599.89,0,-0
175199.89,0,-0
175799.89,0,-0
176399.89,0,-0
176400,0,-0
176400,0,-0
176999.89,0,-0
177599.89,0,-0
178199.89,0,-0
178799.89,0,-0
179399.89,0,-0
179999.89,0,-0
180000,0,-0
180000,0,-0
180599.89,0,-0
181199.89,0,-0
181799.89,0,-0
182399.89,0,-0
182999.89,0,-0
183599.88,0,-0
183600,0,-0
183600,0,-0
184199.88,0,-0
184799.88,0,-0
185399.88,0,-0
185999.88,0,-0
186599.88,0,-0
187199.88,0,-0
187200,0,-0
187200,0,-0
187799.88,0,-0
188399.88,0,-0
188999.88,0,-0
189599.88,0,-0
190199.88,0,-0
190799.88,0,-0
190800,0,-0
190800,0,-0
191399.88,0,-0
191999.88,0,-0
192599.88,0,-0
193199.88,0,-0
193799.88,0,-0
194399.88,0,-0
194400,0,-0
194400,0,-0
194999.88,0,-0
195599.88,0,-0
196199.88,0,-0
196799.88,0,-0
197399.88,0,-0
197999.88,0,-0
198000,0,-0
198000,0,-0
198599.88,0,-0
199199.88,0,-0
199799.88,0,-0
200399.88,0,-0
200999.88,0,-0
201599.88,0,-0
201600,0,-0
201600,0,-0
202199.88,0,-0
202799.88,0,-0
203399.88,0,-0
203999.88,0,-0
204599.88,0,-0
205199.88,0,-0
205200,0,-0
205200,0,-0
205799.88,0,-0
206399.88,0,-0
206999.88,0,-0
207599.86,0,-0
208199.86,0,-0
208799.86,0,-0
208800,0,-0
208800,0,-0
209399.86,0,-0
209999.86,0,-0
210599.86,0,-0
211199.86,0,-0
211799.86,0,-0
212189.53,0,-0
212189.53,0,-0
212214.61,0,-0
212214.61,0,-0
212399.86,0,-0
212400,0,-0
212400,0,-0
212999.86,0,-0
213599.86,0,-0
214199.86,0,-0
214799.86,0,-0
215399.86,0,-0
215999.86,0,-0
216000,0,-0
216000,0,-0
216599.86,0,-0
217199.86,0,-0
217799.86,0,-0
218399.86,0,-0
218999.86,0,-0
219599.86,0,-0
219600,0,-0
219600,0,-0
220199.86,0,-0
220799.86,0,-0
221399.86,0,-0
221999.86,0,-0
222599.86,0,-0
223199.86,0,-0
223200,0,-0
223200,0,-0
223799.86,0,-0
224399.86,0,-0
224999.86,0,-0
225599.86,0,-0
226199.86,0,-0
226799.86,0,-0
226800,0,-0
