time,EmissionsElectricPower,EmissionsGasPower
0,0.2819,0.22
900,0.2819,0.22
1800,0.2819,0.22
2700,0.2819,0.22
3600,0.26275,0.22
4500,0.26275,0.22
5400,0.26275,0.22
6300,0.26275,0.22
7200,0.25936,0.22
8100,0.25936,0.22
9000,0.25936,0.22
9900,0.25936,0.22
10800,0.25442,0.22
11700,0.25442,0.22
12600,0.25442,0.22
13500,0.25442,0.22
14400,0.26176,0.22
15300,0.26176,0.22
16200,0.26176,0.22
17100,0.26176,0.22
18000,0.25324,0.22
18900,0.25324,0.22
19800,0.25324,0.22
20700,0.25324,0.22
21600,0.25126,0.22
22500,0.25126,0.22
23400,0.25126,0.22
24300,0.25126,0.22
25200,0.25621,0.22
26100,0.25621,0.22
27000,0.25621,0.22
27900,0.25621,0.22
28800,0.26432,0.22
29700,0.26432,0.22
30600,0.26432,0.22
31500,0.26432,0.22
32400,0.2538,0.22
33300,0.2538,0.22
34200,0.2538,0.22
35100,0.2538,0.22
36000,0.2526,0.22
36900,0.2526,0.22
37800,0.2526,0.22
38700,0.2526,0.22
39600,0.24223,0.22
40500,0.24223,0.22
41400,0.24223,0.22
42300,0.24223,0.22
43200,0.24806,0.22
44100,0.24806,0.22
45000,0.24806,0.22
45900,0.24806,0.22
46800,0.25294,0.22
47700,0.25294,0.22
48600,0.25294,0.22
49500,0.25294,0.22
50400,0.25949,0.22
51300,0.25949,0.22
52200,0.25949,0.22
53100,0.25949,0.22
54000,0.25184,0.22
54900,0.25184,0.22
55800,0.25184,0.22
56700,0.25184,0.22
57600,0.25287,0.22
58500,0.25287,0.22
59400,0.25287,0.22
60300,0.25287,0.22
61200,0.24158,0.22
62100,0.24158,0.22
63000,0.24158,0.22
63900,0.24158,0.22
64800,0.23404,0.22
65700,0.23404,0.22
66600,0.23404,0.22
67500,0.23404,0.22
68400,0.23572,0.22
69300,0.23572,0.22
70200,0.23572,0.22
71100,0.23572,0.22
72000,0.23084,0.22
72900,0.23084,0.22
73800,0.23084,0.22
74700,0.23084,0.22
75600,0.23081,0.22
76500,0.23081,0.22
77400,0.23081,0.22
78300,0.23081,0.22
79200,0.23921,0.22
80100,0.23921,0.22
81000,0.23921,0.22
81900,0.23921,0.22
82800,0.24557,0.22
83700,0.24557,0.22
84600,0.24557,0.22
85500,0.24557,0.22
86400,0.2469,0.22
87300,0.2469,0.22
88200,0.2469,0.22
89100,0.2469,0.22
90000,0.2469,0.22
90900,0.2469,0.22
91800,0.2469,0.22
92700,0.2469,0.22
93600,0.24761,0.22
94500,0.24761,0.22
95400,0.24761,0.22
96300,0.24761,0.22
97200,0.25293,0.22
98100,0.25293,0.22
99000,0.25293,0.22
99900,0.25293,0.22
100800,0.26097,0.22
101700,0.26097,0.22
102600,0.26097,0.22
103500,0.26097,0.22
104400,0.27648,0.22
105300,0.27648,0.22
106200,0.27648,0.22
107100,0.27648,0.22
108000,0.29085,0.22
108900,0.29085,0.22
109800,0.29085,0.22
110700,0.29085,0.22
111600,0.28858,0.22
112500,0.28858,0.22
113400,0.28858,0.22
114300,0.28858,0.22
115200,0.29636,0.22
116100,0.29636,0.22
117000,0.29636,0.22
117900,0.29636,0.22
118800,0.29928,0.22
119700,0.29928,0.22
120600,0.29928,0.22
121500,0.29928,0.22
122400,0.30548,0.22
123300,0.30548,0.22
124200,0.30548,0.22
125100,0.30548,0.22
126000,0.30431,0.22
126900,0.30431,0.22
127800,0.30431,0.22
128700,0.30431,0.22
129600,0.30981,0.22
130500,0.30981,0.22
131400,0.30981,0.22
132300,0.30981,0.22
133200,0.31111,0.22
134100,0.31111,0.22
135000,0.31111,0.22
135900,0.31111,0.22
136800,0.31589,0.22
137700,0.31589,0.22
138600,0.31589,0.22
139500,0.31589,0.22
140400,0.31958,0.22
141300,0.31958,0.22
142200,0.31958,0.22
143100,0.31958,0.22
144000,0.31726,0.22
144900,0.31726,0.22
145800,0.31726,0.22
146700,0.31726,0.22
147600,0.32813,0.22
148500,0.32813,0.22
149400,0.32813,0.22
150300,0.32813,0.22
151200,0.3358,0.22
152100,0.3358,0.22
153000,0.3358,0.22
153900,0.3358,0.22
154800,0.33168,0.22
155700,0.33168,0.22
156600,0.33168,0.22
157500,0.33168,0.22
158400,0.33404,0.22
159300,0.33404,0.22
160200,0.33404,0.22
161100,0.33404,0.22
162000,0.33994,0.22
162900,0.33994,0.22
163800,0.33994,0.22
164700,0.33994,0.22
165600,0.33733,0.22
166500,0.33733,0.22
167400,0.33733,0.22
168300,0.33733,0.22
169200,0.33699,0.22
170100,0.33699,0.22
171000,0.33699,0.22
171900,0.33699,0.22
172800,0.32602,0.22
173700,0.32602,0.22
174600,0.32602,0.22
175500,0.32602,0.22
176400,0.32505,0.22
177300,0.32505,0.22
178200,0.32505,0.22
179100,0.32505,0.22
180000,0.31848,0.22
