time,InternalGainsLat[nZ],InternalGainsLat[sZ],InternalGainsCon[nZ],InternalGainsCon[sZ],InternalGainsRad[nZ],InternalGainsRad[sZ]
0,0,0,822.5,822.5,352.5,352.5
900,0,0,822.5,822.5,352.5,352.5
1800,0,0,822.5,822.5,352.5,352.5
2700,0,0,822.5,822.5,352.5,352.5
3600,0,0,822.5,822.5,352.5,352.5
4500,0,0,822.5,822.5,352.5,352.5
5400,0,0,822.5,822.5,352.5,352.5
6300,0,0,822.5,822.5,352.5,352.5
7200,0,0,822.5,822.5,352.5,352.5
8100,0,0,822.5,822.5,352.5,352.5
9000,0,0,822.5,822.5,352.5,352.5
9900,0,0,822.5,822.5,352.5,352.5
10800,0,0,822.5,822.5,352.5,352.5
11700,0,0,822.5,822.5,352.5,352.5
12600,0,0,822.5,822.5,352.5,352.5
13500,0,0,822.5,822.5,352.5,352.5
14400,0,0,822.5,822.5,352.5,352.5
15300,0,0,822.5,822.5,352.5,352.5
16200,0,0,822.5,822.5,352.5,352.5
17100,0,0,822.5,822.5,352.5,352.5
18000,0,0,822.5,822.5,352.5,352.5
18900,0,0,822.5,822.5,352.5,352.5
19800,0,0,822.5,822.5,352.5,352.5
20700,0,0,822.5,822.5,352.5,352.5
21600,0,0,822.5,822.5,352.5,352.5
22500,0,0,822.5,822.5,352.5,352.5
23400,0,0,822.5,822.5,352.5,352.5
24300,0,0,822.5,822.5,352.5,352.5
25200,0,0,822.5,822.5,352.5,352.5
26100,0,0,822.5,822.5,352.5,352.5
27000,0,0,822.5,822.5,352.5,352.5
27900,0,0,822.5,822.5,352.5,352.5
28800,0,0,822.5,822.5,352.5,352.5
29700,0,0,822.5,822.5,352.5,352.5
30600,0,0,822.5,822.5,352.5,352.5
31500,0,0,822.5,822.5,352.5,352.5
32400,0,0,822.5,822.5,352.5,352.5
33300,0,0,822.5,822.5,352.5,352.5
34200,0,0,822.5,822.5,352.5,352.5
35100,0,0,822.5,822.5,352.5,352.5
36000,0,0,822.5,822.5,352.5,352.5
36900,0,0,822.5,822.5,352.5,352.5
37800,0,0,822.5,822.5,352.5,352.5
38700,0,0,822.5,822.5,352.5,352.5
39600,0,0,822.5,822.5,352.5,352.5
40500,0,0,822.5,822.5,352.5,352.5
41400,0,0,822.5,822.5,352.5,352.5
42300,0,0,822.5,822.5,352.5,352.5
43200,0,0,822.5,822.5,352.5,352.5
44100,0,0,822.5,822.5,352.5,352.5
45000,0,0,822.5,822.5,352.5,352.5
45900,0,0,822.5,822.5,352.5,352.5
46800,0,0,822.5,822.5,352.5,352.5
47700,0,0,822.5,822.5,352.5,352.5
48600,0,0,822.5,822.5,352.5,352.5
49500,0,0,822.5,822.5,352.5,352.5
50400,0,0,822.5,822.5,352.5,352.5
51300,0,0,822.5,822.5,352.5,352.5
52200,0,0,822.5,822.5,352.5,352.5
53100,0,0,822.5,822.5,352.5,352.5
54000,0,0,822.5,822.5,352.5,352.5
54900,0,0,822.5,822.5,352.5,352.5
55800,0,0,822.5,822.5,352.5,352.5
56700,0,0,822.5,822.5,352.5,352.5
57600,0,0,822.5,822.5,352.5,352.5
58500,0,0,822.5,822.5,352.5,352.5
59400,0,0,822.5,822.5,352.5,352.5
60300,0,0,822.5,822.5,352.5,352.5
61200,0,0,822.5,822.5,352.5,352.5
62100,0,0,822.5,822.5,352.5,352.5
63000,0,0,822.5,822.5,352.5,352.5
63900,0,0,822.5,822.5,352.5,352.5
64800,0,0,822.5,822.5,352.5,352.5
65700,0,0,822.5,822.5,352.5,352.5
66600,0,0,822.5,822.5,352.5,352.5
67500,0,0,822.5,822.5,352.5,352.5
68400,0,0,822.5,822.5,352.5,352.5
69300,0,0,822.5,822.5,352.5,352.5
70200,0,0,822.5,822.5,352.5,352.5
71100,0,0,822.5,822.5,352.5,352.5
72000,0,0,822.5,822.5,352.5,352.5
72900,0,0,822.5,822.5,352.5,352.5
73800,0,0,822.5,822.5,352.5,352.5
74700,0,0,822.5,822.5,352.5,352.5
75600,0,0,822.5,822.5,352.5,352.5
76500,0,0,822.5,822.5,352.5,352.5
77400,0,0,822.5,822.5,352.5,352.5
78300,0,0,822.5,822.5,352.5,352.5
79200,0,0,822.5,822.5,352.5,352.5
80100,0,0,822.5,822.5,352.5,352.5
81000,0,0,822.5,822.5,352.5,352.5
81900,0,0,822.5,822.5,352.5,352.5
82800,0,0,822.5,822.5,352.5,352.5
83700,0,0,822.5,822.5,352.5,352.5
84600,0,0,822.5,822.5,352.5,352.5
85500,0,0,822.5,822.5,352.5,352.5
86400,0,0,822.5,822.5,352.5,352.5
87300,0,0,822.5,822.5,352.5,352.5
88200,0,0,822.5,822.5,352.5,352.5
89100,0,0,822.5,822.5,352.5,352.5
90000,0,0,822.5,822.5,352.5,352.5
90900,0,0,822.5,822.5,352.5,352.5
91800,0,0,822.5,822.5,352.5,352.5
92700,0,0,822.5,822.5,352.5,352.5
93600,0,0,822.5,822.5,352.5,352.5
94500,0,0,822.5,822.5,352.5,352.5
95400,0,0,822.5,822.5,352.5,352.5
96300,0,0,822.5,822.5,352.5,352.5
97200,0,0,822.5,822.5,352.5,352.5
98100,0,0,822.5,822.5,352.5,352.5
99000,0,0,822.5,822.5,352.5,352.5
99900,0,0,822.5,822.5,352.5,352.5
100800,0,0,822.5,822.5,352.5,352.5
101700,0,0,822.5,822.5,352.5,352.5
102600,0,0,822.5,822.5,352.5,352.5
103500,0,0,822.5,822.5,352.5,352.5
104400,0,0,822.5,822.5,352.5,352.5
105300,0,0,822.5,822.5,352.5,352.5
106200,0,0,822.5,822.5,352.5,352.5
107100,0,0,822.5,822.5,352.5,352.5
108000,0,0,822.5,822.5,352.5,352.5
108900,0,0,822.5,822.5,352.5,352.5
109800,0,0,822.5,822.5,352.5,352.5
110700,0,0,822.5,822.5,352.5,352.5
111600,0,0,822.5,822.5,352.5,352.5
112500,0,0,822.5,822.5,352.5,352.5
113400,0,0,822.5,822.5,352.5,352.5
114300,0,0,822.5,822.5,352.5,352.5
115200,0,0,822.5,822.5,352.5,352.5
116100,0,0,822.5,822.5,352.5,352.5
117000,0,0,822.5,822.5,352.5,352.5
117900,0,0,822.5,822.5,352.5,352.5
118800,0,0,822.5,822.5,352.5,352.5
119700,0,0,822.5,822.5,352.5,352.5
