time,Occupancy[nZ],Occupancy[sZ]
0,0,0
900,0,0
1800,0,0
2700,0,0
3600,0,0
4500,0,0
5400,0,0
6300,0,0
7200,0,0
8100,0,0
9000,0,0
9900,0,0
10800,0,0
11700,0,0
12600,0,0
13500,0,0
14400,0,0
15300,0,0
16200,0,0
17100,0,0
18000,0,0
18900,0,0
19800,0,0
20700,0,0
21600,0,0
22500,0,0
23400,0,0
24300,0,0
25200,0,0
26100,0,0
27000,0,0
27900,0,0
28800,0,0
29700,0,0
30600,0,0
31500,0,0
32400,0,0
33300,0,0
34200,0,0
35100,0,0
36000,0,0
36900,0,0
37800,0,0
38700,0,0
39600,0,0
40500,0,0
41400,0,0
42300,0,0
43200,0,0
44100,0,0
45000,0,0
45900,0,0
46800,0,0
47700,0,0
48600,0,0
49500,0,0
50400,0,0
51300,0,0
52200,0,0
53100,0,0
54000,0,0
54900,0,0
55800,0,0
56700,0,0
57600,0,0
58500,0,0
59400,0,0
60300,0,0
61200,0,0
62100,0,0
63000,0,0
63900,0,0
64800,0,0
65700,0,0
66600,0,0
67500,0,0
68400,0,0
69300,0,0
70200,0,0
71100,0,0
72000,0,0
72900,0,0
73800,0,0
74700,0,0
75600,0,0
76500,0,0
77400,0,0
78300,0,0
79200,0,0
80100,0,0
81000,0,0
81900,0,0
82800,0,0
83700,0,0
84600,0,0
85500,0,0
86400,0,0
87300,0,0
88200,0,0
89100,0,0
90000,0,0
90900,0,0
91800,0,0
92700,0,0
93600,0,0
94500,0,0
95400,0,0
96300,0,0
97200,0,0
98100,0,0
99000,0,0
99900,0,0
100800,0,0
101700,0,0
102600,0,0
103500,0,0
104400,0,0
105300,0,0
106200,0,0
107100,0,0
108000,0,0
108900,0,0
109800,0,0
110700,0,0
111600,0,0
112500,0,0
113400,0,0
114300,0,0
115200,0,0
116100,0,0
117000,0,0
117900,0,0
118800,0,0
119700,0,0
120600,0,0
121500,0,0
122400,0,0
123300,0,0
124200,0,0
125100,0,0
126000,0,0
126900,0,0
127800,0,0
128700,0,0
129600,0,0
130500,0,0
131400,0,0
132300,0,0
133200,0,0
134100,0,0
135000,0,0
135900,0,0
136800,0,0
137700,0,0
138600,0,0
139500,0,0
140400,0,0
141300,0,0
142200,0,0
143100,0,0
144000,0,0
144900,0,0
145800,0,0
146700,0,0
147600,0,0
148500,0,0
149400,0,0
150300,0,0
151200,0,0
152100,0,0
153000,0,0
153900,0,0
154800,0,0
155700,0,0
156600,0,0
157500,0,0
158400,0,0
159300,0,0
160200,0,0
161100,0,0
162000,0,0
162900,0,0
163800,0,0
164700,0,0
165600,0,0
166500,0,0
167400,0,0
168300,0,0
169200,0,0
170100,0,0
171000,0,0
171900,0,0
172800,0,0
173700,0,0
174600,0,0
175500,0,0
176400,0,0
177300,0,0
178200,0,0
179100,0,0
180000,0,0
180900,0,0
181800,0,0
182700,0,0
183600,0,0
184500,0,0
185400,0,0
186300,0,0
187200,0,0
188100,0,0
189000,0,0
189900,0,0
190800,0,0
191700,0,0
192600,0,0
193500,0,0
194400,0,0
195300,0,0
196200,0,0
197100,0,0
198000,0,0
198900,0,0
199800,0,0
200700,0,0
201600,0,0
202500,0,0
203400,0,0
204300,0,0
205200,0,0
206100,0,0
207000,0,0
207900,0,0
208800,0,0
209700,0,0
210600,0,0
211500,0,0
212400,0,0
213300,0,0
214200,0,0
215100,0,0
216000,0,0
216900,0,0
217800,0,0
218700,0,0
219600,0,0
220500,0,0
221400,0,0
222300,0,0
223200,0,0
224100,0,0
225000,0,0
225900,0,0
226800,0,0
227700,0,0
228600,0,0
229500,0,0
230400,0,0
231300,0,0
232200,0,0
233100,0,0
234000,0,0
234900,0,0
235800,0,0
236700,0,0
237600,0,0
238500,0,0
239400,0,0
240300,0,0
241200,0,0
242100,0,0
243000,0,0
243900,0,0
244800,0,0
245700,0,0
246600,0,0
247500,0,0
248400,0,0
249300,0,0
250200,0,0
251100,0,0
252000,0,0
252900,0,0
253800,0,0
254700,0,0
255600,0,0
256500,0,0
257400,0,0
258300,0,0
259200,0,0
260100,0,0
261000,0,0
261900,0,0
262800,0,0
263700,0,0
264600,0,0
265500,0,0
266400,0,0
267300,0,0
268200,0,0
269100,0,0
270000,0,0
270900,0,0
271800,0,0
272700,0,0
273600,0,0
274500,0,0
275400,0,0
276300,0,0
277200,0,0
278100,0,0
279000,0,0
279900,0,0
280800,0,0
281700,0,0
282600,0,0
283500,0,0
284400,0,0
285300,100,100
286200,100,100
287100,100,100
288000,100,100
288900,150,150
289800,150,150
290700,150,150
291600,150,150
292500,158.333333333333,158.333333333333
293400,158.333333333333,158.333333333333
294300,158.333333333333,158.333333333333
295200,158.333333333333,158.333333333333
296100,166.666666666667,166.666666666667
297000,166.666666666667,166.666666666667
297900,166.666666666667,166.666666666667
298800,166.666666666667,166.666666666667
299700,166.666666666667,166.666666666667
300600,166.666666666667,166.666666666667
301500,166.666666666667,166.666666666667
302400,166.666666666667,166.666666666667
303300,150,150
304200,150,150
305100,150,150
306000,150,150
306900,150,150
307800,150,150
308700,150,150
309600,150,150
310500,166.666666666667,166.666666666667
311400,166.666666666667,166.666666666667
312300,166.666666666667,166.666666666667
313200,166.666666666667,166.666666666667
314100,150,150
315000,150,150
315900,150,150
316800,150,150
317700,100,100
318600,100,100
319500,100,100
320400,100,100
321300,66.6666666666667,66.6666666666667
322200,66.6666666666667,66.6666666666667
323100,66.6666666666667,66.6666666666667
324000,66.6666666666667,66.6666666666667
324900,50,50
325800,50,50
326700,50,50
327600,50,50
328500,0,0
329400,0,0
330300,0,0
331200,0,0
332100,0,0
333000,0,0
333900,0,0
334800,0,0
335700,0,0
336600,0,0
337500,0,0
338400,0,0
339300,0,0
340200,0,0
341100,0,0
342000,0,0
342900,0,0
343800,0,0
344700,0,0
345600,0,0
346500,0,0
347400,0,0
348300,0,0
349200,0,0
350100,0,0
351000,0,0
351900,0,0
352800,0,0
353700,0,0
354600,0,0
355500,0,0
356400,0,0
357300,0,0
358200,0,0
359100,0,0
360000,0,0
360900,0,0
361800,0,0
362700,0,0
363600,0,0
364500,0,0
365400,0,0
366300,0,0
367200,0,0
368100,0,0
369000,0,0
369900,0,0
370800,0,0
371700,100,100
372600,100,100
373500,100,100
374400,100,100
375300,150,150
376200,150,150
377100,150,150
378000,150,150
378900,158.333333333333,158.333333333333
379800,158.333333333333,158.333333333333
380700,158.333333333333,158.333333333333
381600,158.333333333333,158.333333333333
382500,166.666666666667,166.666666666667
383400,166.666666666667,166.666666666667
384300,166.666666666667,166.666666666667
385200,166.666666666667,166.666666666667
386100,166.666666666667,166.666666666667
387000,166.666666666667,166.666666666667
387900,166.666666666667,166.666666666667
388800,166.666666666667,166.666666666667
389700,150,150
390600,150,150
391500,150,150
392400,150,150
393300,150,150
394200,150,150
395100,150,150
396000,150,150
396900,166.666666666667,166.666666666667
397800,166.666666666667,166.666666666667
398700,166.666666666667,166.666666666667
399600,166.666666666667,166.666666666667
400500,150,150
401400,150,150
402300,150,150
403200,150,150
404100,100,100
405000,100,100
405900,100,100
406800,100,100
407700,66.6666666666667,66.6666666666667
408600,66.6666666666667,66.6666666666667
409500,66.6666666666667,66.6666666666667
410400,66.6666666666667,66.6666666666667
411300,50,50
412200,50,50
413100,50,50
414000,50,50
414900,0,0
415800,0,0
416700,0,0
417600,0,0
418500,0,0
419400,0,0
420300,0,0
421200,0,0
422100,0,0
423000,0,0
423900,0,0
424800,0,0
425700,0,0
426600,0,0
427500,0,0
428400,0,0
429300,0,0
430200,0,0
431100,0,0
432000,0,0
432900,0,0
433800,0,0
434700,0,0
435600,0,0
436500,0,0
437400,0,0
438300,0,0
439200,0,0
440100,0,0
441000,0,0
441900,0,0
442800,0,0
443700,0,0
444600,0,0
445500,0,0
446400,0,0
447300,0,0
448200,0,0
449100,0,0
450000,0,0
450900,0,0
451800,0,0
452700,0,0
453600,0,0
454500,0,0
455400,0,0
456300,0,0
457200,0,0
458100,100,100
459000,100,100
459900,100,100
460800,100,100
461700,150,150
462600,150,150
463500,150,150
464400,150,150
465300,158.333333333333,158.333333333333
466200,158.333333333333,158.333333333333
467100,158.333333333333,158.333333333333
468000,158.333333333333,158.333333333333
468900,166.666666666667,166.666666666667
469800,166.666666666667,166.666666666667
470700,166.666666666667,166.666666666667
471600,166.666666666667,166.666666666667
472500,166.666666666667,166.666666666667
473400,166.666666666667,166.666666666667
474300,166.666666666667,166.666666666667
475200,166.666666666667,166.666666666667
476100,150,150
477000,150,150
477900,150,150
478800,150,150
479700,150,150
480600,150,150
481500,150,150
482400,150,150
483300,166.666666666667,166.666666666667
484200,166.666666666667,166.666666666667
485100,166.666666666667,166.666666666667
486000,166.666666666667,166.666666666667
486900,150,150
487800,150,150
488700,150,150
489600,150,150
490500,100,100
491400,100,100
492300,100,100
493200,100,100
494100,66.6666666666667,66.6666666666667
495000,66.6666666666667,66.6666666666667
495900,66.6666666666667,66.6666666666667
496800,66.6666666666667,66.6666666666667
497700,50,50
498600,50,50
499500,50,50
500400,50,50
501300,0,0
502200,0,0
503100,0,0
504000,0,0
504900,0,0
505800,0,0
506700,0,0
507600,0,0
508500,0,0
509400,0,0
510300,0,0
511200,0,0
512100,0,0
513000,0,0
513900,0,0
514800,0,0
515700,0,0
516600,0,0
517500,0,0
518400,0,0
519300,0,0
520200,0,0
521100,0,0
522000,0,0
522900,0,0
523800,0,0
524700,0,0
525600,0,0
526500,0,0
