time,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic,PriceGasPower
0,0.1466,0.1378,0.1558,0.0464
900,0.1466,0.1378,0.1558,0.0464
1800,0.1466,0.1378,0.1558,0.0464
2700,0.1466,0.1378,0.1558,0.0464
3600,0.1466,0.1378,0.1542,0.0464
4500,0.1466,0.1378,0.1542,0.0464
5400,0.1466,0.1378,0.1542,0.0464
6300,0.1466,0.1378,0.1542,0.0464
7200,0.1466,0.1378,0.1533,0.0464
8100,0.1466,0.1378,0.1533,0.0464
9000,0.1466,0.1378,0.1533,0.0464
9900,0.1466,0.1378,0.1533,0.0464
10800,0.1466,0.1378,0.1458,0.0464
11700,0.1466,0.1378,0.1458,0.0464
12600,0.1466,0.1378,0.1458,0.0464
13500,0.1466,0.1378,0.1458,0.0464
14400,0.1466,0.1378,0.1432,0.0464
15300,0.1466,0.1378,0.1432,0.0464
16200,0.1466,0.1378,0.1432,0.0464
17100,0.1466,0.1378,0.1432,0.0464
18000,0.1466,0.1378,0.1451,0.0464
18900,0.1466,0.1378,0.1451,0.0464
19800,0.1466,0.1378,0.1451,0.0464
20700,0.1466,0.1378,0.1451,0.0464
21600,0.1466,0.1378,0.1462,0.0464
22500,0.1466,0.1378,0.1462,0.0464
23400,0.1466,0.1378,0.1462,0.0464
24300,0.1466,0.1378,0.1462,0.0464
25200,0.1466,0.1542,0.1514,0.0464
26100,0.1466,0.1542,0.1514,0.0464
27000,0.1466,0.1542,0.1514,0.0464
27900,0.1466,0.1542,0.1514,0.0464
28800,0.1466,0.1542,0.1446,0.0464
29700,0.1466,0.1542,0.1446,0.0464
30600,0.1466,0.1542,0.1446,0.0464
31500,0.1466,0.1542,0.1446,0.0464
32400,0.1466,0.1542,0.1447,0.0464
33300,0.1466,0.1542,0.1447,0.0464
34200,0.1466,0.1542,0.1447,0.0464
35100,0.1466,0.1542,0.1447,0.0464
36000,0.1466,0.1542,0.1540,0.0464
36900,0.1466,0.1542,0.1540,0.0464
37800,0.1466,0.1542,0.1540,0.0464
38700,0.1466,0.1542,0.1540,0.0464
39600,0.1466,0.1542,0.1591,0.0464
40500,0.1466,0.1542,0.1591,0.0464
41400,0.1466,0.1542,0.1591,0.0464
42300,0.1466,0.1542,0.1591,0.0464
43200,0.1466,0.1542,0.1681,0.0464
44100,0.1466,0.1542,0.1681,0.0464
45000,0.1466,0.1542,0.1681,0.0464
45900,0.1466,0.1542,0.1681,0.0464
46800,0.1466,0.1542,0.1594,0.0464
47700,0.1466,0.1542,0.1594,0.0464
48600,0.1466,0.1542,0.1594,0.0464
49500,0.1466,0.1542,0.1594,0.0464
50400,0.1466,0.1542,0.1552,0.0464
51300,0.1466,0.1542,0.1552,0.0464
52200,0.1466,0.1542,0.1552,0.0464
53100,0.1466,0.1542,0.1552,0.0464
54000,0.1466,0.1542,0.1514,0.0464
54900,0.1466,0.1542,0.1514,0.0464
55800,0.1466,0.1542,0.1514,0.0464
56700,0.1466,0.1542,0.1514,0.0464
57600,0.1466,0.1542,0.1574,0.0464
58500,0.1466,0.1542,0.1574,0.0464
59400,0.1466,0.1542,0.1574,0.0464
60300,0.1466,0.1542,0.1574,0.0464
61200,0.1466,0.1542,0.1519,0.0464
62100,0.1466,0.1542,0.1519,0.0464
63000,0.1466,0.1542,0.1519,0.0464
63900,0.1466,0.1542,0.1519,0.0464
64800,0.1466,0.1542,0.1486,0.0464
65700,0.1466,0.1542,0.1486,0.0464
66600,0.1466,0.1542,0.1486,0.0464
67500,0.1466,0.1542,0.1486,0.0464
68400,0.1466,0.1542,0.1491,0.0464
69300,0.1466,0.1542,0.1491,0.0464
70200,0.1466,0.1542,0.1491,0.0464
71100,0.1466,0.1542,0.1491,0.0464
72000,0.1466,0.1542,0.1453,0.0464
72900,0.1466,0.1542,0.1453,0.0464
73800,0.1466,0.1542,0.1453,0.0464
74700,0.1466,0.1542,0.1453,0.0464
75600,0.1466,0.1542,0.1457,0.0464
76500,0.1466,0.1542,0.1457,0.0464
