time,LowerSetp[nZ],UpperSetp[nZ],LowerSetp[sZ],UpperSetp[sZ],UpperCO2[nZ],UpperCO2[sZ]
0,289.15,303.15,289.15,303.15,900,900
900,289.15,303.15,289.15,303.15,900,900
1800,289.15,303.15,289.15,303.15,900,900
2700,289.15,303.15,289.15,303.15,900,900
3600,289.15,303.15,289.15,303.15,900,900
4500,289.15,303.15,289.15,303.15,900,900
5400,289.15,303.15,289.15,303.15,900,900
6300,289.15,303.15,289.15,303.15,900,900
7200,289.15,303.15,289.15,303.15,900,900
8100,289.15,303.15,289.15,303.15,900,900
9000,289.15,303.15,289.15,303.15,900,900
9900,289.15,303.15,289.15,303.15,900,900
10800,289.15,303.15,289.15,303.15,900,900
11700,289.15,303.15,289.15,303.15,900,900
12600,289.15,303.15,289.15,303.15,900,900
13500,289.15,303.15,289.15,303.15,900,900
14400,289.15,303.15,289.15,303.15,900,900
15300,289.15,303.15,289.15,303.15,900,900
16200,289.15,303.15,289.15,303.15,900,900
17100,289.15,303.15,289.15,303.15,900,900
18000,289.15,303.15,289.15,303.15,900,900
18900,289.15,303.15,289.15,303.15,900,900
19800,289.15,303.15,289.15,303.15,900,900
20700,289.15,303.15,289.15,303.15,900,900
21600,289.15,303.15,289.15,303.15,900,900
22500,289.15,303.15,289.15,303.15,900,900
23400,289.15,303.15,289.15,303.15,900,900
24300,289.15,303.15,289.15,303.15,900,900
25200,289.15,303.15,289.15,303.15,900,900
26100,289.15,303.15,289.15,303.15,900,900
27000,289.15,303.15,289.15,303.15,900,900
27900,289.15,303.15,289.15,303.15,900,900
28800,289.15,303.15,289.15,303.15,900,900
29700,289.15,303.15,289.15,303.15,900,900
30600,289.15,303.15,289.15,303.15,900,900
31500,289.15,303.15,289.15,303.15,900,900
32400,289.15,303.15,289.15,303.15,900,900
33300,289.15,303.15,289.15,303.15,900,900
34200,289.15,303.15,289.15,303.15,900,900
35100,289.15,303.15,289.15,303.15,900,900
36000,289.15,303.15,289.15,303.15,900,900
36900,289.15,303.15,289.15,303.15,900,900
37800,289.15,303.15,289.15,303.15,900,900
38700,289.15,303.15,289.15,303.15,900,900
39600,289.15,303.15,289.15,303.15,900,900
40500,289.15,303.15,289.15,303.15,900,900
41400,289.15,303.15,289.15,303.15,900,900
42300,289.15,303.15,289.15,303.15,900,900
43200,289.15,303.15,289.15,303.15,900,900
44100,289.15,303.15,289.15,303.15,900,900
45000,289.15,303.15,289.15,303.15,900,900
45900,289.15,303.15,289.15,303.15,900,900
46800,289.15,303.15,289.15,303.15,900,900
