Time,heat,cold
0,0,0
900,0,0
1800,0,0
2700,0,0
3600,0,0
4500,0,0
5400,0,0
6300,0,0
7200,0,0
8100,0,0
9000,0,0
9900,0,0
10800,0,0
11700,0,0
12600,0,0
13500,0,0
14400,0,0
15300,0,0
16200,0,0
17100,0,0
18000,0,0
18900,0,0
19800,0,0
20700,0,0
21600,0,0
22500,0,0
23400,0,0
24300,0,0
25200,0,0
26100,0,0
27000,0,0
27900,0,0
28800,0,0
29700,0,0
30600,0,0
31500,0,0
32400,0,0
33300,0,0
34200,0,0
35100,0,0
36000,0,0
36900,0,0
37800,0,0
38700,0,0
39600,0,0
40500,0,0
41400,0,0
42300,0,0
43200,0,0
44100,0,0
45000,0,0
45900,0,0
46800,0,0
47700,0,0
48600,0,0
49500,0,0
50400,0,0
51300,0,0
52200,0,0
53100,0,0
54000,0,0
54900,0,0
55800,0,0
56700,0,0
57600,0,0
58500,0,0
59400,0,0
60300,0,0
61200,0,0
62100,0,0
63000,0,0
63900,0,0
64800,0,0
65700,0,0
66600,0,0
67500,0,0
68400,0,0
69300,0,0
70200,0,0
71100,0,0
72000,0,0
72900,0,0
73800,0,0
74700,0,0
75600,0,0
76500,0,0
77400,0,0
78300,0,0
79200,0,0
80100,0,0
81000,0,0
81900,0,0
82800,0,0
83700,0,0
84600,0,0
85500,0,0
86400,0,0
87300,0,0
88200,0,0
89100,0,0
90000,0,0
90900,0,0
91800,0,0
92700,0,0
93600,0,0
94500,0,0
95400,0,0
96300,0,0
97200,0,0
98100,0,0
99000,0,0
99900,0,0
100800,0,0
101700,0,0
102600,0,0
103500,0,0
104400,0,0
105300,0,0
106200,0,0
107100,0,0
108000,0,0
108900,0,0
109800,0,0
110700,0,0
111600,0,0
112500,0,0
113400,0,0
114300,0,0
115200,0,0
116100,0,0
117000,0,0
117900,0,0
118800,0,0
119700,0,0
120600,0,0
121500,0,0
122400,0,0
123300,0,0
124200,0,0
125100,0,0
126000,0,0
126900,0,0
127800,0,0
128700,0,0
129600,0,0
130500,0,0
131400,0,0
132300,0,0
133200,0,0
134100,0,0
135000,0,0
135900,0,0
136800,0,0
137700,0,0
138600,0,0
139500,0,0
140400,0,0
141300,0,0
142200,0,0
143100,0,0
144000,0,0
144900,0,0
145800,0,0
146700,0,0
147600,0,0
148500,0,0
149400,0,0
150300,0,0
151200,0,0
152100,0,0
153000,0,0
153900,0,0
154800,0,0
155700,0,0
156600,0,0
157500,0,0
158400,0,0
159300,0,0
160200,0,0
161100,0,0
162000,0,0
162900,0,0
163800,0,0
164700,0,0
165600,0,0
166500,0,0
167400,0,0
168300,0,0
169200,0,0
170100,0,0
171000,0,0
171900,0,0
172800,0,0
173700,0,0
174600,0,0
175500,0,0
176400,0,0
177300,0,0
178200,0,0
179100,0,0
180000,0,0
180900,0,0
181800,0,0
182700,0,0
183600,0,0
184500,0,0
185400,0,0
186300,0,0
187200,0,0
188100,0,0
189000,0,0
189900,0,0
190800,0,0
191700,0,0
192600,0,0
193500,0,0
194400,0,0
195300,0,0
196200,0,0
197100,0,0
198000,0,0
198900,0,0
199800,0,0
200700,0,0
201600,0,0
202500,0,0
203400,0,0
204300,0,0
205200,0,0
206100,0,0
207000,0,0
207900,0,0
208800,0,0
209700,0,0
210600,0,0
211500,0,0
212400,0,0
213300,0,0
214200,0,0
215100,0,0
216000,0,0
216900,0,0
217800,0,0
218700,0,0
219600,0,0
220500,0,0
221400,0,0
222300,0,0
223200,0,0
224100,0,0
225000,0,0
225900,0,0
226800,0,0
227700,0,0
228600,0,0
229500,0,0
230400,0,0
231300,0,0
232200,0,0
233100,0,0
234000,0,0
234900,0,0
235800,0,0
236700,0,0
237600,0,0
238500,0,0
239400,0,0
240300,0,0
241200,0,0
242100,0,0
243000,0,0
243900,0,0
244800,0,0
245700,0,0
246600,0,0
247500,0,0
248400,0,0
249300,0,0
250200,0,0
251100,0,0
252000,0,0
252900,0,0
253800,0,0
254700,0,0
255600,0,0
256500,0,0
257400,0,0
258300,0,0
259200,0,0
260100,0,0
261000,0,0
261900,0,0
262800,0,0
263700,0,0
264600,0,0
265500,0,0
266400,0,0
267300,0,0
268200,0,0
269100,0,0
270000,0,0
270900,0,0
271800,0,0
272700,0,0
273600,318219.97,302859.94
274500,318219.97,302859.94
275400,148646.64,39878.504
276300,120273.24,3172.5376
277200,116543.01,236.67674
278100,115295.15,34.10899
279000,114473.53,22.670378
279900,112834.85,21.954227
280800,103994.836,21.886513
281700,104003.18,21.856968
282600,102670.58,21.829596
283500,95916.93,21.802378
284400,96174.18,21.775202
285300,103449.79,3730.4968
286200,91543.945,203.66443
287100,94203.68,30.727707
288000,90235.484,22.1884
288900,74011.59,21.742788
289800,70460.375,21.695213
290700,71827.11,21.667313
291600,67753.54,21.640356
292500,63555.61,21.613483
293400,60263.066,21.586636
294300,57738.387,21.559834
295200,54526.965,21.533066
296100,49043.066,21.506338
297000,45950.582,21.47963
297900,43318.934,21.452957
298800,40988.51,21.426258
299700,39639.113,21.399595
300600,38469.3,21.372965
301500,37512.832,21.346367
302400,36610.156,21.3198
303300,39292.85,21.29324
304200,39700.06,21.266714
305100,39835.934,21.24022
306000,39939.625,21.21377
306900,39629.133,21.187355
307800,39578.133,21.160973
308700,39309.19,21.134628
309600,39016.16,21.108322
310500,35895.195,21.08207
311400,35857.605,21.055832
312300,35934.258,21.029625
313200,36145.68,21.003439
314100,39564.145,20.97727
315000,39793.24,20.951155
315900,40144.406,20.925072
316800,40651.605,20.899029
317700,49321.28,20.87297
318600,54259.156,20.847052
319500,57121.18,20.821213
320400,56495.773,20.795376
321300,67467.836,20.769567
322200,67282.73,20.743843
323100,65437.844,20.718088
324000,67198.266,20.692383
324900,72201.85,20.666685
325800,73237.81,20.641045
326700,72347.96,20.615416
327600,0,0
328500,0,0
329400,0,0
330300,0,0
331200,0,0
332100,0,0
333000,0,0
333900,0,0
334800,0,0
335700,0,0
336600,0,0
337500,0,0
338400,0,0
339300,0,0
340200,0,0
341100,0,0
342000,0,0
342900,0,0
343800,0,0
344700,0,0
345600,0,0
346500,0,0
347400,0,0
348300,0,0
349200,0,0
350100,0,0
351000,0,0
351900,0,0
352800,0,0
353700,0,0
354600,0,0
355500,0,0
356400,0,0
357300,0,0
358200,0,0
359100,0,0
360000,0,0
360900,0,0
361800,0,0
362700,0,0
363600,0,0
364500,0,0
365400,0,0
366300,0,0
367200,36255.785,20.58984
368100,100004.88,20.486925
369000,107753.5,20.457584
369900,106901.414,20.4319
370800,105823.68,20.406431
371700,106920.15,20.45635
372600,66560.45,20.43596
373500,79744.77,20.41132
374400,74370.59,20.386211
375300,55898.79,20.360952
376200,53610.58,20.33567
377100,54310.52,20.310482
378000,49855.574,20.285278
378900,44973.38,20.26011
379800,41342.23,20.234966
380700,39443.18,20.209867
381600,37470.957,20.184797
382500,33539.137,20.159721
383400,32540.969,20.134638
384300,32040.713,20.109594
385200,31185.408,20.084576
386100,30569.098,20.05959
387000,29885.219,20.034632
387900,29299.473,20.009705
388800,28717.102,19.984808
389700,30975.49,19.959927
390600,30637.355,19.935097
391500,30225.676,19.910292
392400,30191.059,19.885525
393300,29915.395,19.860783
394200,29905.984,19.83607
395100,29682.848,19.811386
396000,29473.135,19.786737
396900,26127.945,19.76212
397800,26694.338,19.737509
398700,26272.906,19.712946
399600,26336.668,19.688414
400500,29067.96,19.663898
401400,29239.055,19.639435
402300,29154.775,19.614998
403200,29478.46,19.5906
404100,38151.2,19.566181
405000,39485.246,19.541847
405900,44148.586,19.517622
406800,44178.79,19.493446
407700,54236.703,19.469267
408600,55855.38,19.445168
409500,53805.68,19.421034
410400,55836.258,19.396957
411300,60703.605,19.372898
412200,61918.16,19.34889
413100,61153.27,19.324888
414000,0,0
414900,0,0
415800,0,0
416700,0,0
417600,0,0
418500,0,0
419400,0,0
420300,0,0
421200,0,0
422100,0,0
423000,0,0
423900,0,0
424800,0,0
425700,0,0
426600,0,0
427500,0,0
428400,0,0
429300,0,0
430200,0,0
431100,0,0
432000,0,0
432900,0,0
433800,0,0
434700,0,0
435600,0,0
436500,0,0
437400,0,0
438300,0,0
439200,0,0
440100,0,0
441000,0,0
441900,0,0
442800,0,0
443700,0,0
444600,0,0
445500,0,0
446400,0,0
447300,0,0
448200,0,0
449100,0,0
450000,0,0
450900,0,0
451800,0,0
452700,0,0
453600,82673.73,19.300934
454500,116192.51,19.199657
455400,114260.98,19.171938
456300,112542.58,19.147871
457200,111437.57,19.12402
458100,96965.84,19.17514
459000,73984.58,19.156578
459900,84737.805,19.133694
460800,77333.66,19.110195
461700,60713.766,19.086578
462600,57669.734,19.06291
463500,58142.496,19.039326
464400,53654.098,19.01572
465300,48531.92,18.992144
466200,44712.715,18.968586
467100,42228.625,18.945076
468000,39502.29,18.9216
468900,34779.47,18.898117
469800,33469.504,18.874628
470700,32331.86,18.851175
471600,31106.893,18.827745
472500,30034.74,18.804344
473400,28976.465,18.78097
474300,28160.043,18.75762
475200,27507.16,18.734295
476100,29711.658,18.710981
477000,29229.562,18.687717
477900,28818.38,18.664473
478800,28996.752,18.641258
479700,28903.918,18.618065
480600,28946.771,18.594898
481500,28748.08,18.571764
482400,28517.234,18.548664
483300,26740.92,18.525574
484200,26611.582,18.502472
485100,26584.08,18.47939
486000,26465.922,18.456339
486900,26101.312,18.433294
487800,27014.01,18.410332
488700,27428.525,18.387455
489600,28095.44,18.36459
