date,start_hour,end_hour,price_euros_mwh,volume_mwh
2019-01-01,00:00,01:00,51.00,
2019-01-01,01:00,02:00,46.27,
2019-01-01,02:00,03:00,39.78,
2019-01-01,03:00,04:00,27.87,
2019-01-01,04:00,05:00,23.21,
2019-01-01,05:00,06:00,22.64,
2019-01-01,06:00,07:00,20.90,
2019-01-01,07:00,08:00,26.54,
2019-01-01,08:00,09:00,25.00,
2019-01-01,09:00,10:00,25.00,
2019-01-01,10:00,11:00,34.64,
2019-01-01,11:00,12:00,41.03,
2019-01-01,12:00,13:00,48.97,
2019-01-01,13:00,14:00,41.06,
2019-01-01,14:00,15:00,37.95,
2019-01-01,15:00,16:00,33.42,
2019-01-01,16:00,17:00,39.80,
2019-01-01,17:00,18:00,44.29,
2019-01-01,18:00,19:00,62.65,
2019-01-01,19:00,20:00,65.56,
2019-01-01,20:00,21:00,61.27,
2019-01-01,21:00,22:00,57.41,
2019-01-01,22:00,23:00,58.65,
2019-01-01,23:00,00:00,54.91,
2019-01-02,00:00,01:00,53.11,
2019-01-02,01:00,02:00,45.87,
2019-01-02,02:00,03:00,39.15,
2019-01-02,03:00,04:00,25.84,
2019-01-02,04:00,05:00,28.36,
2019-01-02,05:00,06:00,30.72,
2019-01-02,06:00,07:00,51.10,
2019-01-02,07:00,08:00,58.37,
2019-01-02,08:00,09:00,56.82,
2019-01-02,09:00,10:00,57.44,
2019-01-02,10:00,11:00,61.09,
2019-01-02,11:00,12:00,63.63,
2019-01-02,12:00,13:00,62.80,
2019-01-02,13:00,14:00,58.65,
2019-01-02,14:00,15:00,55.64,
2019-01-02,15:00,16:00,56.72,
2019-01-02,16:00,17:00,62.19,
2019-01-02,17:00,18:00,67.10,
2019-01-02,18:00,19:00,69.30,
2019-01-02,19:00,20:00,69.25,
2019-01-02,20:00,21:00,63.43,
2019-01-02,21:00,22:00,55.64,
2019-01-02,22:00,23:00,55.97,
2019-01-02,23:00,00:00,54.31,
2019-01-03,00:00,01:00,47.03,
2019-01-03,01:00,02:00,45.93,
2019-01-03,02:00,03:00,45.91,
2019-01-03,03:00,04:00,44.00,
2019-01-03,04:00,05:00,43.88,
2019-01-03,05:00,06:00,45.92,
2019-01-03,06:00,07:00,54.69,
2019-01-03,07:00,08:00,66.58,
2019-01-03,08:00,09:00,68.03,
2019-01-03,09:00,10:00,69.12,
2019-01-03,10:00,11:00,69.19,
2019-01-03,11:00,12:00,68.01,
2019-01-03,12:00,13:00,67.20,
2019-01-03,13:00,14:00,66.70,
2019-01-03,14:00,15:00,67.00,
2019-01-03,15:00,16:00,68.01,
2019-01-03,16:00,17:00,68.99,
2019-01-03,17:00,18:00,71.15,
2019-01-03,18:00,19:00,73.43,
2019-01-03,19:00,20:00,70.55,
2019-01-03,20:00,21:00,68.38,
2019-01-03,21:00,22:00,61.72,
2019-01-03,22:00,23:00,59.84,
2019-01-03,23:00,00:00,58.65,
2019-01-04,00:00,01:00,55.52,
2019-01-04,01:00,02:00,52.91,
2019-01-04,02:00,03:00,49.61,
2019-01-04,03:00,04:00,47.41,
2019-01-04,04:00,05:00,47.00,
2019-01-04,05:00,06:00,47.78,
2019-01-04,06:00,07:00,59.54,
2019-01-04,07:00,08:00,68.40,
2019-01-04,08:00,09:00,69.71,
2019-01-04,09:00,10:00,71.86,
2019-01-04,10:00,11:00,71.58,
2019-01-04,11:00,12:00,70.16,
2019-01-04,12:00,13:00,70.16,
2019-01-04,13:00,14:00,69.17,
2019-01-04,14:00,15:00,69.15,
2019-01-04,15:00,16:00,68.40,
2019-01-04,16:00,17:00,68.40,
2019-01-04,17:00,18:00,73.18,
2019-01-04,18:00,19:00,77.23,
2019-01-04,19:00,20:00,75.97,
2019-01-04,20:00,21:00,70.20,
2019-01-04,21:00,22:00,68.71,
2019-01-04,22:00,23:00,68.68,
2019-01-04,23:00,00:00,67.51,
2019-01-05,00:00,01:00,71.68,
2019-01-05,01:00,02:00,63.74,
2019-01-05,02:00,03:00,60.00,
2019-01-05,03:00,04:00,55.84,
2019-01-05,04:00,05:00,53.48,
2019-01-05,05:00,06:00,53.34,
2019-01-05,06:00,07:00,52.57,
2019-01-05,07:00,08:00,55.67,
2019-01-05,08:00,09:00,60.79,
2019-01-05,09:00,10:00,66.92,
2019-01-05,10:00,11:00,69.12,
2019-01-05,11:00,12:00,68.25,
2019-01-05,12:00,13:00,67.67,
2019-01-05,13:00,14:00,64.00,
2019-01-05,14:00,15:00,61.57,
2019-01-05,15:00,16:00,59.40,
2019-01-05,16:00,17:00,58.31,
2019-01-05,17:00,18:00,67.20,
2019-01-05,18:00,19:00,69.00,
2019-01-05,19:00,20:00,68.71,
2019-01-05,20:00,21:00,68.07,
2019-01-05,21:00,22:00,60.05,
2019-01-05,22:00,23:00,65.76,
2019-01-05,23:00,00:00,62.80,
2019-01-06,00:00,01:00,60.90,
2019-01-06,01:00,02:00,53.78,
2019-01-06,02:00,03:00,51.43,
2019-01-06,03:00,04:00,48.02,
2019-01-06,04:00,05:00,48.37,
2019-01-06,05:00,06:00,47.17,
2019-01-06,06:00,07:00,48.19,
2019-01-06,07:00,08:00,49.11,
2019-01-06,08:00,09:00,51.06,
2019-01-06,09:00,10:00,53.40,
2019-01-06,10:00,11:00,56.55,
2019-01-06,11:00,12:00,60.02,
2019-01-06,12:00,13:00,60.22,
2019-01-06,13:00,14:00,55.00,
2019-01-06,14:00,15:00,52.39,
2019-01-06,15:00,16:00,51.57,
2019-01-06,16:00,17:00,54.71,
2019-01-06,17:00,18:00,63.43,
2019-01-06,18:00,19:00,67.37,
2019-01-06,19:00,20:00,67.20,
2019-01-06,20:00,21:00,66.03,
2019-01-06,21:00,22:00,55.36,
2019-01-06,22:00,23:00,58.59,
2019-01-06,23:00,00:00,54.86,
2019-01-07,00:00,01:00,58.15,
2019-01-07,01:00,02:00,51.86,
2019-01-07,02:00,03:00,47.84,
2019-01-07,03:00,04:00,46.11,
2019-01-07,04:00,05:00,46.08,
2019-01-07,05:00,06:00,47.62,
2019-01-07,06:00,07:00,55.77,
2019-01-07,07:00,08:00,68.61,
2019-01-07,08:00,09:00,74.15,
