time,EmissionsElectricPower,EmissionsGasPower
0.0,0.047,0.18108
300.0,0.047,0.18108
600.0,0.047,0.18108
900.0,0.047,0.18108
1200.0,0.047,0.18108
1500.0,0.047,0.18108
1800.0,0.047,0.18108
2100.0,0.047,0.18108
2400.0,0.047,0.18108
2700.0,0.047,0.18108
3000.0,0.047,0.18108
3300.0,0.047,0.18108
3600.0,0.047,0.18108
3900.0,0.047,0.18108
4200.0,0.047,0.18108
4500.0,0.047,0.18108
4800.0,0.047,0.18108
5100.0,0.047,0.18108
5400.0,0.047,0.18108
5700.0,0.047,0.18108
6000.0,0.047,0.18108
6300.0,0.047,0.18108
6600.0,0.047,0.18108
6900.0,0.047,0.18108
7200.0,0.047,0.18108
7500.0,0.047,0.18108
7800.0,0.047,0.18108
8100.0,0.047,0.18108
8400.0,0.047,0.18108
8700.0,0.047,0.18108
9000.0,0.047,0.18108
9300.0,0.047,0.18108
9600.0,0.047,0.18108
9900.0,0.047,0.18108
10200.0,0.047,0.18108
10500.0,0.047,0.18108
10800.0,0.047,0.18108
11100.0,0.047,0.18108
11400.0,0.047,0.18108
11700.0,0.047,0.18108
12000.0,0.047,0.18108
12300.0,0.047,0.18108
12600.0,0.047,0.18108
12900.0,0.047,0.18108
13200.0,0.047,0.18108
13500.0,0.047,0.18108
13800.0,0.047,0.18108
14100.0,0.047,0.18108
14400.0,0.047,0.18108
14700.0,0.047,0.18108
15000.0,0.047,0.18108
15300.0,0.047,0.18108
15600.0,0.047,0.18108
15900.0,0.047,0.18108
16200.0,0.047,0.18108
16500.0,0.047,0.18108
16800.0,0.047,0.18108
17100.0,0.047,0.18108
17400.0,0.047,0.18108
17700.0,0.047,0.18108
18000.0,0.047,0.18108
18300.0,0.047,0.18108
18600.0,0.047,0.18108
18900.0,0.047,0.18108
19200.0,0.047,0.18108
19500.0,0.047,0.18108
19800.0,0.047,0.18108
20100.0,0.047,0.18108
20400.0,0.047,0.18108
20700.0,0.047,0.18108
21000.0,0.047,0.18108
21300.0,0.047,0.18108
21600.0,0.047,0.18108
21900.0,0.047,0.18108
22200.0,0.047,0.18108
22500.0,0.047,0.18108
22800.0,0.047,0.18108
23100.0,0.047,0.18108
23400.0,0.047,0.18108
23700.0,0.047,0.18108
24000.0,0.047,0.18108
24300.0,0.047,0.18108
24600.0,0.047,0.18108
24900.0,0.047,0.18108
25200.0,0.047,0.18108
25500.0,0.047,0.18108
25800.0,0.047,0.18108
26100.0,0.047,0.18108
26400.0,0.047,0.18108
26700.0,0.047,0.18108
27000.0,0.047,0.18108
27300.0,0.047,0.18108
27600.0,0.047,0.18108
27900.0,0.047,0.18108
28200.0,0.047,0.18108
28500.0,0.047,0.18108
28800.0,0.047,0.18108
29100.0,0.047,0.18108
29400.0,0.047,0.18108
29700.0,0.047,0.18108
30000.0,0.047,0.18108
30300.0,0.047,0.18108
30600.0,0.047,0.18108
30900.0,0.047,0.18108
31200.0,0.047,0.18108
31500.0,0.047,0.18108
31800.0,0.047,0.18108
32100.0,0.047,0.18108
32400.0,0.047,0.18108
32700.0,0.047,0.18108
33000.0,0.047,0.18108
33300.0,0.047,0.18108
33600.0,0.047,0.18108
33900.0,0.047,0.18108
34200.0,0.047,0.18108
34500.0,0.047,0.18108
34800.0,0.047,0.18108
35100.0,0.047,0.18108
35400.0,0.047,0.18108
35700.0,0.047,0.18108
36000.0,0.047,0.18108
36300.0,0.047,0.18108
36600.0,0.047,0.18108
36900.0,0.047,0.18108
37200.0,0.047,0.18108
37500.0,0.047,0.18108
37800.0,0.047,0.18108
38100.0,0.047,0.18108
38400.0,0.047,0.18108
38700.0,0.047,0.18108
39000.0,0.047,0.18108
39300.0,0.047,0.18108
39600.0,0.047,0.18108
39900.0,0.047,0.18108
40200.0,0.047,0.18108
40500.0,0.047,0.18108
