time,LowerSetp,UpperSetp
0,292.15,305.15
900,292.15,305.15
1800,292.15,305.15
2700,292.15,305.15
3600,292.15,305.15
4500,292.15,305.15
5400,292.15,305.15
6300,292.15,305.15
7200,292.15,305.15
8100,292.15,305.15
9000,292.15,305.15
9900,292.15,305.15
10800,292.15,305.15
11700,292.15,305.15
12600,292.15,305.15
13500,292.15,305.15
14400,292.15,305.15
15300,292.15,305.15
16200,292.15,305.15
17100,292.15,305.15
18000,292.15,305.15
18900,292.15,305.15
19800,292.15,305.15
20700,292.15,305.15
21600,292.15,305.15
22500,292.15,305.15
23400,292.15,305.15
24300,292.15,305.15
25200,292.15,305.15
26100,292.15,305.15
27000,292.15,305.15
27900,292.15,305.15
28800,292.15,305.15
29700,292.15,305.15
30600,292.15,305.15
31500,292.15,305.15
32400,292.15,305.15
33300,292.15,305.15
34200,292.15,305.15
35100,292.15,305.15
36000,292.15,305.15
36900,289.15,305.15
37800,289.15,305.15
38700,289.15,305.15
39600,289.15,305.15
40500,289.15,305.15
41400,289.15,305.15
42300,289.15,305.15
43200,289.15,305.15
44100,289.15,305.15
45000,289.15,305.15
45900,289.15,305.15
46800,289.15,305.15
47700,289.15,305.15
48600,289.15,305.15
49500,289.15,305.15
50400,289.15,305.15
51300,289.15,305.15
52200,289.15,305.15
53100,289.15,305.15
54000,289.15,305.15
54900,289.15,305.15
55800,289.15,305.15
56700,289.15,305.15
57600,289.15,305.15
58500,289.15,305.15
59400,289.15,305.15
60300,289.15,305.15
61200,289.15,305.15
62100,289.15,305.15
63000,289.15,305.15
63900,289.15,305.15
64800,289.15,305.15
65700,292.15,305.15
66600,292.15,305.15
67500,292.15,305.15
68400,292.15,305.15
69300,292.15,305.15
70200,292.15,305.15
71100,292.15,305.15
72000,292.15,305.15
72900,292.15,305.15
73800,292.15,305.15
74700,292.15,305.15
75600,292.15,305.15
76500,292.15,305.15
77400,292.15,305.15
78300,292.15,305.15
79200,292.15,305.15
80100,292.15,305.15
81000,292.15,305.15
81900,292.15,305.15
82800,292.15,305.15
83700,292.15,305.15
84600,292.15,305.15
85500,292.15,305.15
86400,292.15,305.15
87300,292.15,305.15
88200,292.15,305.15
89100,292.15,305.15
90000,292.15,305.15
90900,292.15,305.15
91800,292.15,305.15
92700,292.15,305.15
93600,292.15,305.15
94500,292.15,305.15
95400,292.15,305.15
96300,292.15,305.15
97200,292.15,305.15
98100,292.15,305.15
99000,292.15,305.15
99900,292.15,305.15
100800,292.15,305.15
101700,292.15,305.15
102600,292.15,305.15
103500,292.15,305.15
104400,292.15,305.15
105300,292.15,305.15
106200,292.15,305.15
107100,292.15,305.15
108000,292.15,305.15
108900,292.15,305.15
109800,292.15,305.15
110700,292.15,305.15
111600,292.15,305.15
112500,292.15,305.15
113400,292.15,305.15
114300,292.15,305.15
115200,292.15,305.15
116100,292.15,305.15
117000,292.15,305.15
117900,292.15,305.15
118800,292.15,305.15
119700,292.15,305.15
120600,292.15,305.15
121500,292.15,305.15
122400,292.15,305.15
123300,289.15,305.15
124200,289.15,305.15
125100,289.15,305.15
126000,289.15,305.15
126900,289.15,305.15
127800,289.15,305.15
128700,289.15,305.15
129600,289.15,305.15
130500,289.15,305.15
131400,289.15,305.15
132300,289.15,305.15
133200,289.15,305.15
134100,289.15,305.15
135000,289.15,305.15
135900,289.15,305.15
136800,289.15,305.15
137700,289.15,305.15
138600,289.15,305.15
139500,289.15,305.15
140400,289.15,305.15
141300,289.15,305.15
142200,289.15,305.15
143100,289.15,305.15
144000,289.15,305.15
144900,289.15,305.15
145800,289.15,305.15
146700,289.15,305.15
147600,289.15,305.15
148500,289.15,305.15
149400,289.15,305.15
150300,289.15,305.15
151200,289.15,305.15
152100,292.15,305.15
153000,292.15,305.15
153900,292.15,305.15
154800,292.15,305.15
155700,292.15,305.15
156600,292.15,305.15
157500,292.15,305.15
158400,292.15,305.15
159300,292.15,305.15
160200,292.15,305.15
161100,292.15,305.15
162000,292.15,305.15
162900,292.15,305.15
163800,292.15,305.15
164700,292.15,305.15
165600,292.15,305.15
166500,292.15,305.15
167400,292.15,305.15
168300,292.15,305.15
169200,292.15,305.15
170100,292.15,305.15
171000,292.15,305.15
171900,292.15,305.15
172800,292.15,305.15
173700,292.15,305.15
174600,292.15,305.15
175500,292.15,305.15
176400,292.15,305.15
177300,292.15,305.15
178200,292.15,305.15
179100,292.15,305.15
180000,292.15,305.15
180900,292.15,305.15
181800,292.15,305.15
182700,292.15,305.15
183600,292.15,305.15
184500,292.15,305.15
185400,292.15,305.15
186300,292.15,305.15
187200,292.15,305.15
188100,292.15,305.15
189000,292.15,305.15
189900,292.15,305.15
190800,292.15,305.15
191700,292.15,305.15
192600,292.15,305.15
193500,292.15,305.15
194400,292.15,305.15
195300,292.15,305.15
196200,292.15,305.15
197100,292.15,305.15
198000,292.15,305.15
198900,292.15,305.15
199800,292.15,305.15
200700,292.15,305.15
201600,292.15,305.15
202500,292.15,305.15
203400,292.15,305.15
204300,292.15,305.15
205200,292.15,305.15
206100,292.15,305.15
207000,292.15,305.15
207900,292.15,305.15
208800,292.15,305.15
209700,289.15,305.15
210600,289.15,305.15
211500,289.15,305.15
212400,289.15,305.15
213300,289.15,305.15
214200,289.15,305.15
215100,289.15,305.15
216000,289.15,305.15
216900,289.15,305.15
217800,289.15,305.15
218700,289.15,305.15
219600,289.15,305.15
220500,289.15,305.15
221400,289.15,305.15
222300,289.15,305.15
223200,289.15,305.15
224100,292.15,305.15
225000,292.15,305.15
225900,292.15,305.15
226800,292.15,305.15
227700,292.15,305.15
228600,292.15,305.15
229500,292.15,305.15
230400,292.15,305.15
231300,292.15,305.15
232200,292.15,305.15
233100,292.15,305.15
234000,292.15,305.15
234900,292.15,305.15
235800,292.15,305.15
236700,292.15,305.15
237600,292.15,305.15
238500,292.15,305.15
239400,292.15,305.15
240300,292.15,305.15
241200,292.15,305.15
242100,292.15,305.15
243000,292.15,305.15
243900,292.15,305.15
244800,292.15,305.15
245700,292.15,305.15
246600,292.15,305.15
247500,292.15,305.15
248400,292.15,305.15
249300,292.15,305.15
250200,292.15,305.15
251100,292.15,305.15
252000,292.15,305.15
252900,292.15,305.15
253800,292.15,305.15
254700,292.15,305.15
255600,292.15,305.15
256500,292.15,305.15
