time,EmissionsElectricPower,EmissionsDistrictHeatingPower
0.0,0.209,0.1163
900.0,0.209,0.1163
1800.0,0.209,0.1163
2700.0,0.209,0.1163
3600.0,0.209,0.1163
4500.0,0.209,0.1163
5400.0,0.209,0.1163
6300.0,0.209,0.1163
7200.0,0.209,0.1163
8100.0,0.209,0.1163
9000.0,0.209,0.1163
9900.0,0.209,0.1163
10800.0,0.209,0.1163
11700.0,0.209,0.1163
12600.0,0.209,0.1163
13500.0,0.209,0.1163
14400.0,0.209,0.1163
15300.0,0.209,0.1163
16200.0,0.209,0.1163
17100.0,0.209,0.1163
18000.0,0.209,0.1163
18900.0,0.209,0.1163
19800.0,0.209,0.1163
20700.0,0.209,0.1163
21600.0,0.209,0.1163
22500.0,0.209,0.1163
23400.0,0.209,0.1163
24300.0,0.209,0.1163
25200.0,0.209,0.1163
26100.0,0.209,0.1163
27000.0,0.209,0.1163
27900.0,0.209,0.1163
28800.0,0.209,0.1163
29700.0,0.209,0.1163
30600.0,0.209,0.1163
31500.0,0.209,0.1163
32400.0,0.209,0.1163
33300.0,0.209,0.1163
34200.0,0.209,0.1163
35100.0,0.209,0.1163
36000.0,0.209,0.1163
36900.0,0.209,0.1163
37800.0,0.209,0.1163
38700.0,0.209,0.1163
39600.0,0.209,0.1163
40500.0,0.209,0.1163
41400.0,0.209,0.1163
42300.0,0.209,0.1163
43200.0,0.209,0.1163
44100.0,0.209,0.1163
45000.0,0.209,0.1163
45900.0,0.209,0.1163
46800.0,0.209,0.1163
47700.0,0.209,0.1163
48600.0,0.209,0.1163
49500.0,0.209,0.1163
50400.0,0.209,0.1163
51300.0,0.209,0.1163
52200.0,0.209,0.1163
53100.0,0.209,0.1163
54000.0,0.209,0.1163
54900.0,0.209,0.1163
55800.0,0.209,0.1163
56700.0,0.209,0.1163
57600.0,0.209,0.1163
58500.0,0.209,0.1163
59400.0,0.209,0.1163
60300.0,0.209,0.1163
61200.0,0.209,0.1163
62100.0,0.209,0.1163
63000.0,0.209,0.1163
63900.0,0.209,0.1163
64800.0,0.209,0.1163
65700.0,0.209,0.1163
66600.0,0.209,0.1163
67500.0,0.209,0.1163
68400.0,0.209,0.1163
69300.0,0.209,0.1163
70200.0,0.209,0.1163
71100.0,0.209,0.1163
72000.0,0.209,0.1163
72900.0,0.209,0.1163
73800.0,0.209,0.1163
74700.0,0.209,0.1163
75600.0,0.209,0.1163
76500.0,0.209,0.1163
77400.0,0.209,0.1163
78300.0,0.209,0.1163
79200.0,0.209,0.1163
80100.0,0.209,0.1163
81000.0,0.209,0.1163
81900.0,0.209,0.1163
82800.0,0.209,0.1163
83700.0,0.209,0.1163
84600.0,0.209,0.1163
85500.0,0.209,0.1163
86400.0,0.209,0.1163
87300.0,0.209,0.1163
88200.0,0.209,0.1163
89100.0,0.209,0.1163
90000.0,0.209,0.1163
90900.0,0.209,0.1163
91800.0,0.209,0.1163
92700.0,0.209,0.1163
93600.0,0.209,0.1163
