Time,districtHeating.qdh
0,0
63072,0.939603
111600,520.96204
111600,845687.44
126144,98368.94
154800,91640.68
154800,22.062092
189216,25.415483
198000,25.376791
198000,1105905.6
241200,94853.51
241200,22.025064
252288,25.031796
284400,25.6764
284400,1134784.8
315360,74208.16
327600,99286.164
327600,21.870842
370800,94096.58
370800,1101893.9
378432,178368.89
414000,104231.4
414000,21.701822
441504,25.610218
457200,25.739311
457200,1138815.6
500400,100931.01
500400,21.842182
504576,24.060274
567648,5900.3477
604800,8723.215
604800,8723.215
630720,15935.447
693792,33065.152
716400,172187.25
716400,833386.94
756864,169023.22
759600,167139.16
759600,19.76527
802800,25721.514
802800,1182220
819936,216239.73
846000,147596.14
846000,20.369104
883008,8044.8833
889200,26.258541
889200,1182351
932400,120627.89
932400,21.291996
946080,25.568104
975600,45906.15
975600,1144736.6
1009152,106146.82
1018800,113940.98
1018800,21.504251
1062000,96456.3
1062000,1086813.6
1072224,229818.66
1105200,106528.016
1105200,21.67144
1135296,25.893515
1198368,5064.7905
1209600,18749.7
1209600,18749.7
1261440,2403.7058
1321200,96537.01
1321200,1164568
1324512,197511.11
1364400,144854.72
1364400,20.53736
1387584,7878.3423
1407600,98353.08
1407600,1150604.9
1450656,130140.38
1450800,130102.984
1450800,21.002684
1494000,58748.953
1494000,1169125.8
1513728,171931.67
1537200,129317.41
1537200,21.039646
1576800,26.176493
1580400,82053.555
1580400,1131798.6
1623600,129450.13
1623600,20.99438
1639872,25.815823
1666800,55425.695
1666800,1161398.8
1702944,125043.695
1710000,126924.38
1710000,21.08362
1766016,20209
1814400,36314.227
1814400,36314.227
1829088,43129.668
1892160,46343.06
1926000,108952.516
1926000,1140566.6
1955232,187918.89
1969200,175980.5
1969200,19.454208
2012400,56734.465
2012400,1174247.3
2018304,175971.83
2055600,147043.47
2055600,20.43863
2081376,11192.005
2098800,46848.7
2098800,1175559.9
2142000,138531.16
2142000,20.708635
2144448,23.43905
2185200,92042.445
2185200,1135053
2207520,157051.42
2228400,130455.75
2228400,20.97922
2270592,26.18992
2271600,75897.1
2271600,1153849.8
2314800,125656.47
2314800,21.106682
2333664,25.81603
2396736,16575.924
2419200,25295.244
2419200,25295.244
2459808,28032.605
2522880,38376.62
2530800,28547.176
2530800,1186134.9
2574000,156230.8
2574000,20.184574
2585952,26.035793
2617200,73142.516
2617200,1166824.6
2649024,146223.14
2660400,141986.03
2660400,20.616964
2703600,268999.03
2703600,529981.8
2712096,343728.5
2746800,135762.31
2746800,20.784958
2775168,7002.2676
2790000,229513.23
2790000,617446.2
2833200,125359.17
2833200,21.15755
2838240,24.506193
2876400,224835.02
2876400,493177.25
2901312,64684.38
2919600,109897.91
2919600,21.638489
2964384,25.802847
3024000,4174.449
3024000,4174.449
3027456,15683.847
3090528,26.245499
3135600,291826.63
3135600,576759.25
3153600,332972.8
3178800,133355.86
3178800,20.943693
3216672,15033.193
3222000,317028.03
3222000,554123.75
3265200,137606.08
3265200,20.726938
3279744,25.918182
3308400,360929.63
3308400,568590.25
3342816,128367.516
3351600,140215.23
3351600,20.637403
3394800,320569.9
3394800,631703.8
3405888,305971.16
3438000,134929.05
3438000,20.79866
3468960,22517.738
3481200,19329.67
3481200,1180769.8
3524400,135702.1
3524400,20.77626
3532032,25.254622
3595104,25.78887
3628800,38551.074
3628800,38551.074
3658176,368346.06
3721248,43479.383
3740400,308874.16
3740400,578047.5
3783600,127612.62
3783600,21.058123
3784320,22.026548
3826800,338828.66
3826800,535804.2
3847392,371556.84
3870000,133369.14
3870000,20.85483
3910464,185198.2
3913200,229746.3
3913200,539341
3956400,119799.51
3956400,21.174574
3973536,25.745995
3999600,199209.08
3999600,573932.3
4036608,116739.77
4042800,123315.336
4042800,21.160728
4086000,9035.247
4086000,1181341.1
4099680,118559.32
4129200,108649.734
4129200,21.594795
4162752,25.881594
4225824,25.886898
4233600,26.082518
4233600,26.082518
4288896,22948.527
4345200,262435.84
4345200,533998.06
4351968,389682.1
4388400,117941.88
4388400,21.617878
4415040,25.92638
4431600,230666.11
4431600,490833.16
4474800,118311.016
4474800,21.436934
4478112,23.848131
4518000,285471.63
4518000,497199.2
4541184,305102.8
4561200,119555.8
4561200,21.379608
4604256,293747.75
4604400,294709.63
4604400,501587.28
4647600,120778.164
4647600,21.235842
4667328,25.788101
4690800,742.20105
4690800,1179032.3
4730400,116061.89
4734000,121585.79
