time,EmissionsElectricPower,EmissionsDistrictHeatingPower,EmissionsGasPower,EmissionsBiomassPower,EmissionsSolarThermalPower
0.0,0.209,0.1163,0.2,0.0,0.0
900.0,0.209,0.1163,0.2,0.0,0.0
1800.0,0.209,0.1163,0.2,0.0,0.0
2700.0,0.209,0.1163,0.2,0.0,0.0
3600.0,0.209,0.1163,0.2,0.0,0.0
4500.0,0.209,0.1163,0.2,0.0,0.0
5400.0,0.209,0.1163,0.2,0.0,0.0
6300.0,0.209,0.1163,0.2,0.0,0.0
7200.0,0.209,0.1163,0.2,0.0,0.0
8100.0,0.209,0.1163,0.2,0.0,0.0
9000.0,0.209,0.1163,0.2,0.0,0.0
9900.0,0.209,0.1163,0.2,0.0,0.0
10800.0,0.209,0.1163,0.2,0.0,0.0
11700.0,0.209,0.1163,0.2,0.0,0.0
12600.0,0.209,0.1163,0.2,0.0,0.0
13500.0,0.209,0.1163,0.2,0.0,0.0
14400.0,0.209,0.1163,0.2,0.0,0.0
15300.0,0.209,0.1163,0.2,0.0,0.0
16200.0,0.209,0.1163,0.2,0.0,0.0
17100.0,0.209,0.1163,0.2,0.0,0.0
18000.0,0.209,0.1163,0.2,0.0,0.0
18900.0,0.209,0.1163,0.2,0.0,0.0
19800.0,0.209,0.1163,0.2,0.0,0.0
20700.0,0.209,0.1163,0.2,0.0,0.0
21600.0,0.209,0.1163,0.2,0.0,0.0
22500.0,0.209,0.1163,0.2,0.0,0.0
23400.0,0.209,0.1163,0.2,0.0,0.0
24300.0,0.209,0.1163,0.2,0.0,0.0
25200.0,0.209,0.1163,0.2,0.0,0.0
26100.0,0.209,0.1163,0.2,0.0,0.0
27000.0,0.209,0.1163,0.2,0.0,0.0
27900.0,0.209,0.1163,0.2,0.0,0.0
28800.0,0.209,0.1163,0.2,0.0,0.0
29700.0,0.209,0.1163,0.2,0.0,0.0
30600.0,0.209,0.1163,0.2,0.0,0.0
31500.0,0.209,0.1163,0.2,0.0,0.0
32400.0,0.209,0.1163,0.2,0.0,0.0
33300.0,0.209,0.1163,0.2,0.0,0.0
34200.0,0.209,0.1163,0.2,0.0,0.0
35100.0,0.209,0.1163,0.2,0.0,0.0
36000.0,0.209,0.1163,0.2,0.0,0.0
36900.0,0.209,0.1163,0.2,0.0,0.0
37800.0,0.209,0.1163,0.2,0.0,0.0
38700.0,0.209,0.1163,0.2,0.0,0.0
39600.0,0.209,0.1163,0.2,0.0,0.0
40500.0,0.209,0.1163,0.2,0.0,0.0
41400.0,0.209,0.1163,0.2,0.0,0.0
42300.0,0.209,0.1163,0.2,0.0,0.0
43200.0,0.209,0.1163,0.2,0.0,0.0
44100.0,0.209,0.1163,0.2,0.0,0.0
45000.0,0.209,0.1163,0.2,0.0,0.0
45900.0,0.209,0.1163,0.2,0.0,0.0
46800.0,0.209,0.1163,0.2,0.0,0.0
47700.0,0.209,0.1163,0.2,0.0,0.0
48600.0,0.209,0.1163,0.2,0.0,0.0
49500.0,0.209,0.1163,0.2,0.0,0.0
50400.0,0.209,0.1163,0.2,0.0,0.0
51300.0,0.209,0.1163,0.2,0.0,0.0
52200.0,0.209,0.1163,0.2,0.0,0.0
53100.0,0.209,0.1163,0.2,0.0,0.0
54000.0,0.209,0.1163,0.2,0.0,0.0
54900.0,0.209,0.1163,0.2,0.0,0.0
55800.0,0.209,0.1163,0.2,0.0,0.0
56700.0,0.209,0.1163,0.2,0.0,0.0
57600.0,0.209,0.1163,0.2,0.0,0.0
58500.0,0.209,0.1163,0.2,0.0,0.0
59400.0,0.209,0.1163,0.2,0.0,0.0
60300.0,0.209,0.1163,0.2,0.0,0.0
61200.0,0.209,0.1163,0.2,0.0,0.0
62100.0,0.209,0.1163,0.2,0.0,0.0
63000.0,0.209,0.1163,0.2,0.0,0.0
63900.0,0.209,0.1163,0.2,0.0,0.0
64800.0,0.209,0.1163,0.2,0.0,0.0
65700.0,0.209,0.1163,0.2,0.0,0.0
66600.0,0.209,0.1163,0.2,0.0,0.0
67500.0,0.209,0.1163,0.2,0.0,0.0
68400.0,0.209,0.1163,0.2,0.0,0.0
