# time: time of emissions factor [s],,
# EmissionsElectricPower: Emissions factor of electric poweer [kgCO2-e/kWh],,
# EmissionsGasPower: Emissions factor of ga powers [kgCO2-e/kWh],,
time,EmissionsElectricPower,EmissionsGasPower
0,0.252,0.181
900,0.252,0.181
1800,0.252,0.181
2700,0.252,0.181
3600,0.252,0.181
4500,0.252,0.181
5400,0.252,0.181
6300,0.252,0.181
7200,0.252,0.181
8100,0.252,0.181
9000,0.252,0.181
9900,0.252,0.181
10800,0.252,0.181
11700,0.252,0.181
12600,0.252,0.181
13500,0.252,0.181
14400,0.252,0.181
15300,0.252,0.181
16200,0.252,0.181
17100,0.252,0.181
18000,0.252,0.181
18900,0.252,0.181
19800,0.252,0.181
20700,0.252,0.181
21600,0.252,0.181
22500,0.252,0.181
23400,0.252,0.181
24300,0.252,0.181
25200,0.252,0.181
26100,0.252,0.181
27000,0.252,0.181
27900,0.252,0.181
28800,0.252,0.181
29700,0.252,0.181
30600,0.252,0.181
31500,0.252,0.181
32400,0.252,0.181
33300,0.252,0.181
34200,0.252,0.181
35100,0.252,0.181
36000,0.252,0.181
36900,0.252,0.181
37800,0.252,0.181
38700,0.252,0.181
39600,0.252,0.181
40500,0.252,0.181
41400,0.252,0.181
42300,0.252,0.181
43200,0.252,0.181
44100,0.252,0.181
45000,0.252,0.181
45900,0.252,0.181
46800,0.252,0.181
47700,0.252,0.181
48600,0.252,0.181
49500,0.252,0.181
50400,0.252,0.181
51300,0.252,0.181
52200,0.252,0.181
53100,0.252,0.181
54000,0.252,0.181
54900,0.252,0.181
55800,0.252,0.181
56700,0.252,0.181
57600,0.252,0.181
58500,0.252,0.181
59400,0.252,0.181
60300,0.252,0.181
61200,0.252,0.181
62100,0.252,0.181
63000,0.252,0.181
63900,0.252,0.181
64800,0.252,0.181
65700,0.252,0.181
66600,0.252,0.181
67500,0.252,0.181
68400,0.252,0.181
69300,0.252,0.181
70200,0.252,0.181
71100,0.252,0.181
72000,0.252,0.181
72900,0.252,0.181
73800,0.252,0.181
74700,0.252,0.181
75600,0.252,0.181
76500,0.252,0.181
77400,0.252,0.181
78300,0.252,0.181
79200,0.252,0.181
80100,0.252,0.181
81000,0.252,0.181
81900,0.252,0.181
82800,0.252,0.181
83700,0.252,0.181
84600,0.252,0.181
85500,0.252,0.181
86400,0.252,0.181
87300,0.252,0.181
88200,0.252,0.181
89100,0.252,0.181
90000,0.252,0.181
90900,0.252,0.181
91800,0.252,0.181
92700,0.252,0.181
93600,0.252,0.181
94500,0.252,0.181
95400,0.252,0.181
96300,0.252,0.181
97200,0.252,0.181
98100,0.252,0.181
99000,0.252,0.181
99900,0.252,0.181
100800,0.252,0.181
101700,0.252,0.181
102600,0.252,0.181
103500,0.252,0.181
104400,0.252,0.181
105300,0.252,0.181
106200,0.252,0.181
107100,0.252,0.181
108000,0.252,0.181
108900,0.252,0.181
109800,0.252,0.181
110700,0.252,0.181
111600,0.252,0.181
112500,0.252,0.181
113400,0.252,0.181
114300,0.252,0.181
115200,0.252,0.181
116100,0.252,0.181
117000,0.252,0.181
117900,0.252,0.181
118800,0.252,0.181
119700,0.252,0.181
120600,0.252,0.181
121500,0.252,0.181
122400,0.252,0.181
123300,0.252,0.181
124200,0.252,0.181
125100,0.252,0.181
126000,0.252,0.181
126900,0.252,0.181
127800,0.252,0.181
128700,0.252,0.181
129600,0.252,0.181
130500,0.252,0.181
131400,0.252,0.181
132300,0.252,0.181
133200,0.252,0.181
134100,0.252,0.181
135000,0.252,0.181
135900,0.252,0.181
136800,0.252,0.181
137700,0.252,0.181
138600,0.252,0.181
139500,0.252,0.181
140400,0.252,0.181
141300,0.252,0.181
142200,0.252,0.181
143100,0.252,0.181
144000,0.252,0.181
144900,0.252,0.181
145800,0.252,0.181
146700,0.252,0.181
147600,0.252,0.181
148500,0.252,0.181
149400,0.252,0.181
150300,0.252,0.181
151200,0.252,0.181
152100,0.252,0.181
153000,0.252,0.181
153900,0.252,0.181
154800,0.252,0.181
155700,0.252,0.181
156600,0.252,0.181
157500,0.252,0.181
158400,0.252,0.181
159300,0.252,0.181
160200,0.252,0.181
161100,0.252,0.181
162000,0.252,0.181
162900,0.252,0.181
163800,0.252,0.181
164700,0.252,0.181
165600,0.252,0.181
166500,0.252,0.181
167400,0.252,0.181
168300,0.252,0.181
169200,0.252,0.181
170100,0.252,0.181
171000,0.252,0.181
171900,0.252,0.181
172800,0.252,0.181
173700,0.252,0.181
174600,0.252,0.181
175500,0.252,0.181
176400,0.252,0.181
177300,0.252,0.181
178200,0.252,0.181
179100,0.252,0.181
180000,0.252,0.181
180900,0.252,0.181
181800,0.252,0.181
182700,0.252,0.181
183600,0.252,0.181
184500,0.252,0.181
185400,0.252,0.181
186300,0.252,0.181
187200,0.252,0.181
188100,0.252,0.181
189000,0.252,0.181
189900,0.252,0.181
190800,0.252,0.181
191700,0.252,0.181
192600,0.252,0.181
193500,0.252,0.181
194400,0.252,0.181
195300,0.252,0.181
196200,0.252,0.181
197100,0.252,0.181
198000,0.252,0.181
198900,0.252,0.181
199800,0.252,0.181
200700,0.252,0.181
201600,0.252,0.181
202500,0.252,0.181
203400,0.252,0.181
204300,0.252,0.181
205200,0.252,0.181
206100,0.252,0.181
207000,0.252,0.181
207900,0.252,0.181
208800,0.252,0.181
209700,0.252,0.181
210600,0.252,0.181
211500,0.252,0.181
212400,0.252,0.181
213300,0.252,0.181
214200,0.252,0.181
215100,0.252,0.181
216000,0.252,0.181
216900,0.252,0.181
217800,0.252,0.181
218700,0.252,0.181
219600,0.252,0.181
220500,0.252,0.181
221400,0.252,0.181
222300,0.252,0.181
223200,0.252,0.181
224100,0.252,0.181
225000,0.252,0.181
225900,0.252,0.181
226800,0.252,0.181
227700,0.252,0.181
228600,0.252,0.181
229500,0.252,0.181
230400,0.252,0.181
231300,0.252,0.181
232200,0.252,0.181
233100,0.252,0.181
234000,0.252,0.181
234900,0.252,0.181
235800,0.252,0.181
236700,0.252,0.181
237600,0.252,0.181
238500,0.252,0.181
239400,0.252,0.181
240300,0.252,0.181
241200,0.252,0.181
242100,0.252,0.181
243000,0.252,0.181
243900,0.252,0.181
244800,0.252,0.181
245700,0.252,0.181
246600,0.252,0.181
247500,0.252,0.181
248400,0.252,0.181
249300,0.252,0.181
250200,0.252,0.181
251100,0.252,0.181
252000,0.252,0.181
252900,0.252,0.181
253800,0.252,0.181
254700,0.252,0.181
255600,0.252,0.181
256500,0.252,0.181
257400,0.252,0.181
258300,0.252,0.181
259200,0.252,0.181
260100,0.252,0.181
261000,0.252,0.181
261900,0.252,0.181
262800,0.252,0.181
263700,0.252,0.181
264600,0.252,0.181
265500,0.252,0.181
266400,0.252,0.181
267300,0.252,0.181
268200,0.252,0.181
269100,0.252,0.181
270000,0.252,0.181
270900,0.252,0.181
271800,0.252,0.181
272700,0.252,0.181
273600,0.252,0.181
274500,0.252,0.181
275400,0.252,0.181
276300,0.252,0.181
277200,0.252,0.181
278100,0.252,0.181
279000,0.252,0.181
279900,0.252,0.181
280800,0.252,0.181
281700,0.252,0.181
282600,0.252,0.181
283500,0.252,0.181
284400,0.252,0.181
285300,0.252,0.181
286200,0.252,0.181
287100,0.252,0.181
288000,0.252,0.181
288900,0.252,0.181
289800,0.252,0.181
290700,0.252,0.181
291600,0.252,0.181
292500,0.252,0.181
293400,0.252,0.181
294300,0.252,0.181
295200,0.252,0.181
296100,0.252,0.181
297000,0.252,0.181
297900,0.252,0.181
298800,0.252,0.181
299700,0.252,0.181
300600,0.252,0.181
301500,0.252,0.181
302400,0.252,0.181
303300,0.252,0.181
304200,0.252,0.181
305100,0.252,0.181
306000,0.252,0.181
306900,0.252,0.181
307800,0.252,0.181
308700,0.252,0.181
309600,0.252,0.181
310500,0.252,0.181
311400,0.252,0.181
312300,0.252,0.181
313200,0.252,0.181
314100,0.252,0.181
315000,0.252,0.181
315900,0.252,0.181
316800,0.252,0.181
317700,0.252,0.181
318600,0.252,0.181
319500,0.252,0.181
320400,0.252,0.181
321300,0.252,0.181
322200,0.252,0.181
323100,0.252,0.181
324000,0.252,0.181
324900,0.252,0.181
325800,0.252,0.181
326700,0.252,0.181
327600,0.252,0.181
328500,0.252,0.181
329400,0.252,0.181
330300,0.252,0.181
331200,0.252,0.181
332100,0.252,0.181
333000,0.252,0.181
333900,0.252,0.181
334800,0.252,0.181
335700,0.252,0.181
336600,0.252,0.181
337500,0.252,0.181
338400,0.252,0.181
339300,0.252,0.181
340200,0.252,0.181
341100,0.252,0.181
342000,0.252,0.181
342900,0.252,0.181
343800,0.252,0.181
344700,0.252,0.181
345600,0.252,0.181
346500,0.252,0.181
347400,0.252,0.181
348300,0.252,0.181
349200,0.252,0.181
350100,0.252,0.181
351000,0.252,0.181
351900,0.252,0.181
352800,0.252,0.181
353700,0.252,0.181
354600,0.252,0.181
355500,0.252,0.181
356400,0.252,0.181
357300,0.252,0.181
358200,0.252,0.181
359100,0.252,0.181
360000,0.252,0.181
360900,0.252,0.181
361800,0.252,0.181
362700,0.252,0.181
363600,0.252,0.181
364500,0.252,0.181
365400,0.252,0.181
366300,0.252,0.181
367200,0.252,0.181
368100,0.252,0.181
369000,0.252,0.181
369900,0.252,0.181
370800,0.252,0.181
371700,0.252,0.181
372600,0.252,0.181
373500,0.252,0.181
374400,0.252,0.181
375300,0.252,0.181
376200,0.252,0.181
377100,0.252,0.181
378000,0.252,0.181
378900,0.252,0.181
379800,0.252,0.181
380700,0.252,0.181
381600,0.252,0.181
382500,0.252,0.181
383400,0.252,0.181
384300,0.252,0.181
385200,0.252,0.181
386100,0.252,0.181
387000,0.252,0.181
387900,0.252,0.181
388800,0.252,0.181
389700,0.252,0.181
390600,0.252,0.181
391500,0.252,0.181
392400,0.252,0.181
393300,0.252,0.181
394200,0.252,0.181
395100,0.252,0.181
396000,0.252,0.181
396900,0.252,0.181
397800,0.252,0.181
398700,0.252,0.181
399600,0.252,0.181
400500,0.252,0.181
401400,0.252,0.181
402300,0.252,0.181
403200,0.252,0.181
404100,0.252,0.181
405000,0.252,0.181
405900,0.252,0.181
406800,0.252,0.181
407700,0.252,0.181
408600,0.252,0.181
409500,0.252,0.181
410400,0.252,0.181
411300,0.252,0.181
412200,0.252,0.181
413100,0.252,0.181
414000,0.252,0.181
414900,0.252,0.181
415800,0.252,0.181
416700,0.252,0.181
417600,0.252,0.181
418500,0.252,0.181
419400,0.252,0.181
420300,0.252,0.181
421200,0.252,0.181
422100,0.252,0.181
423000,0.252,0.181
423900,0.252,0.181
424800,0.252,0.181
425700,0.252,0.181
426600,0.252,0.181
427500,0.252,0.181
428400,0.252,0.181
429300,0.252,0.181
430200,0.252,0.181
431100,0.252,0.181
432000,0.252,0.181
432900,0.252,0.181
433800,0.252,0.181
434700,0.252,0.181
435600,0.252,0.181
436500,0.252,0.181
437400,0.252,0.181
438300,0.252,0.181
439200,0.252,0.181
440100,0.252,0.181
441000,0.252,0.181
441900,0.252,0.181
442800,0.252,0.181
443700,0.252,0.181
444600,0.252,0.181
445500,0.252,0.181
446400,0.252,0.181
447300,0.252,0.181
448200,0.252,0.181
449100,0.252,0.181
450000,0.252,0.181
450900,0.252,0.181
451800,0.252,0.181
452700,0.252,0.181
453600,0.252,0.181
454500,0.252,0.181
455400,0.252,0.181
456300,0.252,0.181
457200,0.252,0.181
458100,0.252,0.181
459000,0.252,0.181
459900,0.252,0.181
460800,0.252,0.181
461700,0.252,0.181
462600,0.252,0.181
463500,0.252,0.181
464400,0.252,0.181
465300,0.252,0.181
466200,0.252,0.181
467100,0.252,0.181
468000,0.252,0.181
468900,0.252,0.181
469800,0.252,0.181
470700,0.252,0.181
471600,0.252,0.181
472500,0.252,0.181
473400,0.252,0.181
474300,0.252,0.181
475200,0.252,0.181
476100,0.252,0.181
477000,0.252,0.181
477900,0.252,0.181
478800,0.252,0.181
479700,0.252,0.181
480600,0.252,0.181
481500,0.252,0.181
482400,0.252,0.181
483300,0.252,0.181
484200,0.252,0.181
485100,0.252,0.181
486000,0.252,0.181
486900,0.252,0.181
487800,0.252,0.181
488700,0.252,0.181
489600,0.252,0.181
490500,0.252,0.181
491400,0.252,0.181
492300,0.252,0.181
493200,0.252,0.181
494100,0.252,0.181
495000,0.252,0.181
