Time,occupancy.y[1],ou44Bdg.qGai_flow[1],ou44Bdg.qGai_flow[2],ou44Bdg.qGai_flow[3],radiatorSetPoint.y1
0,0,0,0,0,292.15
900,0,0,0,0,292.15
1800,0,0,0,0,292.15
2700,0,0,0,0,292.15
3600,0,0,0,0,292.15
4500,0,0,0,0,292.15
5400,0,0,0,0,292.15
6300,0,0,0,0,292.15
7200,0,0,0,0,292.15
8100,0,0,0,0,292.15
9000,0,0,0,0,292.15
9900,0,0,0,0,292.15
10800,0,0,0,0,292.15
10800,0,0,0,0,295.15
11700,0,0,0,0,295.15
12600,0,0,0,0,295.15
13500,0,0,0,0,295.15
14400,0,0,0,0,295.15
15300,0,0,0,0,295.15
16200,0,0,0,0,295.15
17100,0,0,0,0,295.15
18000,0,0,0,0,295.15
18900,0,0,0,0,295.15
19800,0,0,0,0,295.15
20700,0,0,0,0,295.15
21600,0,0,0,0,295.15
22500,0,0,0,0,295.15
23400,0,0,0,0,295.15
24300,0,0,0,0,295.15
25200,0,0,0,0,295.15
26100,0,0,0,0,295.15
27000,0,0,0,0,295.15
27900,0,0,0,0,295.15
28800,0,0,0,0,295.15
29700,0,0,0,0,295.15
30600,0,0,0,0,295.15
31500,0,0,0,0,295.15
32400,0,0,0,0,295.15
33300,0,0,0,0,295.15
34200,0,0,0,0,295.15
35100,0,0,0,0,295.15
36000,0,0,0,0,295.15
36900,0,0,0,0,295.15
37800,0,0,0,0,295.15
38700,0,0,0,0,295.15
39600,0,0,0,0,295.15
40500,0,0,0,0,295.15
41400,0,0,0,0,295.15
42300,0,0,0,0,295.15
43200,0,0,0,0,295.15
44100,0,0,0,0,295.15
45000,0,0,0,0,295.15
45900,0,0,0,0,295.15
46800,0,0,0,0,295.15
47700,0,0,0,0,295.15
48600,0,0,0,0,295.15
49500,0,0,0,0,295.15
50400,0,0,0,0,295.15
51300,0,0,0,0,295.15
52200,0,0,0,0,295.15
53100,0,0,0,0,295.15
54000,0,0,0,0,295.15
54900,0,0,0,0,295.15
55800,0,0,0,0,295.15
56700,0,0,0,0,295.15
57600,0,0,0,0,295.15
58500,0,0,0,0,295.15
59400,0,0,0,0,295.15
60300,0,0,0,0,295.15
61200,0,0,0,0,295.15
62100,0,0,0,0,295.15
63000,0,0,0,0,295.15
63900,0,0,0,0,295.15
64800,0,0,0,0,295.15
65700,0,0,0,0,295.15
66600,0,0,0,0,295.15
67500,0,0,0,0,295.15
68400,0,0,0,0,295.15
68400,0,0,0,0,292.15
69300,0,0,0,0,292.15
70200,0,0,0,0,292.15
71100,0,0,0,0,292.15
72000,0,0,0,0,292.15
72900,0,0,0,0,292.15
73800,0,0,0,0,292.15
74700,0,0,0,0,292.15
75600,0,0,0,0,292.15
76500,0,0,0,0,292.15
77400,0,0,0,0,292.15
78300,0,0,0,0,292.15
79200,0,0,0,0,292.15
80100,0,0,0,0,292.15
81000,0,0,0,0,292.15
81900,0,0,0,0,292.15
82800,0,0,0,0,292.15
83700,0,0,0,0,292.15
84600,0,0,0,0,292.15
85500,0,0,0,0,292.15
86400,0,0,0,0,292.15
87300,0,0,0,0,292.15
88200,0,0,0,0,292.15
89100,0,0,0,0,292.15
90000,0,0,0,0,292.15
90900,0,0,0,0,292.15
91800,0,0,0,0,292.15
92700,0,0,0,0,292.15
93600,0,0,0,0,292.15
94500,0,0,0,0,292.15
95400,0,0,0,0,292.15
96300,0,0,0,0,292.15
97200,0,0,0,0,292.15
97200,7.3655,0.03327473,0.03327473,0.016637364,292.15
98100,8.3023,0.03750686,0.03750686,0.01875343,292.15
98100,8.3023,0.03750686,0.03750686,0.01875343,292.15
99000,7.2558,0.032779142,0.032779142,0.016389571,292.15
99000,7.2558,0.032779142,0.032779142,0.016389571,292.15
99900,6.2093,0.028051427,0.028051427,0.014025713,292.15
99900,6.2093,0.028051427,0.028051427,0.014025713,292.15
100800,5.1628,0.02332371,0.02332371,0.011661855,292.15
100800,5.1628,0.02332371,0.02332371,0.011661855,292.15
101700,4.1163,0.01859599,0.01859599,0.009297995,292.15
101700,4.1163,0.01859599,0.01859599,0.009297995,292.15
102600,2.0027,0.0090474915,0.0090474915,0.0045237457,292.15
102600,2.0027,0.0090474915,0.0090474915,0.0045237457,292.15
103500,0.4588,0.0020726966,0.0020726966,0.0010363483,292.15
103500,0.4588,0.0020726966,0.0020726966,0.0010363483,292.15
104400,0.9882,0.004464339,0.004464339,0.0022321695,292.15
104400,0.9882,0.004464339,0.004464339,0.0022321695,295.15
105300,1.5176,0.006855981,0.006855981,0.0034279905,295.15
105300,1.5176,0.006855981,0.006855981,0.0034279905,295.15
106200,2.0471,0.009248075,0.009248075,0.0046240375,295.15
106200,2.0471,0.009248075,0.009248075,0.0046240375,295.15
107100,2.5765,0.011639718,0.011639718,0.005819859,295.15
107100,2.5765,0.011639718,0.011639718,0.005819859,295.15
108000,6.6128,0.029874297,0.029874297,0.014937148,295.15
108000,6.6128,0.029874297,0.029874297,0.014937148,295.15
108900,15.297,0.069106445,0.069106445,0.034553222,295.15
108900,15.297,0.069106445,0.069106445,0.034553222,295.15
109800,24.3296,0.109912544,0.109912544,0.054956272,295.15
109800,24.3296,0.109912544,0.109912544,0.054956272,295.15
110700,23.0593,0.10417378,0.10417378,0.05208689,295.15
110700,23.0593,0.10417378,0.10417378,0.05208689,295.15
111600,17.9028,0.08087853,0.08087853,0.040439267,295.15
111600,17.9028,0.08087853,0.08087853,0.040439267,295.15
112500,10.5649,0.04772849,0.04772849,0.023864245,295.15
112500,10.5649,0.04772849,0.04772849,0.023864245,295.15
113400,10.4719,0.047308348,0.047308348,0.023654174,295.15
113400,10.4719,0.047308348,0.047308348,0.023654174,295.15
114300,13.8427,0.06253643,0.06253643,0.031268217,295.15
114300,13.8427,0.06253643,0.06253643,0.031268217,295.15
115200,17.2135,0.07776452,0.07776452,0.03888226,295.15
115200,17.2135,0.07776452,0.07776452,0.03888226,295.15
116100,20.5843,0.092992604,0.092992604,0.046496302,295.15
116100,20.5843,0.092992604,0.092992604,0.046496302,295.15
117000,23.9551,0.10822069,0.10822069,0.054110344,295.15
117000,23.9551,0.10822069,0.10822069,0.054110344,295.15
117900,26.576,0.12006099,0.12006099,0.060030494,295.15
117900,26.576,0.12006099,0.12006099,0.060030494,295.15
118800,33.3,0.15043765,0.15043765,0.07521883,295.15
118800,33.3,0.15043765,0.15043765,0.07521883,295.15
119700,49.4333,0.2233222,0.2233222,0.1116611,295.15
119700,49.4333,0.2233222,0.2233222,0.1116611,295.15
120600,79.8333,0.36065868,0.36065868,0.18032934,295.15
120600,79.8333,0.36065868,0.36065868,0.18032934,295.15
121500,89.1833,0.40289867,0.40289867,0.20144933,295.15
121500,89.1833,0.40289867,0.40289867,0.20144933,295.15
122400,87.6981,0.39618906,0.39618906,0.19809453,295.15
122400,87.6981,0.39618906,0.39618906,0.19809453,295.15
123300,96.8685,0.4376177,0.4376177,0.21880884,295.15
123300,96.8685,0.4376177,0.4376177,0.21880884,295.15
