time,LowerSetp[1],UpperSetp[1],UpperCO2[1]
0,288.15,299.15,1000
300,288.15,299.15,1000
600,288.15,299.15,1000
900,288.15,299.15,1000
1200,288.15,299.15,1000
1500,288.15,299.15,1000
1800,288.15,299.15,1000
2100,288.15,299.15,1000
2400,288.15,299.15,1000
2700,288.15,299.15,1000
3000,288.15,299.15,1000
3300,288.15,299.15,1000
3600,288.15,299.15,1000
3900,288.15,299.15,1000
4200,288.15,299.15,1000
4500,288.15,299.15,1000
4800,288.15,299.15,1000
5100,288.15,299.15,1000
5400,288.15,299.15,1000
5700,288.15,299.15,1000
6000,288.15,299.15,1000
6300,288.15,299.15,1000
6600,288.15,299.15,1000
6900,288.15,299.15,1000
7200,288.15,299.15,1000
7500,288.15,299.15,1000
7800,288.15,299.15,1000
8100,288.15,299.15,1000
8400,288.15,299.15,1000
8700,288.15,299.15,1000
9000,288.15,299.15,1000
9300,288.15,299.15,1000
9600,288.15,299.15,1000
9900,288.15,299.15,1000
10200,288.15,299.15,1000
10500,288.15,299.15,1000
10800,288.15,299.15,1000
11100,288.15,299.15,1000
11400,288.15,299.15,1000
11700,288.15,299.15,1000
12000,288.15,299.15,1000
12300,288.15,299.15,1000
12600,288.15,299.15,1000
12900,288.15,299.15,1000
13200,288.15,299.15,1000
13500,288.15,299.15,1000
13800,288.15,299.15,1000
14100,288.15,299.15,1000
14400,288.15,299.15,1000
14700,288.15,299.15,1000
15000,288.15,299.15,1000
15300,288.15,299.15,1000
15600,288.15,299.15,1000
15900,288.15,299.15,1000
16200,288.15,299.15,1000
16500,288.15,299.15,1000
16800,288.15,299.15,1000
17100,288.15,299.15,1000
17400,288.15,299.15,1000
17700,288.15,299.15,1000
18000,288.15,299.15,1000
18300,288.15,299.15,1000
18600,288.15,299.15,1000
18900,288.15,299.15,1000
19200,288.15,299.15,1000
19500,288.15,299.15,1000
19800,288.15,299.15,1000
20100,288.15,299.15,1000
20400,288.15,299.15,1000
20700,288.15,299.15,1000
21000,288.15,299.15,1000
21300,288.15,299.15,1000
21600,288.15,299.15,1000
21900,288.15,299.15,1000
22200,288.15,299.15,1000
22500,288.15,299.15,1000
22800,288.15,299.15,1000
23100,288.15,299.15,1000
23400,288.15,299.15,1000
23700,288.15,299.15,1000
24000,288.15,299.15,1000
24300,288.15,299.15,1000
24600,288.15,299.15,1000
24900,288.15,299.15,1000
25200,288.15,299.15,1000
25500,294.15,299.15,1000
25800,294.15,299.15,1000
26100,294.15,299.15,1000
26400,294.15,299.15,1000
26700,294.15,299.15,1000
27000,294.15,299.15,1000
27300,294.15,299.15,1000
27600,294.15,299.15,1000
27900,294.15,299.15,1000
28200,294.15,299.15,1000
28500,294.15,299.15,1000
28800,294.15,299.15,1000
29100,294.15,299.15,1000
29400,294.15,299.15,1000
29700,294.15,299.15,1000
30000,294.15,299.15,1000
30300,294.15,299.15,1000
30600,294.15,299.15,1000
30900,294.15,299.15,1000
31200,294.15,299.15,1000
31500,294.15,299.15,1000
31800,294.15,299.15,1000
32100,294.15,299.15,1000
32400,294.15,299.15,1000
32700,294.15,299.15,1000
33000,294.15,299.15,1000
33300,294.15,299.15,1000
33600,294.15,299.15,1000
33900,294.15,299.15,1000
34200,294.15,299.15,1000
