time,EmissionsElectricPower,EmissionsDistrictHeatingPower,EmissionsGasPower,EmissionsBiomassPower,EmissionsSolarThermalPower
0,0.5,NA,NA,NA,NA
3600,0.5,NA,NA,NA,NA
7200,0.5,NA,NA,NA,NA
10800,0.5,NA,NA,NA,NA
14400,0.5,NA,NA,NA,NA
18000,0.5,NA,NA,NA,NA
21600,0.5,NA,NA,NA,NA
25200,0.5,NA,NA,NA,NA
28800,0.5,NA,NA,NA,NA
32400,0.5,NA,NA,NA,NA
36000,0.5,NA,NA,NA,NA
39600,0.5,NA,NA,NA,NA
43200,0.5,NA,NA,NA,NA
46800,0.5,NA,NA,NA,NA
50400,0.5,NA,NA,NA,NA
54000,0.5,NA,NA,NA,NA
57600,0.5,NA,NA,NA,NA
61200,0.5,NA,NA,NA,NA
64800,0.5,NA,NA,NA,NA
68400,0.5,NA,NA,NA,NA
72000,0.5,NA,NA,NA,NA
75600,0.5,NA,NA,NA,NA
79200,0.5,NA,NA,NA,NA
82800,0.5,NA,NA,NA,NA
86400,0.5,NA,NA,NA,NA
90000,0.5,NA,NA,NA,NA
93600,0.5,NA,NA,NA,NA
97200,0.5,NA,NA,NA,NA
100800,0.5,NA,NA,NA,NA
104400,0.5,NA,NA,NA,NA
108000,0.5,NA,NA,NA,NA
111600,0.5,NA,NA,NA,NA
115200,0.5,NA,NA,NA,NA
118800,0.5,NA,NA,NA,NA
122400,0.5,NA,NA,NA,NA
126000,0.5,NA,NA,NA,NA
129600,0.5,NA,NA,NA,NA
133200,0.5,NA,NA,NA,NA
136800,0.5,NA,NA,NA,NA
140400,0.5,NA,NA,NA,NA
144000,0.5,NA,NA,NA,NA
147600,0.5,NA,NA,NA,NA
151200,0.5,NA,NA,NA,NA
154800,0.5,NA,NA,NA,NA
158400,0.5,NA,NA,NA,NA
162000,0.5,NA,NA,NA,NA
165600,0.5,NA,NA,NA,NA
169200,0.5,NA,NA,NA,NA
172800,0.5,NA,NA,NA,NA
176400,0.5,NA,NA,NA,NA
180000,0.5,NA,NA,NA,NA
183600,0.5,NA,NA,NA,NA
187200,0.5,NA,NA,NA,NA
190800,0.5,NA,NA,NA,NA
194400,0.5,NA,NA,NA,NA
198000,0.5,NA,NA,NA,NA
201600,0.5,NA,NA,NA,NA
205200,0.5,NA,NA,NA,NA
208800,0.5,NA,NA,NA,NA
212400,0.5,NA,NA,NA,NA
216000,0.5,NA,NA,NA,NA
219600,0.5,NA,NA,NA,NA
223200,0.5,NA,NA,NA,NA
226800,0.5,NA,NA,NA,NA
230400,0.5,NA,NA,NA,NA
234000,0.5,NA,NA,NA,NA
237600,0.5,NA,NA,NA,NA
241200,0.5,NA,NA,NA,NA
244800,0.5,NA,NA,NA,NA
248400,0.5,NA,NA,NA,NA
252000,0.5,NA,NA,NA,NA
255600,0.5,NA,NA,NA,NA
259200,0.5,NA,NA,NA,NA
262800,0.5,NA,NA,NA,NA
266400,0.5,NA,NA,NA,NA
270000,0.5,NA,NA,NA,NA
273600,0.5,NA,NA,NA,NA
277200,0.5,NA,NA,NA,NA
280800,0.5,NA,NA,NA,NA
284400,0.5,NA,NA,NA,NA
288000,0.5,NA,NA,NA,NA
291600,0.5,NA,NA,NA,NA
295200,0.5,NA,NA,NA,NA
298800,0.5,NA,NA,NA,NA
302400,0.5,NA,NA,NA,NA
306000,0.5,NA,NA,NA,NA
309600,0.5,NA,NA,NA,NA
313200,0.5,NA,NA,NA,NA
316800,0.5,NA,NA,NA,NA
320400,0.5,NA,NA,NA,NA
324000,0.5,NA,NA,NA,NA
327600,0.5,NA,NA,NA,NA
331200,0.5,NA,NA,NA,NA
334800,0.5,NA,NA,NA,NA
338400,0.5,NA,NA,NA,NA
342000,0.5,NA,NA,NA,NA
345600,0.5,NA,NA,NA,NA
349200,0.5,NA,NA,NA,NA
352800,0.5,NA,NA,NA,NA
356400,0.5,NA,NA,NA,NA
360000,0.5,NA,NA,NA,NA
363600,0.5,NA,NA,NA,NA
367200,0.5,NA,NA,NA,NA
370800,0.5,NA,NA,NA,NA
374400,0.5,NA,NA,NA,NA
378000,0.5,NA,NA,NA,NA
381600,0.5,NA,NA,NA,NA
385200,0.5,NA,NA,NA,NA
388800,0.5,NA,NA,NA,NA
392400,0.5,NA,NA,NA,NA
396000,0.5,NA,NA,NA,NA
399600,0.5,NA,NA,NA,NA
403200,0.5,NA,NA,NA,NA
406800,0.5,NA,NA,NA,NA
410400,0.5,NA,NA,NA,NA
414000,0.5,NA,NA,NA,NA
417600,0.5,NA,NA,NA,NA
421200,0.5,NA,NA,NA,NA
424800,0.5,NA,NA,NA,NA
428400,0.5,NA,NA,NA,NA
432000,0.5,NA,NA,NA,NA
435600,0.5,NA,NA,NA,NA
439200,0.5,NA,NA,NA,NA
442800,0.5,NA,NA,NA,NA
446400,0.5,NA,NA,NA,NA
450000,0.5,NA,NA,NA,NA
453600,0.5,NA,NA,NA,NA
457200,0.5,NA,NA,NA,NA
460800,0.5,NA,NA,NA,NA
464400,0.5,NA,NA,NA,NA
468000,0.5,NA,NA,NA,NA
471600,0.5,NA,NA,NA,NA
475200,0.5,NA,NA,NA,NA
478800,0.5,NA,NA,NA,NA
482400,0.5,NA,NA,NA,NA
486000,0.5,NA,NA,NA,NA
489600,0.5,NA,NA,NA,NA
493200,0.5,NA,NA,NA,NA
496800,0.5,NA,NA,NA,NA
500400,0.5,NA,NA,NA,NA
504000,0.5,NA,NA,NA,NA
507600,0.5,NA,NA,NA,NA
511200,0.5,NA,NA,NA,NA
514800,0.5,NA,NA,NA,NA
518400,0.5,NA,NA,NA,NA
522000,0.5,NA,NA,NA,NA
525600,0.5,NA,NA,NA,NA
529200,0.5,NA,NA,NA,NA
532800,0.5,NA,NA,NA,NA
536400,0.5,NA,NA,NA,NA
540000,0.5,NA,NA,NA,NA
543600,0.5,NA,NA,NA,NA
547200,0.5,NA,NA,NA,NA
550800,0.5,NA,NA,NA,NA
554400,0.5,NA,NA,NA,NA
558000,0.5,NA,NA,NA,NA
561600,0.5,NA,NA,NA,NA
565200,0.5,NA,NA,NA,NA
568800,0.5,NA,NA,NA,NA
572400,0.5,NA,NA,NA,NA
576000,0.5,NA,NA,NA,NA
579600,0.5,NA,NA,NA,NA
583200,0.5,NA,NA,NA,NA
586800,0.5,NA,NA,NA,NA
590400,0.5,NA,NA,NA,NA
594000,0.5,NA,NA,NA,NA
597600,0.5,NA,NA,NA,NA
601200,0.5,NA,NA,NA,NA
604800,0.5,NA,NA,NA,NA
608400,0.5,NA,NA,NA,NA
612000,0.5,NA,NA,NA,NA
615600,0.5,NA,NA,NA,NA
619200,0.5,NA,NA,NA,NA
622800,0.5,NA,NA,NA,NA
626400,0.5,NA,NA,NA,NA
630000,0.5,NA,NA,NA,NA
633600,0.5,NA,NA,NA,NA
637200,0.5,NA,NA,NA,NA
640800,0.5,NA,NA,NA,NA
644400,0.5,NA,NA,NA,NA
648000,0.5,NA,NA,NA,NA
651600,0.5,NA,NA,NA,NA
655200,0.5,NA,NA,NA,NA
658800,0.5,NA,NA,NA,NA
662400,0.5,NA,NA,NA,NA
666000,0.5,NA,NA,NA,NA
669600,0.5,NA,NA,NA,NA
673200,0.5,NA,NA,NA,NA
676800,0.5,NA,NA,NA,NA
680400,0.5,NA,NA,NA,NA
684000,0.5,NA,NA,NA,NA
687600,0.5,NA,NA,NA,NA
691200,0.5,NA,NA,NA,NA
694800,0.5,NA,NA,NA,NA
698400,0.5,NA,NA,NA,NA
702000,0.5,NA,NA,NA,NA
705600,0.5,NA,NA,NA,NA
709200,0.5,NA,NA,NA,NA
712800,0.5,NA,NA,NA,NA
716400,0.5,NA,NA,NA,NA
720000,0.5,NA,NA,NA,NA
723600,0.5,NA,NA,NA,NA
727200,0.5,NA,NA,NA,NA
730800,0.5,NA,NA,NA,NA
734400,0.5,NA,NA,NA,NA
738000,0.5,NA,NA,NA,NA
741600,0.5,NA,NA,NA,NA
745200,0.5,NA,NA,NA,NA
748800,0.5,NA,NA,NA,NA
752400,0.5,NA,NA,NA,NA
756000,0.5,NA,NA,NA,NA
759600,0.5,NA,NA,NA,NA
763200,0.5,NA,NA,NA,NA
766800,0.5,NA,NA,NA,NA
770400,0.5,NA,NA,NA,NA
774000,0.5,NA,NA,NA,NA
777600,0.5,NA,NA,NA,NA
781200,0.5,NA,NA,NA,NA
784800,0.5,NA,NA,NA,NA
788400,0.5,NA,NA,NA,NA
792000,0.5,NA,NA,NA,NA
795600,0.5,NA,NA,NA,NA
799200,0.5,NA,NA,NA,NA
802800,0.5,NA,NA,NA,NA
806400,0.5,NA,NA,NA,NA
810000,0.5,NA,NA,NA,NA
813600,0.5,NA,NA,NA,NA
817200,0.5,NA,NA,NA,NA
820800,0.5,NA,NA,NA,NA
824400,0.5,NA,NA,NA,NA
828000,0.5,NA,NA,NA,NA
831600,0.5,NA,NA,NA,NA
835200,0.5,NA,NA,NA,NA
838800,0.5,NA,NA,NA,NA
842400,0.5,NA,NA,NA,NA
846000,0.5,NA,NA,NA,NA
849600,0.5,NA,NA,NA,NA
853200,0.5,NA,NA,NA,NA
856800,0.5,NA,NA,NA,NA
860400,0.5,NA,NA,NA,NA
864000,0.5,NA,NA,NA,NA
867600,0.5,NA,NA,NA,NA
871200,0.5,NA,NA,NA,NA
874800,0.5,NA,NA,NA,NA
878400,0.5,NA,NA,NA,NA
882000,0.5,NA,NA,NA,NA
885600,0.5,NA,NA,NA,NA
889200,0.5,NA,NA,NA,NA
892800,0.5,NA,NA,NA,NA
896400,0.5,NA,NA,NA,NA
900000,0.5,NA,NA,NA,NA
903600,0.5,NA,NA,NA,NA
907200,0.5,NA,NA,NA,NA
910800,0.5,NA,NA,NA,NA
914400,0.5,NA,NA,NA,NA
918000,0.5,NA,NA,NA,NA
921600,0.5,NA,NA,NA,NA
925200,0.5,NA,NA,NA,NA
