time,InternalGainsRad[1],InternalGainsCon[1],InternalGainsLat[1]
0,28.8,19.2,9.6
3600,28.8,19.2,9.6
7200,28.8,19.2,9.6
10800,28.8,19.2,9.6
14400,28.8,19.2,9.6
18000,28.8,19.2,9.6
21600,28.8,19.2,9.6
25200,28.8,19.2,9.6
28800,288,192,96
32400,288,192,96
36000,288,192,96
39600,288,192,96
43200,288,192,96
46800,288,192,96
50400,288,192,96
54000,288,192,96
57600,288,192,96
61200,288,192,96
64800,28.8,19.2,9.6
68400,28.8,19.2,9.6
72000,28.8,19.2,9.6
75600,28.8,19.2,9.6
79200,28.8,19.2,9.6
82800,28.8,19.2,9.6
86400,28.8,19.2,9.6
90000,28.8,19.2,9.6
93600,28.8,19.2,9.6
97200,28.8,19.2,9.6
100800,28.8,19.2,9.6
104400,28.8,19.2,9.6
108000,28.8,19.2,9.6
111600,28.8,19.2,9.6
115200,288,192,96
118800,288,192,96
122400,288,192,96
126000,288,192,96
129600,288,192,96
133200,288,192,96
136800,288,192,96
140400,288,192,96
144000,288,192,96
147600,288,192,96
151200,28.8,19.2,9.6
154800,28.8,19.2,9.6
158400,28.8,19.2,9.6
162000,28.8,19.2,9.6
165600,28.8,19.2,9.6
169200,28.8,19.2,9.6
172800,28.8,19.2,9.6
176400,28.8,19.2,9.6
180000,28.8,19.2,9.6
183600,28.8,19.2,9.6
187200,28.8,19.2,9.6
190800,28.8,19.2,9.6
194400,28.8,19.2,9.6
198000,28.8,19.2,9.6
201600,288,192,96
205200,288,192,96
208800,288,192,96
212400,288,192,96
216000,288,192,96
219600,288,192,96
223200,288,192,96
226800,288,192,96
230400,288,192,96
234000,288,192,96
237600,28.8,19.2,9.6
241200,28.8,19.2,9.6
244800,28.8,19.2,9.6
248400,28.8,19.2,9.6
252000,28.8,19.2,9.6
255600,28.8,19.2,9.6
259200,28.8,19.2,9.6
262800,28.8,19.2,9.6
266400,28.8,19.2,9.6
270000,28.8,19.2,9.6
273600,28.8,19.2,9.6
277200,28.8,19.2,9.6
280800,28.8,19.2,9.6
284400,28.8,19.2,9.6
288000,288,192,96
291600,288,192,96
295200,288,192,96
298800,288,192,96
302400,288,192,96
306000,288,192,96
309600,288,192,96
313200,288,192,96
316800,288,192,96
320400,288,192,96
324000,28.8,19.2,9.6
327600,28.8,19.2,9.6
331200,28.8,19.2,9.6
334800,28.8,19.2,9.6
338400,28.8,19.2,9.6
342000,28.8,19.2,9.6
345600,28.8,19.2,9.6
349200,28.8,19.2,9.6
352800,28.8,19.2,9.6
356400,28.8,19.2,9.6
360000,28.8,19.2,9.6
363600,28.8,19.2,9.6
367200,28.8,19.2,9.6
370800,28.8,19.2,9.6
374400,288,192,96
378000,288,192,96
381600,288,192,96
385200,288,192,96
388800,288,192,96
392400,288,192,96
396000,288,192,96
399600,288,192,96
403200,288,192,96
406800,288,192,96
410400,28.8,19.2,9.6
414000,28.8,19.2,9.6
417600,28.8,19.2,9.6
421200,28.8,19.2,9.6
424800,28.8,19.2,9.6
428400,28.8,19.2,9.6
432000,28.8,19.2,9.6
435600,28.8,19.2,9.6
439200,28.8,19.2,9.6
442800,28.8,19.2,9.6
446400,28.8,19.2,9.6
450000,28.8,19.2,9.6
453600,28.8,19.2,9.6
457200,28.8,19.2,9.6
460800,288,192,96
464400,288,192,96
468000,288,192,96
471600,288,192,96
475200,288,192,96
478800,288,192,96
482400,288,192,96
486000,288,192,96
489600,288,192,96
493200,288,192,96
496800,28.8,19.2,9.6
500400,28.8,19.2,9.6
504000,28.8,19.2,9.6
507600,28.8,19.2,9.6
511200,28.8,19.2,9.6
514800,28.8,19.2,9.6
518400,28.8,19.2,9.6
522000,28.8,19.2,9.6
525600,28.8,19.2,9.6
529200,28.8,19.2,9.6
532800,28.8,19.2,9.6
536400,28.8,19.2,9.6
540000,28.8,19.2,9.6
543600,28.8,19.2,9.6
547200,288,192,96
550800,288,192,96
554400,288,192,96
558000,288,192,96
561600,288,192,96
565200,288,192,96
568800,288,192,96
572400,288,192,96
576000,288,192,96
579600,288,192,96
583200,28.8,19.2,9.6
586800,28.8,19.2,9.6
590400,28.8,19.2,9.6
594000,28.8,19.2,9.6
597600,28.8,19.2,9.6
601200,28.8,19.2,9.6
604800,28.8,19.2,9.6
608400,28.8,19.2,9.6
612000,28.8,19.2,9.6
615600,28.8,19.2,9.6
619200,28.8,19.2,9.6
622800,28.8,19.2,9.6
626400,28.8,19.2,9.6
630000,28.8,19.2,9.6
633600,288,192,96
637200,288,192,96
640800,288,192,96
644400,288,192,96
648000,288,192,96
651600,288,192,96
655200,288,192,96
658800,288,192,96
662400,288,192,96
666000,288,192,96
669600,28.8,19.2,9.6
673200,28.8,19.2,9.6
676800,28.8,19.2,9.6
680400,28.8,19.2,9.6
684000,28.8,19.2,9.6
687600,28.8,19.2,9.6
691200,28.8,19.2,9.6
694800,28.8,19.2,9.6
698400,28.8,19.2,9.6
702000,28.8,19.2,9.6
705600,28.8,19.2,9.6
709200,28.8,19.2,9.6
712800,28.8,19.2,9.6
716400,28.8,19.2,9.6
720000,288,192,96
723600,288,192,96
727200,288,192,96
730800,288,192,96
734400,288,192,96
738000,288,192,96
741600,288,192,96
745200,288,192,96
748800,288,192,96
752400,288,192,96
756000,28.8,19.2,9.6
759600,28.8,19.2,9.6
763200,28.8,19.2,9.6
766800,28.8,19.2,9.6
770400,28.8,19.2,9.6
774000,28.8,19.2,9.6
777600,28.8,19.2,9.6
781200,28.8,19.2,9.6
784800,28.8,19.2,9.6
788400,28.8,19.2,9.6
792000,28.8,19.2,9.6
795600,28.8,19.2,9.6
799200,28.8,19.2,9.6
802800,28.8,19.2,9.6
806400,288,192,96
810000,288,192,96
813600,288,192,96
817200,288,192,96
820800,288,192,96
824400,288,192,96
828000,288,192,96
831600,288,192,96
835200,288,192,96
838800,288,192,96
842400,28.8,19.2,9.6
846000,28.8,19.2,9.6
849600,28.8,19.2,9.6
853200,28.8,19.2,9.6
856800,28.8,19.2,9.6
860400,28.8,19.2,9.6
864000,28.8,19.2,9.6
867600,28.8,19.2,9.6
871200,28.8,19.2,9.6
874800,28.8,19.2,9.6
878400,28.8,19.2,9.6
882000,28.8,19.2,9.6
885600,28.8,19.2,9.6
889200,28.8,19.2,9.6
892800,288,192,96
896400,288,192,96
900000,288,192,96
903600,288,192,96
907200,288,192,96
910800,288,192,96
914400,288,192,96
918000,288,192,96
921600,288,192,96
925200,288,192,96
928800,28.8,19.2,9.6
932400,28.8,19.2,9.6
936000,28.8,19.2,9.6
939600,28.8,19.2,9.6
943200,28.8,19.2,9.6
946800,28.8,19.2,9.6
950400,28.8,19.2,9.6
954000,28.8,19.2,9.6
957600,28.8,19.2,9.6
961200,28.8,19.2,9.6
964800,28.8,19.2,9.6
968400,28.8,19.2,9.6
972000,28.8,19.2,9.6
975600,28.8,19.2,9.6
979200,288,192,96
982800,288,192,96
986400,288,192,96
990000,288,192,96
993600,288,192,96
997200,288,192,96
1000800,288,192,96
1004400,288,192,96
1008000,288,192,96
1011600,288,192,96
1015200,28.8,19.2,9.6
1018800,28.8,19.2,9.6
1022400,28.8,19.2,9.6
1026000,28.8,19.2,9.6
1029600,28.8,19.2,9.6
1033200,28.8,19.2,9.6
1036800,28.8,19.2,9.6
1040400,28.8,19.2,9.6
1044000,28.8,19.2,9.6
1047600,28.8,19.2,9.6
1051200,28.8,19.2,9.6
1054800,28.8,19.2,9.6
1058400,28.8,19.2,9.6
1062000,28.8,19.2,9.6
1065600,288,192,96
1069200,288,192,96
1072800,288,192,96
1076400,288,192,96
1080000,288,192,96
1083600,288,192,96
1087200,288,192,96
1090800,288,192,96
1094400,288,192,96
1098000,288,192,96
1101600,28.8,19.2,9.6
1105200,28.8,19.2,9.6
1108800,28.8,19.2,9.6
1112400,28.8,19.2,9.6
1116000,28.8,19.2,9.6
1119600,28.8,19.2,9.6
1123200,28.8,19.2,9.6
1126800,28.8,19.2,9.6
1130400,28.8,19.2,9.6
1134000,28.8,19.2,9.6
1137600,28.8,19.2,9.6
1141200,28.8,19.2,9.6
1144800,28.8,19.2,9.6
1148400,28.8,19.2,9.6
1152000,288,192,96
1155600,288,192,96
1159200,288,192,96
1162800,288,192,96
1166400,288,192,96
1170000,288,192,96
1173600,288,192,96
1177200,288,192,96
1180800,288,192,96
1184400,288,192,96
1188000,28.8,19.2,9.6
1191600,28.8,19.2,9.6
1195200,28.8,19.2,9.6
1198800,28.8,19.2,9.6
1202400,28.8,19.2,9.6
1206000,28.8,19.2,9.6
1209600,28.8,19.2,9.6
1213200,28.8,19.2,9.6
1216800,28.8,19.2,9.6
1220400,28.8,19.2,9.6
1224000,28.8,19.2,9.6
1227600,28.8,19.2,9.6
1231200,28.8,19.2,9.6
1234800,28.8,19.2,9.6
1238400,288,192,96
1242000,288,192,96
1245600,288,192,96
1249200,288,192,96
1252800,288,192,96
1256400,288,192,96
1260000,288,192,96
1263600,288,192,96
1267200,288,192,96
1270800,288,192,96
1274400,28.8,19.2,9.6
1278000,28.8,19.2,9.6
1281600,28.8,19.2,9.6
