time,LowerSetp[1],UpperSetp[1],UpperCO2[1]
0,295.15,296.15,894
3600,295.15,296.15,894
7200,295.15,296.15,894
10800,295.15,296.15,894
14400,295.15,296.15,894
18000,295.15,296.15,894
21600,295.15,296.15,894
25200,295.15,296.15,894
28800,295.15,296.15,894
32400,295.15,296.15,894
36000,295.15,296.15,894
39600,295.15,296.15,894
43200,295.15,296.15,894
46800,295.15,296.15,894
50400,295.15,296.15,894
54000,295.15,296.15,894
57600,295.15,296.15,894
61200,295.15,296.15,894
64800,295.15,296.15,894
68400,295.15,296.15,894
72000,295.15,296.15,894
75600,295.15,296.15,894
79200,295.15,296.15,894
82800,295.15,296.15,894
86400,295.15,296.15,894
90000,295.15,296.15,894
93600,295.15,296.15,894
97200,295.15,296.15,894
100800,295.15,296.15,894
104400,295.15,296.15,894
108000,295.15,296.15,894
111600,295.15,296.15,894
115200,295.15,296.15,894
118800,295.15,296.15,894
122400,295.15,296.15,894
126000,295.15,296.15,894
129600,295.15,296.15,894
133200,295.15,296.15,894
136800,295.15,296.15,894
140400,295.15,296.15,894
144000,295.15,296.15,894
147600,295.15,296.15,894
151200,295.15,296.15,894
154800,295.15,296.15,894
158400,295.15,296.15,894
162000,295.15,296.15,894
165600,295.15,296.15,894
169200,295.15,296.15,894
172800,295.15,296.15,894
176400,295.15,296.15,894
180000,295.15,296.15,894
183600,295.15,296.15,894
187200,295.15,296.15,894
190800,295.15,296.15,894
194400,295.15,296.15,894
198000,295.15,296.15,894
201600,295.15,296.15,894
205200,295.15,296.15,894
208800,295.15,296.15,894
212400,295.15,296.15,894
216000,295.15,296.15,894
219600,295.15,296.15,894
223200,295.15,296.15,894
226800,295.15,296.15,894
230400,295.15,296.15,894
234000,295.15,296.15,894
237600,295.15,296.15,894
241200,295.15,296.15,894
244800,295.15,296.15,894
248400,295.15,296.15,894
252000,295.15,296.15,894
255600,295.15,296.15,894
259200,295.15,296.15,894
262800,295.15,296.15,894
266400,295.15,296.15,894
270000,295.15,296.15,894
273600,295.15,296.15,894
277200,295.15,296.15,894
280800,295.15,296.15,894
284400,295.15,296.15,894
288000,295.15,296.15,894
291600,295.15,296.15,894
295200,295.15,296.15,894
298800,295.15,296.15,894
302400,295.15,296.15,894
306000,295.15,296.15,894
309600,295.15,296.15,894
313200,295.15,296.15,894
316800,295.15,296.15,894
320400,295.15,296.15,894
324000,295.15,296.15,894
327600,295.15,296.15,894
331200,295.15,296.15,894
334800,295.15,296.15,894
338400,295.15,296.15,894
342000,295.15,296.15,894
345600,295.15,296.15,894
349200,295.15,296.15,894
352800,295.15,296.15,894
356400,295.15,296.15,894
360000,295.15,296.15,894
363600,295.15,296.15,894
367200,295.15,296.15,894
370800,295.15,296.15,894
374400,295.15,296.15,894
378000,295.15,296.15,894
381600,295.15,296.15,894
385200,295.15,296.15,894
388800,295.15,296.15,894
392400,295.15,296.15,894
396000,295.15,296.15,894
399600,295.15,296.15,894
403200,295.15,296.15,894
406800,295.15,296.15,894
410400,295.15,296.15,894
414000,295.15,296.15,894
417600,295.15,296.15,894
421200,295.15,296.15,894
424800,295.15,296.15,894
428400,295.15,296.15,894
432000,295.15,296.15,894
435600,295.15,296.15,894
439200,295.15,296.15,894
442800,295.15,296.15,894
446400,295.15,296.15,894
450000,295.15,296.15,894
453600,295.15,296.15,894
457200,295.15,296.15,894
460800,295.15,296.15,894
464400,295.15,296.15,894
468000,295.15,296.15,894
471600,295.15,296.15,894
475200,295.15,296.15,894
478800,295.15,296.15,894
482400,295.15,296.15,894
486000,295.15,296.15,894
489600,295.15,296.15,894
493200,295.15,296.15,894
496800,295.15,296.15,894
500400,295.15,296.15,894
504000,295.15,296.15,894
507600,295.15,296.15,894
511200,295.15,296.15,894
514800,295.15,296.15,894
518400,295.15,296.15,894
522000,295.15,296.15,894
525600,295.15,296.15,894
529200,295.15,296.15,894
