# Optional header information,,,,,,
# time: time of setpoint [s],,,,,,
# LowerSetp: Heating zone temperature setpoint [K],,,,,,
# UpperSetp: Cooling zone temperature setpoint [K],,,,,,
# UpperCO2: Zone CO2 concentration upper limit [ppm],,,,,,
time,LowerSetp[South],UpperSetp[South],UpperCO2[South],LowerSetp[North],UpperSetp[North],UpperCO2[North]
0,293.15,296.15,894,294.15,297.15,994
3600,293.15,296.15,894,294.15,297.15,994
7200,293.15,296.15,894,294.15,297.15,994
10800,293.15,296.15,894,294.15,297.15,994
14400,293.15,296.15,894,294.15,297.15,994
18000,293.15,296.15,894,294.15,297.15,994
21600,293.15,296.15,894,294.15,297.15,994
25200,293.15,296.15,894,294.15,297.15,994
28800,293.15,296.15,894,294.15,297.15,994
32400,293.15,296.15,894,294.15,297.15,994
36000,293.15,296.15,894,294.15,297.15,994
39600,293.15,296.15,894,294.15,297.15,994
43200,293.15,296.15,894,294.15,297.15,994
46800,293.15,296.15,894,294.15,297.15,994
50400,293.15,296.15,894,294.15,297.15,994
54000,293.15,296.15,894,294.15,297.15,994
57600,293.15,296.15,894,294.15,297.15,994
61200,293.15,296.15,894,294.15,297.15,994
64800,293.15,296.15,894,294.15,297.15,994
68400,293.15,296.15,894,294.15,297.15,994
72000,293.15,296.15,894,294.15,297.15,994
75600,293.15,296.15,894,294.15,297.15,994
79200,293.15,296.15,894,294.15,297.15,994
82800,293.15,296.15,894,294.15,297.15,994
86400,293.15,296.15,894,294.15,297.15,994
90000,293.15,296.15,894,294.15,297.15,994
93600,293.15,296.15,894,294.15,297.15,994
97200,293.15,296.15,894,294.15,297.15,994
100800,293.15,296.15,894,294.15,297.15,994
104400,293.15,296.15,894,294.15,297.15,994
108000,293.15,296.15,894,294.15,297.15,994
111600,293.15,296.15,894,294.15,297.15,994
115200,293.15,296.15,894,294.15,297.15,994
118800,293.15,296.15,894,294.15,297.15,994
122400,293.15,296.15,894,294.15,297.15,994
126000,293.15,296.15,894,294.15,297.15,994
129600,293.15,296.15,894,294.15,297.15,994
133200,293.15,296.15,894,294.15,297.15,994
136800,293.15,296.15,894,294.15,297.15,994
140400,293.15,296.15,894,294.15,297.15,994
144000,293.15,296.15,894,294.15,297.15,994
147600,293.15,296.15,894,294.15,297.15,994
151200,293.15,296.15,894,294.15,297.15,994
154800,293.15,296.15,894,294.15,297.15,994
158400,293.15,296.15,894,294.15,297.15,994
162000,293.15,296.15,894,294.15,297.15,994
165600,293.15,296.15,894,294.15,297.15,994
169200,293.15,296.15,894,294.15,297.15,994
172800,293.15,296.15,894,294.15,297.15,994
176400,293.15,296.15,894,294.15,297.15,994
180000,293.15,296.15,894,294.15,297.15,994
183600,293.15,296.15,894,294.15,297.15,994
187200,293.15,296.15,894,294.15,297.15,994
190800,293.15,296.15,894,294.15,297.15,994
194400,293.15,296.15,894,294.15,297.15,994
198000,293.15,296.15,894,294.15,297.15,994
201600,293.15,296.15,894,294.15,297.15,994
205200,293.15,296.15,894,294.15,297.15,994
208800,293.15,296.15,894,294.15,297.15,994
212400,293.15,296.15,894,294.15,297.15,994
216000,293.15,296.15,894,294.15,297.15,994
219600,293.15,296.15,894,294.15,297.15,994
223200,293.15,296.15,894,294.15,297.15,994
226800,293.15,296.15,894,294.15,297.15,994
230400,293.15,296.15,894,294.15,297.15,994
234000,293.15,296.15,894,294.15,297.15,994
237600,293.15,296.15,894,294.15,297.15,994
241200,293.15,296.15,894,294.15,297.15,994
244800,293.15,296.15,894,294.15,297.15,994
248400,293.15,296.15,894,294.15,297.15,994
252000,293.15,296.15,894,294.15,297.15,994
255600,293.15,296.15,894,294.15,297.15,994
259200,293.15,296.15,894,294.15,297.15,994
262800,293.15,296.15,894,294.15,297.15,994
266400,293.15,296.15,894,294.15,297.15,994
270000,293.15,296.15,894,294.15,297.15,994
273600,293.15,296.15,894,294.15,297.15,994
277200,293.15,296.15,894,294.15,297.15,994
280800,293.15,296.15,894,294.15,297.15,994
284400,293.15,296.15,894,294.15,297.15,994
288000,293.15,296.15,894,294.15,297.15,994
291600,293.15,296.15,894,294.15,297.15,994
295200,293.15,296.15,894,294.15,297.15,994
298800,293.15,296.15,894,294.15,297.15,994
302400,293.15,296.15,894,294.15,297.15,994
306000,293.15,296.15,894,294.15,297.15,994
309600,293.15,296.15,894,294.15,297.15,994
313200,293.15,296.15,894,294.15,297.15,994
316800,293.15,296.15,894,294.15,297.15,994
320400,293.15,296.15,894,294.15,297.15,994
324000,293.15,296.15,894,294.15,297.15,994
327600,293.15,296.15,894,294.15,297.15,994
331200,293.15,296.15,894,294.15,297.15,994
334800,293.15,296.15,894,294.15,297.15,994
338400,293.15,296.15,894,294.15,297.15,994
342000,293.15,296.15,894,294.15,297.15,994
345600,293.15,296.15,894,294.15,297.15,994
349200,293.15,296.15,894,294.15,297.15,994
352800,293.15,296.15,894,294.15,297.15,994
356400,293.15,296.15,894,294.15,297.15,994
360000,293.15,296.15,894,294.15,297.15,994
363600,293.15,296.15,894,294.15,297.15,994
367200,293.15,296.15,894,294.15,297.15,994
370800,293.15,296.15,894,294.15,297.15,994
374400,293.15,296.15,894,294.15,297.15,994
378000,293.15,296.15,894,294.15,297.15,994
381600,293.15,296.15,894,294.15,297.15,994
385200,293.15,296.15,894,294.15,297.15,994
388800,293.15,296.15,894,294.15,297.15,994
392400,293.15,296.15,894,294.15,297.15,994
396000,293.15,296.15,894,294.15,297.15,994
399600,293.15,296.15,894,294.15,297.15,994
403200,293.15,296.15,894,294.15,297.15,994
406800,293.15,296.15,894,294.15,297.15,994
410400,293.15,296.15,894,294.15,297.15,994
414000,293.15,296.15,894,294.15,297.15,994
417600,293.15,296.15,894,294.15,297.15,994
421200,293.15,296.15,894,294.15,297.15,994
424800,293.15,296.15,894,294.15,297.15,994
428400,293.15,296.15,894,294.15,297.15,994
432000,293.15,296.15,894,294.15,297.15,994
435600,293.15,296.15,894,294.15,297.15,994
439200,293.15,296.15,894,294.15,297.15,994
442800,293.15,296.15,894,294.15,297.15,994
446400,293.15,296.15,894,294.15,297.15,994
450000,293.15,296.15,894,294.15,297.15,994
453600,293.15,296.15,894,294.15,297.15,994
457200,293.15,296.15,894,294.15,297.15,994
460800,293.15,296.15,894,294.15,297.15,994
464400,293.15,296.15,894,294.15,297.15,994
468000,293.15,296.15,894,294.15,297.15,994
471600,293.15,296.15,894,294.15,297.15,994
475200,293.15,296.15,894,294.15,297.15,994
478800,293.15,296.15,894,294.15,297.15,994
482400,293.15,296.15,894,294.15,297.15,994
486000,293.15,296.15,894,294.15,297.15,994
489600,293.15,296.15,894,294.15,297.15,994
