time,InternalGains[0],InternalGains[1],InternalGains[2],InternalGains[3],InternalGains[4]
0,984.6715328,131.4155109,207.580292,207.580292,131.4155109
900,984.6715328,131.4155109,207.580292,207.580292,131.4155109
1800,984.6715328,131.4155109,207.580292,207.580292,131.4155109
2700,984.6715328,131.4155109,207.580292,207.580292,131.4155109
3600,984.6715328,131.4155109,207.580292,207.580292,131.4155109
4500,984.6715328,131.4155109,207.580292,207.580292,131.4155109
5400,984.6715328,131.4155109,207.580292,207.580292,131.4155109
6300,984.6715328,131.4155109,207.580292,207.580292,131.4155109
7200,984.6715328,131.4155109,207.580292,207.580292,131.4155109
8100,984.6715328,131.4155109,207.580292,207.580292,131.4155109
9000,984.6715328,131.4155109,207.580292,207.580292,131.4155109
9900,984.6715328,131.4155109,207.580292,207.580292,131.4155109
10800,984.6715328,131.4155109,207.580292,207.580292,131.4155109
11700,984.6715328,131.4155109,207.580292,207.580292,131.4155109
12600,984.6715328,131.4155109,207.580292,207.580292,131.4155109
13500,984.6715328,131.4155109,207.580292,207.580292,131.4155109
14400,984.6715328,131.4155109,207.580292,207.580292,131.4155109
15300,984.6715328,131.4155109,207.580292,207.580292,131.4155109
16200,984.6715328,131.4155109,207.580292,207.580292,131.4155109
17100,984.6715328,131.4155109,207.580292,207.580292,131.4155109
18000,984.6715328,131.4155109,207.580292,207.580292,131.4155109
18900,984.6715328,131.4155109,207.580292,207.580292,131.4155109
19800,984.6715328,131.4155109,207.580292,207.580292,131.4155109
20700,984.6715328,131.4155109,207.580292,207.580292,131.4155109
21600,984.6715328,131.4155109,207.580292,207.580292,131.4155109
22500,984.6715328,131.4155109,207.580292,207.580292,131.4155109
23400,984.6715328,131.4155109,207.580292,207.580292,131.4155109
24300,984.6715328,131.4155109,207.580292,207.580292,131.4155109
25200,984.6715328,131.4155109,207.580292,207.580292,131.4155109
26100,984.6715328,131.4155109,207.580292,207.580292,131.4155109
27000,984.6715328,131.4155109,207.580292,207.580292,131.4155109
27900,984.6715328,131.4155109,207.580292,207.580292,131.4155109
28800,984.6715328,131.4155109,207.580292,207.580292,131.4155109
29700,5169.525547,689.9314325,1089.796533,1089.796533,689.9314325
30600,9354.379562,1248.447354,1972.012774,1972.012774,1248.447354
31500,13539.23358,1806.963276,2854.229015,2854.229015,1806.963276
32400,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
33300,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
34200,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
35100,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
36000,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
36900,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
37800,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
38700,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
39600,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
40500,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
41400,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
42300,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
43200,17724.08759,2365.479197,3736.445255,3736.445255,2365.479197
44100,15754.74453,2102.648175,3321.284672,3321.284672,2102.648175
45000,15754.74453,2102.648175,3321.284672,3321.284672,2102.648175
45900,15754.74453,2102.648175,3321.284672,3321.284672,2102.648175
46800,15754.74453,2102.648175,3321.284672,3321.284672,2102.648175
47700,19693.43066,2628.310219,4151.605839,4151.605839,2628.310219
48600,19693.43066,2628.310219,4151.605839,4151.605839,2628.310219
49500,19693.43066,2628.310219,4151.605839,4151.605839,2628.310219
50400,19693.43066,2628.310219,4151.605839,4151.605839,2628.310219
51300,19693.43066,2628.310219,4151.605839,4151.605839,2628.310219
52200,19693.43066,2628.310219,4151.605839,4151.605839,2628.310219
53100,19693.43066,2628.310219,4151.605839,4151.605839,2628.310219
54000,19693.43066,2628.310219,4151.605839,4151.605839,2628.310219
54900,19693.43066,2628.310219,4151.605839,4151.605839,2628.310219
