# time: time of emissions factor [s],,
# EmissionsElectricPower: Emissions factor of electric poweer [kgCO2-e/kWh],,
# EmissionsGasPower: Emissions factor of ga powers [kgCO2-e/kWh],,
time,EmissionsElectricPower,EmissionsGasPower
0,0.340194,0.18108
900,0.340194,0.18108
1800,0.340194,0.18108
2700,0.340194,0.18108
3600,0.340194,0.18108
4500,0.340194,0.18108
5400,0.340194,0.18108
6300,0.340194,0.18108
7200,0.340194,0.18108
8100,0.340194,0.18108
9000,0.340194,0.18108
9900,0.340194,0.18108
10800,0.340194,0.18108
11700,0.340194,0.18108
12600,0.340194,0.18108
13500,0.340194,0.18108
14400,0.340194,0.18108
15300,0.340194,0.18108
16200,0.340194,0.18108
17100,0.340194,0.18108
18000,0.340194,0.18108
18900,0.340194,0.18108
19800,0.340194,0.18108
20700,0.340194,0.18108
21600,0.340194,0.18108
22500,0.340194,0.18108
23400,0.340194,0.18108
24300,0.340194,0.18108
25200,0.340194,0.18108
26100,0.340194,0.18108
27000,0.340194,0.18108
27900,0.340194,0.18108
28800,0.340194,0.18108
29700,0.340194,0.18108
30600,0.340194,0.18108
31500,0.340194,0.18108
32400,0.340194,0.18108
33300,0.340194,0.18108
34200,0.340194,0.18108
35100,0.340194,0.18108
36000,0.340194,0.18108
36900,0.340194,0.18108
37800,0.340194,0.18108
38700,0.340194,0.18108
39600,0.340194,0.18108
40500,0.340194,0.18108
41400,0.340194,0.18108
42300,0.340194,0.18108
43200,0.340194,0.18108
44100,0.340194,0.18108
45000,0.340194,0.18108
45900,0.340194,0.18108
46800,0.340194,0.18108
47700,0.340194,0.18108
48600,0.340194,0.18108
49500,0.340194,0.18108
50400,0.340194,0.18108
51300,0.340194,0.18108
52200,0.340194,0.18108
53100,0.340194,0.18108
54000,0.340194,0.18108
54900,0.340194,0.18108
55800,0.340194,0.18108
56700,0.340194,0.18108
57600,0.340194,0.18108
58500,0.340194,0.18108
59400,0.340194,0.18108
60300,0.340194,0.18108
61200,0.340194,0.18108
62100,0.340194,0.18108
63000,0.340194,0.18108
63900,0.340194,0.18108
64800,0.340194,0.18108
65700,0.340194,0.18108
66600,0.340194,0.18108
67500,0.340194,0.18108
68400,0.340194,0.18108
69300,0.340194,0.18108
70200,0.340194,0.18108
71100,0.340194,0.18108
72000,0.340194,0.18108
72900,0.340194,0.18108
73800,0.340194,0.18108
74700,0.340194,0.18108
75600,0.340194,0.18108
76500,0.340194,0.18108
77400,0.340194,0.18108
78300,0.340194,0.18108
79200,0.340194,0.18108
80100,0.340194,0.18108
81000,0.340194,0.18108
81900,0.340194,0.18108
82800,0.340194,0.18108
83700,0.340194,0.18108
84600,0.340194,0.18108
85500,0.340194,0.18108
86400,0.340194,0.18108
87300,0.340194,0.18108
88200,0.340194,0.18108
89100,0.340194,0.18108
90000,0.340194,0.18108
90900,0.340194,0.18108
91800,0.340194,0.18108
92700,0.340194,0.18108
93600,0.340194,0.18108
94500,0.340194,0.18108
95400,0.340194,0.18108
96300,0.340194,0.18108
97200,0.340194,0.18108
98100,0.340194,0.18108
99000,0.340194,0.18108
99900,0.340194,0.18108
100800,0.340194,0.18108
101700,0.340194,0.18108
102600,0.340194,0.18108
103500,0.340194,0.18108
104400,0.340194,0.18108
105300,0.340194,0.18108
106200,0.340194,0.18108
107100,0.340194,0.18108
108000,0.340194,0.18108
108900,0.340194,0.18108
109800,0.340194,0.18108
110700,0.340194,0.18108
111600,0.340194,0.18108
112500,0.340194,0.18108
113400,0.340194,0.18108
114300,0.340194,0.18108
115200,0.340194,0.18108
116100,0.340194,0.18108
117000,0.340194,0.18108
117900,0.340194,0.18108
118800,0.340194,0.18108
119700,0.340194,0.18108
120600,0.340194,0.18108
121500,0.340194,0.18108
122400,0.340194,0.18108
123300,0.340194,0.18108
124200,0.340194,0.18108
125100,0.340194,0.18108
126000,0.340194,0.18108
126900,0.340194,0.18108
127800,0.340194,0.18108
128700,0.340194,0.18108
129600,0.340194,0.18108
130500,0.340194,0.18108
131400,0.340194,0.18108
132300,0.340194,0.18108
133200,0.340194,0.18108
134100,0.340194,0.18108
135000,0.340194,0.18108
135900,0.340194,0.18108
136800,0.340194,0.18108
137700,0.340194,0.18108
138600,0.340194,0.18108
139500,0.340194,0.18108
140400,0.340194,0.18108
141300,0.340194,0.18108
142200,0.340194,0.18108
143100,0.340194,0.18108
144000,0.340194,0.18108
144900,0.340194,0.18108
145800,0.340194,0.18108
146700,0.340194,0.18108
147600,0.340194,0.18108
148500,0.340194,0.18108
149400,0.340194,0.18108
150300,0.340194,0.18108
151200,0.340194,0.18108
152100,0.340194,0.18108
153000,0.340194,0.18108
153900,0.340194,0.18108
154800,0.340194,0.18108
155700,0.340194,0.18108
156600,0.340194,0.18108
157500,0.340194,0.18108
158400,0.340194,0.18108
159300,0.340194,0.18108
160200,0.340194,0.18108
161100,0.340194,0.18108
162000,0.340194,0.18108
162900,0.340194,0.18108
163800,0.340194,0.18108
164700,0.340194,0.18108
165600,0.340194,0.18108
166500,0.340194,0.18108
167400,0.340194,0.18108
168300,0.340194,0.18108
169200,0.340194,0.18108
170100,0.340194,0.18108
171000,0.340194,0.18108
171900,0.340194,0.18108
172800,0.340194,0.18108
173700,0.340194,0.18108
174600,0.340194,0.18108
175500,0.340194,0.18108
176400,0.340194,0.18108
177300,0.340194,0.18108
178200,0.340194,0.18108
179100,0.340194,0.18108
180000,0.340194,0.18108
180900,0.340194,0.18108
181800,0.340194,0.18108
182700,0.340194,0.18108
183600,0.340194,0.18108
184500,0.340194,0.18108
185400,0.340194,0.18108
186300,0.340194,0.18108
187200,0.340194,0.18108
188100,0.340194,0.18108
189000,0.340194,0.18108
189900,0.340194,0.18108
190800,0.340194,0.18108
191700,0.340194,0.18108
192600,0.340194,0.18108
193500,0.340194,0.18108
194400,0.340194,0.18108
195300,0.340194,0.18108
196200,0.340194,0.18108
197100,0.340194,0.18108
198000,0.340194,0.18108
198900,0.340194,0.18108
199800,0.340194,0.18108
200700,0.340194,0.18108
201600,0.340194,0.18108
202500,0.340194,0.18108
203400,0.340194,0.18108
204300,0.340194,0.18108
205200,0.340194,0.18108
206100,0.340194,0.18108
207000,0.340194,0.18108
207900,0.340194,0.18108
208800,0.340194,0.18108
209700,0.340194,0.18108
210600,0.340194,0.18108
211500,0.340194,0.18108
212400,0.340194,0.18108
213300,0.340194,0.18108
214200,0.340194,0.18108
215100,0.340194,0.18108
216000,0.340194,0.18108
216900,0.340194,0.18108
217800,0.340194,0.18108
218700,0.340194,0.18108
219600,0.340194,0.18108
220500,0.340194,0.18108
221400,0.340194,0.18108
222300,0.340194,0.18108
223200,0.340194,0.18108
224100,0.340194,0.18108
225000,0.340194,0.18108
225900,0.340194,0.18108
226800,0.340194,0.18108
227700,0.340194,0.18108
228600,0.340194,0.18108
229500,0.340194,0.18108
230400,0.340194,0.18108
231300,0.340194,0.18108
232200,0.340194,0.18108
233100,0.340194,0.18108
234000,0.340194,0.18108
234900,0.340194,0.18108
235800,0.340194,0.18108
236700,0.340194,0.18108
237600,0.340194,0.18108
238500,0.340194,0.18108
239400,0.340194,0.18108
240300,0.340194,0.18108
241200,0.340194,0.18108
242100,0.340194,0.18108
243000,0.340194,0.18108
243900,0.340194,0.18108
244800,0.340194,0.18108
245700,0.340194,0.18108
246600,0.340194,0.18108
247500,0.340194,0.18108
248400,0.340194,0.18108
249300,0.340194,0.18108
250200,0.340194,0.18108
251100,0.340194,0.18108
252000,0.340194,0.18108
252900,0.340194,0.18108
253800,0.340194,0.18108
254700,0.340194,0.18108
255600,0.340194,0.18108
256500,0.340194,0.18108
257400,0.340194,0.18108
258300,0.340194,0.18108
259200,0.340194,0.18108
260100,0.340194,0.18108
261000,0.340194,0.18108
261900,0.340194,0.18108
262800,0.340194,0.18108
263700,0.340194,0.18108
264600,0.340194,0.18108
265500,0.340194,0.18108
266400,0.340194,0.18108
267300,0.340194,0.18108
268200,0.340194,0.18108
269100,0.340194,0.18108
270000,0.340194,0.18108
270900,0.340194,0.18108
271800,0.340194,0.18108
272700,0.340194,0.18108
273600,0.340194,0.18108
274500,0.340194,0.18108
275400,0.340194,0.18108
276300,0.340194,0.18108
277200,0.340194,0.18108
278100,0.340194,0.18108
279000,0.340194,0.18108
279900,0.340194,0.18108
280800,0.340194,0.18108
281700,0.340194,0.18108
282600,0.340194,0.18108
283500,0.340194,0.18108
284400,0.340194,0.18108
285300,0.340194,0.18108
286200,0.340194,0.18108
287100,0.340194,0.18108
288000,0.340194,0.18108
288900,0.340194,0.18108
289800,0.340194,0.18108
290700,0.340194,0.18108
291600,0.340194,0.18108
292500,0.340194,0.18108
293400,0.340194,0.18108
294300,0.340194,0.18108
295200,0.340194,0.18108
296100,0.340194,0.18108
297000,0.340194,0.18108
297900,0.340194,0.18108
298800,0.340194,0.18108
299700,0.340194,0.18108
300600,0.340194,0.18108
301500,0.340194,0.18108
302400,0.340194,0.18108
303300,0.340194,0.18108
304200,0.340194,0.18108
305100,0.340194,0.18108
306000,0.340194,0.18108
306900,0.340194,0.18108
307800,0.340194,0.18108
308700,0.340194,0.18108
309600,0.340194,0.18108
310500,0.340194,0.18108
311400,0.340194,0.18108
312300,0.340194,0.18108
313200,0.340194,0.18108
314100,0.340194,0.18108
315000,0.340194,0.18108
315900,0.340194,0.18108
316800,0.340194,0.18108
317700,0.340194,0.18108
318600,0.340194,0.18108
319500,0.340194,0.18108
320400,0.340194,0.18108
321300,0.340194,0.18108
322200,0.340194,0.18108
323100,0.340194,0.18108
324000,0.340194,0.18108
324900,0.340194,0.18108
325800,0.340194,0.18108
326700,0.340194,0.18108
327600,0.340194,0.18108
328500,0.340194,0.18108
329400,0.340194,0.18108
330300,0.340194,0.18108
331200,0.340194,0.18108
332100,0.340194,0.18108
333000,0.340194,0.18108
333900,0.340194,0.18108
