# Optional header information,,,,,,
# time: time of internal gain [s],,,,,,
# InternalGainsRad: Radiative internal gains [W],,,,,,
# InternalGainsCon: Convective internal gains [W],,,,,,
# InternalGainsLat: Latent internal gains [W],,,,,,
time,InternalGainsRad[Night],InternalGainsCon[Night],InternalGainsLat[Night],InternalGainsRad[Day],InternalGainsCon[Day],InternalGainsLat[Day]
0,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
3600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
7200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
10800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
14400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
18000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
21600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
25200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
28800,0,0,0,0,0,0
32400,0,0,0,0,0,0
36000,0,0,0,0,0,0
39600,0,0,0,0,0,0
43200,0,0,0,0,0,0
46800,0,0,0,0,0,0
50400,0,0,0,0,0,0
54000,0,0,0,0,0,0
57600,0,0,0,0,0,0
61200,0,0,0,0,0,0
64800,0,0,0,0,0,0
68400,0,0,0,0,0,0
72000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
75600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
79200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
82800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
86400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
90000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
93600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
97200,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
100800,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
104400,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
108000,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
111600,118.000003,118.000003,20.00000068,118.000003,118.000003,20.00000068
115200,0,0,0,0,0,0
118800,0,0,0,0,0,0
122400,0,0,0,0,0,0
126000,0,0,0,0,0,0
129600,0,0,0,0,0,0
133200,0,0,0,0,0,0
136800,0,0,0,0,0,0
140400,0,0,0,0,0,0
144000,0,0,0,0,0,0
147600,0,0,0,0,0,0
151200,0,0,0,0,0,0
154800,0,0,0,0,0,0
