# Optional header information,,
# time: time of occupancy [s],,
# Occupancy: Number of occupants [ppl],,
time,Occupancy[Night],Occupancy[Day]
0,1,1
3600,1,1
7200,1,1
10800,1,1
14400,1,1
18000,1,1
21600,1,1
25200,1,1
28800,0,0
32400,0,0
36000,0,0
39600,0,0
43200,0,0
46800,0,0
50400,0,0
54000,0,0
57600,0,0
61200,0,0
64800,0,0
68400,0,0
72000,1,1
75600,1,1
79200,1,1
82800,1,1
86400,1,1
90000,1,1
93600,1,1
97200,1,1
100800,1,1
104400,1,1
108000,1,1
111600,1,1
115200,0,0
118800,0,0
122400,0,0
126000,0,0
129600,0,0
133200,0,0
136800,0,0
140400,0,0
144000,0,0
147600,0,0
151200,0,0
154800,0,0
158400,1,1
162000,1,1
165600,1,1
169200,1,1
172800,1,1
176400,1,1
180000,1,1
183600,1,1
187200,1,1
190800,1,1
194400,1,1
198000,1,1
201600,0,0
205200,0,0
208800,0,0
212400,0,0
216000,0,0
219600,0,0
223200,0,0
226800,0,0
230400,0,0
234000,0,0
237600,0,0
241200,0,0
244800,1,1
248400,1,1
252000,1,1
255600,1,1
259200,1,1
262800,1,1
266400,1,1
270000,1,1
273600,1,1
277200,1,1
280800,1,1
284400,1,1
288000,0,0
291600,0,0
295200,0,0
298800,0,0
302400,0,0
306000,0,0
309600,0,0
313200,0,0
316800,0,0
320400,0,0
324000,0,0
327600,0,0
331200,1,1
334800,1,1
338400,1,1
342000,1,1
345600,1,1
349200,1,1
352800,1,1
356400,1,1
360000,1,1
363600,1,1
367200,1,1
370800,1,1
374400,0,0
378000,0,0
381600,0,0
385200,0,0
388800,0,0
392400,0,0
396000,0,0
399600,0,0
403200,0,0
406800,0,0
410400,0,0
414000,0,0
417600,1,1
421200,1,1
424800,1,1
428400,1,1
432000,1,1
435600,1,1
439200,1,1
442800,1,1
446400,1,1
450000,1,1
453600,1,1
457200,1,1
460800,0,0
464400,0,0
468000,0,0
471600,0,0
475200,0,0
478800,0,0
482400,0,0
486000,0,0
489600,0,0
493200,0,0
496800,0,0
500400,0,0
504000,1,1
507600,1,1
511200,1,1
514800,1,1
518400,1,1
522000,1,1
525600,1,1
529200,1,1
532800,1,1
536400,1,1
540000,1,1
543600,1,1
547200,0,0
550800,0,0
554400,0,0
558000,0,0
561600,0,0
565200,0,0
568800,0,0
572400,0,0
576000,0,0
579600,0,0
583200,0,0
586800,0,0
590400,0,0
594000,0,0
597600,0,0
601200,0,0
604800,1,1
608400,1,1
612000,1,1
615600,1,1
619200,1,1
622800,1,1
626400,1,1
630000,1,1
633600,0,0
637200,0,0
640800,0,0
644400,0,0
648000,0,0
651600,0,0
655200,0,0
658800,0,0
662400,0,0
666000,0,0
669600,0,0
673200,0,0
676800,1,1
680400,1,1
684000,1,1
687600,1,1
691200,1,1
694800,1,1
698400,1,1
702000,1,1
705600,1,1
709200,1,1
712800,1,1
716400,1,1
720000,0,0
723600,0,0
727200,0,0
730800,0,0
734400,0,0
738000,0,0
741600,0,0
745200,0,0
748800,0,0
752400,0,0
756000,0,0
759600,0,0
763200,1,1
766800,1,1
770400,1,1
774000,1,1
777600,1,1
781200,1,1
784800,1,1
788400,1,1
792000,1,1
795600,1,1
799200,1,1
802800,1,1
806400,0,0
810000,0,0
813600,0,0
817200,0,0
820800,0,0
824400,0,0
828000,0,0
831600,0,0
835200,0,0
838800,0,0
842400,0,0
846000,0,0
849600,1,1
853200,1,1
856800,1,1
860400,1,1
864000,1,1
867600,1,1
871200,1,1
874800,1,1
878400,1,1
882000,1,1
885600,1,1
889200,1,1
892800,0,0
896400,0,0
900000,0,0
903600,0,0
907200,0,0
910800,0,0
914400,0,0
918000,0,0
921600,0,0
925200,0,0
928800,0,0
932400,0,0
936000,1,1
939600,1,1
943200,1,1
946800,1,1
950400,1,1
954000,1,1
957600,1,1
