# Optional header information,,,,,,
# time: time of setpoint [s],,,,,,
# LowerSetp: Heating zone temperature setpoint [K],,,,,,
# UpperSetp: Cooling zone temperature setpoint [K],,,,,,
# UpperCO2: Zone CO2 concentration upper limit [ppm],,,,,,
time,LowerSetp[Day],LowerSetp[Night],UpperSetp[Day],UpperSetp[Night],UpperCO2[Day],UpperCO2[Night]
0.0,294.15,294.15,297.15,297.15,1500,1500
900.0,294.15,294.15,297.15,297.15,1500,1500
1800.0,294.15,294.15,297.15,297.15,1500,1500
2700.0,294.15,294.15,297.15,297.15,1500,1500
3600.0,294.15,294.15,297.15,297.15,1500,1500
4500.0,294.15,294.15,297.15,297.15,1500,1500
5400.0,294.15,294.15,297.15,297.15,1500,1500
6300.0,294.15,294.15,297.15,297.15,1500,1500
7200.0,294.15,294.15,297.15,297.15,1500,1500
8100.0,294.15,294.15,297.15,297.15,1500,1500
9000.0,294.15,294.15,297.15,297.15,1500,1500
9900.0,294.15,294.15,297.15,297.15,1500,1500
10800.0,294.15,294.15,297.15,297.15,1500,1500
11700.0,294.15,294.15,297.15,297.15,1500,1500
12600.0,294.15,294.15,297.15,297.15,1500,1500
13500.0,294.15,294.15,297.15,297.15,1500,1500
14400.0,294.15,294.15,297.15,297.15,1500,1500
15300.0,294.15,294.15,297.15,297.15,1500,1500
16200.0,294.15,294.15,297.15,297.15,1500,1500
17100.0,294.15,294.15,297.15,297.15,1500,1500
18000.0,294.15,294.15,297.15,297.15,1500,1500
18900.0,294.15,294.15,297.15,297.15,1500,1500
19800.0,294.15,294.15,297.15,297.15,1500,1500
20700.0,294.15,294.15,297.15,297.15,1500,1500
21600.0,294.15,294.15,297.15,297.15,1500,1500
22500.0,294.15,294.15,297.15,297.15,1500,1500
23400.0,294.15,294.15,297.15,297.15,1500,1500
24300.0,294.15,294.15,297.15,297.15,1500,1500
25200.0,294.15,294.15,297.15,297.15,1500,1500
26100.0,294.15,294.15,297.15,297.15,1500,1500
27000.0,294.15,294.15,297.15,297.15,1500,1500
27900.0,294.15,294.15,297.15,297.15,1500,1500
28800.0,294.15,294.15,297.15,297.15,1500,1500
29700.0,289.15,289.15,297.15,297.15,1500,1500
30600.0,289.15,289.15,297.15,297.15,1500,1500
31500.0,289.15,289.15,297.15,297.15,1500,1500
32400.0,289.15,289.15,297.15,297.15,1500,1500
33300.0,289.15,289.15,297.15,297.15,1500,1500
34200.0,289.15,289.15,297.15,297.15,1500,1500
35100.0,289.15,289.15,297.15,297.15,1500,1500
36000.0,289.15,289.15,297.15,297.15,1500,1500
36900.0,289.15,289.15,297.15,297.15,1500,1500
37800.0,289.15,289.15,297.15,297.15,1500,1500
38700.0,289.15,289.15,297.15,297.15,1500,1500
39600.0,289.15,289.15,297.15,297.15,1500,1500
40500.0,289.15,289.15,297.15,297.15,1500,1500
41400.0,289.15,289.15,297.15,297.15,1500,1500
42300.0,289.15,289.15,297.15,297.15,1500,1500
43200.0,289.15,289.15,297.15,297.15,1500,1500
44100.0,289.15,289.15,297.15,297.15,1500,1500
45000.0,289.15,289.15,297.15,297.15,1500,1500
45900.0,289.15,289.15,297.15,297.15,1500,1500
46800.0,289.15,289.15,297.15,297.15,1500,1500
47700.0,289.15,289.15,297.15,297.15,1500,1500
48600.0,289.15,289.15,297.15,297.15,1500,1500
49500.0,289.15,289.15,297.15,297.15,1500,1500
50400.0,289.15,289.15,297.15,297.15,1500,1500
51300.0,289.15,289.15,297.15,297.15,1500,1500
52200.0,289.15,289.15,297.15,297.15,1500,1500
53100.0,289.15,289.15,297.15,297.15,1500,1500
54000.0,289.15,289.15,297.15,297.15,1500,1500
54900.0,289.15,289.15,297.15,297.15,1500,1500
55800.0,289.15,289.15,297.15,297.15,1500,1500
56700.0,289.15,289.15,297.15,297.15,1500,1500
57600.0,289.15,289.15,297.15,297.15,1500,1500
58500.0,289.15,289.15,297.15,297.15,1500,1500
59400.0,289.15,289.15,297.15,297.15,1500,1500
60300.0,289.15,289.15,297.15,297.15,1500,1500
61200.0,289.15,289.15,297.15,297.15,1500,1500
62100.0,289.15,289.15,297.15,297.15,1500,1500
63000.0,289.15,289.15,297.15,297.15,1500,1500
63900.0,289.15,289.15,297.15,297.15,1500,1500
64800.0,289.15,289.15,297.15,297.15,1500,1500
65700.0,289.15,289.15,297.15,297.15,1500,1500
66600.0,289.15,289.15,297.15,297.15,1500,1500
67500.0,289.15,289.15,297.15,297.15,1500,1500
68400.0,289.15,289.15,297.15,297.15,1500,1500
69300.0,289.15,289.15,297.15,297.15,1500,1500
70200.0,289.15,289.15,297.15,297.15,1500,1500
71100.0,289.15,289.15,297.15,297.15,1500,1500
72000.0,289.15,289.15,297.15,297.15,1500,1500
72900.0,294.15,294.15,297.15,297.15,1500,1500
73800.0,294.15,294.15,297.15,297.15,1500,1500
74700.0,294.15,294.15,297.15,297.15,1500,1500
75600.0,294.15,294.15,297.15,297.15,1500,1500
76500.0,294.15,294.15,297.15,297.15,1500,1500
77400.0,294.15,294.15,297.15,297.15,1500,1500
78300.0,294.15,294.15,297.15,297.15,1500,1500
79200.0,294.15,294.15,297.15,297.15,1500,1500
80100.0,294.15,294.15,297.15,297.15,1500,1500
81000.0,294.15,294.15,297.15,297.15,1500,1500
81900.0,294.15,294.15,297.15,297.15,1500,1500
82800.0,294.15,294.15,297.15,297.15,1500,1500
83700.0,294.15,294.15,297.15,297.15,1500,1500
84600.0,294.15,294.15,297.15,297.15,1500,1500
85500.0,294.15,294.15,297.15,297.15,1500,1500
86400.0,294.15,294.15,297.15,297.15,1500,1500
87300.0,294.15,294.15,297.15,297.15,1500,1500
88200.0,294.15,294.15,297.15,297.15,1500,1500
89100.0,294.15,294.15,297.15,297.15,1500,1500
90000.0,294.15,294.15,297.15,297.15,1500,1500
90900.0,294.15,294.15,297.15,297.15,1500,1500
91800.0,294.15,294.15,297.15,297.15,1500,1500
92700.0,294.15,294.15,297.15,297.15,1500,1500
93600.0,294.15,294.15,297.15,297.15,1500,1500
94500.0,294.15,294.15,297.15,297.15,1500,1500
