# Optional header information,,,,,,,
# time: time of price [s],,,,,,,
# PriceElectricPowerConstant: Price of electricity in constant scenario [$/kWh],,,,,,,
# PriceElectricPowerDynamic: Price of electricity in dynamic scenario [$/kWh],,,,,,,
# PriceElectricPowerHighlyDynamic: Price of electricity in highly dynamic scenario [$/kWh],,,,,,,
# PriceDistrictHeatingPower: Price of district heating power [$/kWh],,,,,,,
# PriceGasPower: Price of gas power [$/kWh],,,,,,,
# PriceBiomassPower: Price of biomass power [$/kWh],,,,,,,
# PriceSolarThermalPower: Price of solar thermal power [$/kWh],,,,,,,
time,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic,PriceDistrictHeatingPower,PriceGasPower,PriceBiomassPower,PriceSolarThermalPower
0,0.2,0.19,0.181,0,0,0,0
3600,0.2,0.19,0.17627,0,0,0,0
7200,0.2,0.19,0.16978,0,0,0,0
10800,0.2,0.19,0.15786938,0,0,0,0
14400,0.2,0.19,0.152,0,0,0,0
18000,0.2,0.19,0.15,0,0,0,0
21600,0.2,0.19,0.15090473,0,0,0,0
25200,0.2,0.19,0.15654,0,0,0,0
28800,0.2,0.22,0.155,0,0,0,0
32400,0.2,0.22,0.155,0,0,0,0
36000,0.2,0.22,0.16463907,0,0,0,0
39600,0.2,0.22,0.17103279,0,0,0,0
43200,0.2,0.22,0.17897,0,0,0,0
46800,0.2,0.22,0.17106,0,0,0,0
50400,0.2,0.22,0.16795109,0,0,0,0
54000,0.2,0.22,0.18359,0,0,0,0
57600,0.2,0.22,0.18865,0,0,0,0
61200,0.2,0.22,0.19464,0,0,0,0
64800,0.2,0.22,0.195,0,0,0,0
68400,0.2,0.22,0.19626074,0,0,0,0
72000,0.2,0.19,0.19598689,0,0,0,0
75600,0.2,0.19,0.19275007,0,0,0,0
79200,0.2,0.19,0.18865,0,0,0,0
82800,0.2,0.19,0.18490516,0,0,0,0
86400,0.2,0.19,0.18310953,0,0,0,0
90000,0.2,0.19,0.17586552,0,0,0,0
93600,0.2,0.19,0.16915,0,0,0,0
97200,0.2,0.19,0.166,0,0,0,0
100800,0.2,0.19,0.169,0,0,0,0
104400,0.2,0.19,0.169,0,0,0,0
108000,0.2,0.19,0.1831,0,0,0,0
111600,0.2,0.19,0.19541,0,0,0,0
115200,0.2,0.22,0.20107546,0,0,0,0
118800,0.2,0.22,0.19919,0,0,0,0
122400,0.2,0.22,0.19564,0,0,0,0
126000,0.2,0.22,0.194,0,0,0,0
129600,0.2,0.22,0.1928,0,0,0,0
133200,0.2,0.22,0.18865,0,0,0,0
136800,0.2,0.22,0.18984,0,0,0,0
140400,0.2,0.22,0.195,0,0,0,0
144000,0.2,0.22,0.19794802,0,0,0,0
147600,0.2,0.22,0.20370888,0,0,0,0
151200,0.2,0.22,0.20402051,0,0,0,0
154800,0.2,0.22,0.20457395,0,0,0,0
